等级	玩家升级经验	防御参数	英雄升级消耗	英雄升级消耗返还	搜寻任务刷新消耗钻石	巨龙技能基础攻击（重要）	祭坛奖励倍率1	祭坛奖励倍率2	祭坛奖励倍率3	祭坛奖励倍率4	群雄支持荣誉令牌奖励	皇城争霸挑战奖励	矿镐恢复上限	世界聊天次数上限	功能开启展示	新手引导标识	我要变强_领主等级	我要变强_觉醒等级
117	514000	14144	user.hero_exp:-692000	user.hero_exp:17119780	10	67200	100	100	100	100	100	user.salary:50	560	160	0	0	120	1
118	538000	14336	user.hero_exp:-715000	user.hero_exp:17811780	10	67750	100	100	100	100	100	user.salary:50	560	160	0	0	120	1
119	560000	14528	user.hero_exp:-736000	user.hero_exp:18526780	10	68250	100	100	100	100	100	user.salary:50	560	160	0	0	120	1
120	752000	15456	user.hero_exp:-746000	user.hero_exp:19262780	10	68900	100	100	100	100	100	user.salary:50	560	170	0	0	180	1
121	760000	15664	user.hero_exp:-753000	user.hero_exp:20008780	10	70900	100	100	100	100	100	user.salary:50	560	170	0	0	180	1
122	771000	15872	user.hero_exp:-763000	user.hero_exp:20761780	10	72350	100	100	100	100	100	user.salary:50	560	170	0	0	180	1
123	780000	16080	user.hero_exp:-775000	user.hero_exp:21524780	10	73100	100	100	100	100	100	user.salary:50	560	170	0	0	180	1
124	791000	16288	user.hero_exp:-785000	user.hero_exp:22299780	10	73900	100	100	100	100	100	user.salary:50	560	170	0	0	180	1
125	803000	16496	user.hero_exp:-795000	user.hero_exp:23084780	10	74650	100	100	100	100	100	user.salary:50	560	170	0	0	180	1
126	815000	16704	user.hero_exp:-806000	user.hero_exp:23879780	10	76300	100	100	100	100	100	user.salary:50	560	170	0	0	180	1
127	828000	16912	user.hero_exp:-817000	user.hero_exp:24685780	10	77050	100	100	100	100	100	user.salary:50	560	170	0	0	180	1
128	841000	17120	user.hero_exp:-829000	user.hero_exp:25502780	10	77850	100	100	100	100	100	user.salary:50	560	170	0	0	180	1
129	856000	17328	user.hero_exp:-841000	user.hero_exp:26331780	10	79300	100	100	100	100	100	user.salary:50	560	170	0	0	180	1
130	870000	17536	user.hero_exp:-855000	user.hero_exp:27172780	10	80050	100	100	100	100	100	user.salary:50	560	180	0	0	180	1
131	886000	17760	user.hero_exp:-868000	user.hero_exp:28027780	10	80850	100	100	100	100	100	user.salary:50	560	180	0	0	180	1
132	902000	17984	user.hero_exp:-883000	user.hero_exp:28895780	10	82450	100	100	100	100	100	user.salary:50	560	180	0	0	180	1
133	920000	18208	user.hero_exp:-898000	user.hero_exp:29778780	10	83200	100	100	100	100	100	user.salary:50	560	180	0	0	180	1
134	938000	18432	user.hero_exp:-914000	user.hero_exp:30676780	10	83950	100	100	100	100	100	user.salary:50	560	180	0	0	180	1
135	956000	18656	user.hero_exp:-930000	user.hero_exp:31590780	10	85400	100	100	100	100	100	user.salary:50	560	180	0	0	180	1
136	976000	18880	user.hero_exp:-947000	user.hero_exp:32520780	10	86150	100	100	100	100	100	user.salary:50	560	180	0	0	180	1
137	996000	19104	user.hero_exp:-964000	user.hero_exp:33467780	10	87750	100	100	100	100	100	user.salary:50	560	180	0	0	180	1
138	1020000	19328	user.hero_exp:-983000	user.hero_exp:34431780	10	88450	100	100	100	100	100	user.salary:50	560	180	0	0	180	1
139	1040000	19552	user.hero_exp:-1000000	user.hero_exp:35414780	10	89200	100	100	100	100	100	user.salary:50	560	180	0	0	180	1
140	1050000	20640	user.hero_exp:-1010000	user.hero_exp:36414780	10	90050	100	100	100	100	100	user.salary:50	560	190	0	0	180	1
141	1060000	20880	user.hero_exp:-1020000	user.hero_exp:37424780	10	91550	100	100	100	100	100	user.salary:50	560	190	0	0	180	1
142	1070000	21120	user.hero_exp:-1030000	user.hero_exp:38444780	10	93000	100	100	100	100	100	user.salary:50	560	190	0	0	180	1
143	1080000	21360	user.hero_exp:-1040000	user.hero_exp:39474780	10	93650	100	100	100	100	100	user.salary:50	560	190	0	0	180	1
144	1090000	21600	user.hero_exp:-1060000	user.hero_exp:40514780	10	95050	100	100	100	100	100	user.salary:50	560	190	0	0	180	1
145	1110000	21840	user.hero_exp:-1070000	user.hero_exp:41574780	10	95700	100	100	100	100	100	user.salary:50	560	190	0	0	180	1
146	1120000	22080	user.hero_exp:-1080000	user.hero_exp:42644780	10	96350	100	100	100	100	100	user.salary:50	560	190	0	0	180	1
147	1140000	22320	user.hero_exp:-1090000	user.hero_exp:43724780	10	97850	100	100	100	100	100	user.salary:50	560	190	0	0	180	1
148	1150000	22560	user.hero_exp:-1110000	user.hero_exp:44814780	10	98450	100	100	100	100	100	user.salary:50	560	190	0	0	180	1
149	1170000	22800	user.hero_exp:-1120000	user.hero_exp:45924780	10	99100	100	100	100	100	100	user.salary:50	560	190	0	0	180	1
150	1190000	23040	user.hero_exp:-1160000	user.hero_exp:47044780	10	99700	100	100	100	100	100	user.salary:50	560	200	0	0	180	1
151	1200000	23296	user.hero_exp:-1170000	user.hero_exp:48204780	10	100300	100	100	100	100	100	user.salary:50	560	200	0	0	180	1
152	1220000	23552	user.hero_exp:-1190000	user.hero_exp:49374780	10	100900	100	100	100	100	100	user.salary:50	560	200	0	0	180	1
153	1240000	23808	user.hero_exp:-1210000	user.hero_exp:50564780	10	108900	100	100	100	100	100	user.salary:50	560	200	0	0	180	1
154	1260000	24064	user.hero_exp:-1230000	user.hero_exp:51774780	10	109450	100	100	100	100	100	user.salary:50	560	200	0	0	180	1
155	1280000	24320	user.hero_exp:-1250000	user.hero_exp:53004780	10	110050	100	100	100	100	100	user.salary:50	560	200	0	0	180	1
156	1310000	24576	user.hero_exp:-1270000	user.hero_exp:54254780	10	110600	100	100	100	100	100	user.salary:50	560	200	0	0	180	1
157	1330000	24832	user.hero_exp:-1290000	user.hero_exp:55524780	10	111150	100	100	100	100	100	user.salary:50	560	200	0	0	180	1
158	1350000	25088	user.hero_exp:-1310000	user.hero_exp:56814780	10	111750	100	100	100	100	100	user.salary:50	560	200	0	0	180	1
159	1380000	25344	user.hero_exp:-1330000	user.hero_exp:58124780	10	112300	100	100	100	100	100	user.salary:50	560	200	0	0	180	1
160	1390000	26592	user.hero_exp:-1350000	user.hero_exp:59454780	10	112950	100	100	100	100	100	user.salary:50	560	200	0	0	180	1
161	1400000	26864	user.hero_exp:-1360000	user.hero_exp:60804780	10	114200	100	100	100	100	100	user.salary:50	560	200	0	0	180	1
162	1410000	27136	user.hero_exp:-1370000	user.hero_exp:62164780	10	115400	100	100	100	100	100	user.salary:50	560	200	0	0	180	1
163	1430000	27408	user.hero_exp:-1390000	user.hero_exp:63534780	10	116650	100	100	100	100	100	user.salary:50	560	200	0	0	180	1
164	1440000	27680	user.hero_exp:-1400000	user.hero_exp:64924780	10	117900	100	100	100	100	100	user.salary:50	560	200	0	0	180	1
165	1460000	27952	user.hero_exp:-1420000	user.hero_exp:66324780	10	119100	100	100	100	100	100	user.salary:50	560	200	0	0	180	1
166	1480000	28224	user.hero_exp:-1430000	user.hero_exp:67744780	10	120350	100	100	100	100	100	user.salary:50	560	200	0	0	180	1
167	1490000	28496	user.hero_exp:-1450000	user.hero_exp:69174780	10	121550	100	100	100	100	100	user.salary:50	560	200	0	0	180	1
168	1510000	28768	user.hero_exp:-1470000	user.hero_exp:70624780	10	122800	100	100	100	100	100	user.salary:50	560	200	0	0	180	1
169	1530000	29040	user.hero_exp:-1490000	user.hero_exp:72094780	10	124000	100	100	100	100	100	user.salary:50	560	200	0	0	180	1
170	1550000	29312	user.hero_exp:-1510000	user.hero_exp:73584780	10	125250	100	100	100	100	100	user.salary:50	560	200	0	0	180	1
171	1570000	29600	user.hero_exp:-1530000	user.hero_exp:75094780	10	126500	100	100	100	100	100	user.salary:50	560	200	0	0	180	1
172	1590000	29888	user.hero_exp:-1550000	user.hero_exp:76624780	10	127750	100	100	100	100	100	user.salary:50	560	200	0	0	180	1
173	1610000	30176	user.hero_exp:-1570000	user.hero_exp:78174780	10	129000	100	100	100	100	100	user.salary:50	560	200	0	0	180	1
174	1640000	30464	user.hero_exp:-1590000	user.hero_exp:79744780	10	130250	100	100	100	100	100	user.salary:50	560	200	0	0	180	1
175	1660000	30752	user.hero_exp:-1620000	user.hero_exp:81334780	10	131500	100	100	100	100	100	user.salary:50	560	200	0	0	180	1
176	1690000	31040	user.hero_exp:-1640000	user.hero_exp:82954780	10	132800	100	100	100	100	100	user.salary:50	560	200	0	0	180	1
177	1710000	31328	user.hero_exp:-1660000	user.hero_exp:84594780	10	134050	100	100	100	100	100	user.salary:50	560	200	0	0	180	1
178	1740000	31616	user.hero_exp:-1690000	user.hero_exp:86254780	10	135350	100	100	100	100	100	user.salary:50	560	200	0	0	180	1
179	1770000	31904	user.hero_exp:-1720000	user.hero_exp:87944780	10	136600	100	100	100	100	100	user.salary:50	560	200	0	0	180	1
180	1790000	33312	user.hero_exp:-1730000	user.hero_exp:89664780	10	138550	100	100	100	100	100	user.salary:50	560	200	0	0	240	2
181	1800000	33616	user.hero_exp:-1750000	user.hero_exp:91394780	10	141050	100	100	100	100	100	user.salary:50	560	200	0	0	240	2
182	1820000	33920	user.hero_exp:-1770000	user.hero_exp:93144780	10	142750	100	100	100	100	100	user.salary:50	560	200	0	0	240	2
183	1830000	34224	user.hero_exp:-1780000	user.hero_exp:94914780	10	144400	100	100	100	100	100	user.salary:50	560	200	0	0	240	2
184	1850000	34528	user.hero_exp:-1800000	user.hero_exp:96694780	10	146100	100	100	100	100	100	user.salary:50	560	200	0	0	240	2
185	1870000	34832	user.hero_exp:-1820000	user.hero_exp:98494780	10	147750	100	100	100	100	100	user.salary:50	560	200	0	0	240	2
186	1890000	35136	user.hero_exp:-1840000	user.hero_exp:100314780	10	149500	100	100	100	100	100	user.salary:50	560	200	0	0	240	2
187	1910000	35440	user.hero_exp:-1860000	user.hero_exp:102154780	10	151150	100	100	100	100	100	user.salary:50	560	200	0	0	240	2
188	1930000	35744	user.hero_exp:-1880000	user.hero_exp:104014780	10	152800	100	100	100	100	100	user.salary:50	560	200	0	0	240	2
189	1950000	36048	user.hero_exp:-1900000	user.hero_exp:105894780	10	155250	100	100	100	100	100	user.salary:50	560	200	0	0	240	2
190	1980000	36352	user.hero_exp:-1930000	user.hero_exp:107794780	10	156850	100	100	100	100	100	user.salary:50	560	200	0	0	240	2
191	2000000	36672	user.hero_exp:-1950000	user.hero_exp:109724780	10	158500	100	100	100	100	100	user.salary:50	560	200	0	0	240	2
192	2030000	36992	user.hero_exp:-1980000	user.hero_exp:111674780	10	160150	100	100	100	100	100	user.salary:50	560	200	0	0	240	2
193	2050000	37312	user.hero_exp:-2000000	user.hero_exp:113654780	10	161750	100	100	100	100	100	user.salary:50	560	200	0	0	240	2
