索引id	武将等级	品质	基础攻击	基础血量	基础怒气	基础武防	基础魔防	基础命中率万分比	基础闪避率万分比	基础暴击率万分比	基础韧性率万分比	伤害加成	伤害减免	无视护甲万分比	无视技防万分比	治疗加成	怒气回复加成	负面抗性	暴击伤害	暴击减伤	技能伤害加成	技能伤害减免	突破等级	技能等级
80622	1	0	1000	4950	0	625	625	500	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0
80623	1	0	1000	4950	0	625	625	500	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0
1000001	1	0	189	456	0	118	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1000002	1	0	195	469	0	121	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1000003	2	0	200	724	0	124	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1000004	3	0	211	1020	0	130	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1000005	4	0	222	1344	0	136	136	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	1
1000006	5	0	233	1694	1	142	142	2	2	2	2	2	2	0	0	0	0	0	1	0	0	2	0	1
1000007	5	0	239	2892	1	145	145	3	3	3	3	3	3	0	0	0	0	0	1	0	1	2	0	1
1000008	6	0	244	2960	1	148	148	3	3	3	3	3	3	1	1	1	1	1	2	0	1	3	0	1
1000009	7	0	255	3096	2	154	154	5	5	5	5	5	5	1	1	1	1	1	3	0	1	4	0	1
1000010	8	0	266	3232	3	160	160	7	7	7	7	7	7	1	1	1	1	1	4	0	2	5	0	1
1000011	9	0	277	3368	4	166	166	9	9	9	9	9	9	2	2	2	2	2	5	0	3	7	0	1
1000012	10	0	298	3664	5	189	189	11	11	11	11	11	11	3	3	3	3	3	6	0	3	8	0	1
1000013	10	0	364	4454	6	230	230	12	12	12	12	12	12	3	3	3	3	3	7	0	4	9	0	1
1000014	11	0	429	5244	6	271	271	13	13	13	13	13	13	3	3	3	3	3	8	0	4	10	0	1
1000015	12	0	440	6730	8	278	278	16	16	16	16	16	16	4	4	4	4	4	9	0	5	12	0	1
1000016	13	0	451	6905	9	285	285	18	18	18	18	18	18	5	5	5	5	5	11	0	6	14	0	1
1000017	14	0	462	7080	10	292	292	21	21	21	21	21	21	6	6	6	6	6	13	0	7	16	0	1
1000018	15	0	473	7255	12	299	299	24	24	24	24	24	24	6	6	6	6	6	15	0	8	19	0	1
1000019	15	0	538	8242	13	340	340	26	26	26	26	26	26	7	7	7	7	7	16	0	8	20	0	1
1000020	16	0	604	9230	14	381	381	28	28	28	28	28	28	7	7	7	7	7	17	0	9	21	0	1
1000021	17	0	615	9405	15	388	388	31	31	31	31	31	31	8	8	8	8	8	19	0	10	24	0	1
1000022	18	0	626	9580	17	395	395	35	35	35	35	35	35	9	9	9	9	9	21	0	11	27	0	1
1000023	19	0	637	9755	19	402	402	39	39	39	39	39	39	10	10	10	10	10	23	0	13	30	0	1
1000024	20	0	648	9930	21	410	410	43	43	43	43	43	43	11	11	11	11	11	26	0	14	33	0	1
1000025	20	0	719	10936	22	446	446	45	45	45	45	45	45	12	12	12	12	12	27	0	15	35	0	1
1000026	25	0	847	12792	32	514	514	65	65	65	65	65	65	18	18	18	18	18	40	0	21	51	0	1
1000027	25	0	851	12856	33	517	517	66	66	66	66	66	66	18	18	18	18	18	41	0	22	52	0	1
1000028	25	0	856	12941	34	520	520	68	68	68	68	68	68	19	19	19	19	19	42	0	23	53	0	1
1000029	26	0	861	13005	35	522	522	70	70	70	70	70	70	19	19	19	19	19	43	0	23	54	0	1
1000030	26	0	868	13111	36	526	526	73	73	73	73	73	73	20	20	20	20	20	44	0	24	56	0	1
1000031	28	0	889	13430	40	538	538	80	80	80	80	80	80	22	22	22	22	22	49	0	27	63	0	1
1000032	29	0	903	13642	43	547	547	86	86	86	86	86	86	24	24	24	24	24	52	0	28	67	0	1
1000033	30	0	948	14320	46	575	575	92	92	92	92	92	92	25	25	25	25	25	56	0	30	71	0	1
1000034	31	0	993	15002	49	604	604	97	97	97	97	97	97	27	27	27	27	27	59	0	32	76	0	1
1000035	32	0	1038	15685	52	632	632	103	103	103	103	103	103	28	28	28	28	28	63	0	34	80	0	1
1000036	33	0	1084	16372	55	661	661	109	109	109	109	109	109	30	30	30	30	30	67	0	36	85	0	1
1000037	34	0	1130	17061	58	690	690	116	116	116	116	116	116	32	32	32	32	32	71	0	38	90	0	1
1000038	35	0	1282	19381	61	787	787	122	122	122	122	122	122	34	34	34	34	34	75	0	40	95	0	1
1000039	35	0	1287	19452	61	790	790	123	123	123	123	123	123	34	34	34	34	34	75	0	41	96	0	1
1000040	35	0	1296	19593	62	796	796	124	124	124	124	124	124	34	34	34	34	34	76	0	41	97	0	1
1000041	35	0	1301	19664	62	799	799	125	125	125	125	125	125	34	34	34	34	34	76	0	41	97	0	1
1000042	35	0	1311	19806	63	805	805	126	126	126	126	126	126	35	35	35	35	35	77	0	42	98	0	1
1000043	35	0	1315	19877	63	808	808	127	127	127	127	127	127	35	35	35	35	35	77	0	42	99	0	1
1000044	35	0	1325	20018	64	814	814	128	128	128	128	128	128	35	35	35	35	35	78	0	42	100	0	1
1000045	40	0	1537	23207	78	950	950	156	156	156	156	156	156	43	43	43	43	43	96	0	52	122	1	1
1000046	41	0	1596	24110	82	988	988	164	164	164	164	164	164	45	45	45	45	45	100	0	54	128	1	1
1000047	42	0	1655	25016	86	1026	1026	171	171	171	171	171	171	47	47	47	47	47	105	0	57	133	1	1
1000048	43	0	1834	27726	89	1140	1140	179	179	179	179	179	179	49	49	49	49	49	109	0	59	139	1	1
1000049	44	0	1894	28641	93	1178	1178	187	187	187	187	187	187	52	52	52	52	52	114	0	62	145	1	1
1000050	45	0	1953	29558	97	1217	1217	195	195	195	195	195	195	54	54	54	54	54	119	0	65	152	1	1
1000051	46	0	2013	30480	101	1256	1256	203	203	203	203	203	203	56	56	56	56	56	124	0	67	158	1	1
1000052	46	0	2025	30665	102	1264	1264	204	204	204	204	204	204	56	56	56	56	56	125	0	68	159	1	1
1000053	46	0	2031	30758	102	1268	1268	205	205	205	205	205	205	57	57	57	57	57	125	0	68	160	1	1
1000054	46	0	2043	30943	103	1276	1276	207	207	207	207	207	207	57	57	57	57	57	126	0	69	161	1	1
1000055	46	0	2055	31128	104	1284	1284	208	208	208	208	208	208	58	58	58	58	58	127	0	69	162	1	1
1000056	46	0	2061	31220	105	1288	1288	209	209	209	209	209	209	58	58	58	58	58	128	0	70	163	1	1
1000057	48	0	2134	32334	110	1335	1335	219	219	219	219	219	219	61	61	61	61	61	134	0	73	171	1	1
1000058	48	0	2140	32427	110	1339	1339	220	220	220	220	220	220	61	61	61	61	61	135	0	73	171	1	1
1000059	48	0	2146	32521	110	1343	1343	221	221	221	221	221	221	61	61	61	61	61	135	0	73	172	1	1
1000060	48	0	2152	32614	111	1347	1347	222	222	222	222	222	222	61	61	61	61	61	136	0	74	173	1	1
1000061	48	0	2158	32707	111	1351	1351	222	222	222	222	222	222	62	62	62	62	62	136	0	74	173	1	1
1000062	48	0	2164	32801	112	1355	1355	223	223	223	223	223	223	62	62	62	62	62	137	0	74	174	1	1
1000063	48	0	2164	32801	112	1355	1355	223	223	223	223	223	223	62	62	62	62	62	137	0	74	174	1	1
1000064	48	0	2170	32894	112	1359	1359	224	224	224	224	224	224	62	62	62	62	62	137	0	75	175	1	1
1000065	48	0	2176	32987	113	1363	1363	225	225	225	225	225	225	62	62	62	62	62	138	0	75	175	1	1
1000066	48	0	2182	33081	113	1367	1367	226	226	226	226	226	226	63	63	63	63	63	138	0	75	176	1	1
1000067	48	0	2188	33174	113	1371	1371	227	227	227	227	227	227	63	63	63	63	63	139	0	75	177	1	1
1000068	49	0	2194	33267	114	1375	1375	228	228	228	228	228	228	63	63	63	63	63	139	0	76	177	1	1
1000069	49	0	2215	33588	115	1388	1388	230	230	230	230	230	230	64	64	64	64	64	141	0	77	179	1	1
1000070	49	0	2243	34016	117	1407	1407	234	234	234	234	234	234	65	65	65	65	65	143	0	78	182	1	1
1000071	50	0	2264	34337	118	1420	1420	236	236	236	236	236	236	65	65	65	65	65	144	0	79	184	2	1
1000072	50	0	2537	38512	119	1590	1590	239	239	239	239	239	239	66	66	66	66	66	146	0	79	186	2	1
1000073	50	0	2719	41296	120	1703	1703	241	241	241	241	241	241	67	67	67	67	67	147	0	80	187	2	1
1000074	50	0	2992	45471	122	1872	1872	243	243	243	243	243	243	67	67	67	67	67	149	0	81	189	2	1
1000075	52	0	3280	49807	127	2047	2047	254	254	254	254	254	254	70	70	70	70	70	155	0	84	198	2	1
1000076	52	0	3301	50119	128	2059	2059	256	256	256	256	256	256	71	71	71	71	71	156	0	85	199	2	1
1000077	52	0	3322	50431	129	2072	2072	257	257	257	257	257	257	71	71	71	71	71	158	0	86	201	2	1
1000078	52	0	3344	50743	130	2084	2084	259	259	259	259	259	259	72	72	72	72	72	159	0	86	202	2	1
1000079	52	0	3365	51056	131	2097	2097	261	261	261	261	261	261	72	72	72	72	72	160	0	87	203	2	1
1000080	53	0	3386	51368	131	2109	2109	263	263	263	263	263	263	73	73	73	73	73	161	0	87	205	2	1
1000081	53	0	3408	51681	132	2121	2121	265	265	265	265	265	265	73	73	73	73	73	162	0	88	206	2	1
1000082	53	0	3429	51995	133	2134	2134	267	267	267	267	267	267	74	74	74	74	74	163	0	89	208	2	1
1000083	53	0	3451	52308	134	2146	2146	268	268	268	268	268	268	74	74	74	74	74	164	0	89	209	2	1
1000084	53	0	3472	52622	135	2159	2159	270	270	270	270	270	270	75	75	75	75	75	165	0	90	211	2	1
1000085	54	0	3494	52935	136	2171	2171	272	272	272	272	272	272	75	75	75	75	75	166	0	91	212	2	1
1000086	54	0	3516	53263	137	2184	2184	274	274	274	274	274	274	76	76	76	76	76	168	0	91	213	2	1
1000087	54	0	3539	53591	138	2197	2197	276	276	276	276	276	276	76	76	76	76	76	169	0	92	215	2	1
1000088	54	0	3561	53920	139	2210	2210	278	278	278	278	278	278	77	77	77	77	77	170	0	92	216	2	1
1000089	54	0	3583	54248	140	2223	2223	280	280	280	280	280	280	77	77	77	77	77	171	0	93	218	2	1
1000090	55	0	3606	54576	141	2236	2236	281	281	281	281	281	281	78	78	78	78	78	172	0	94	219	2	1
1000091	55	0	3628	54905	142	2250	2250	283	283	283	283	283	283	79	79	79	79	79	173	0	94	221	2	1
1000092	55	0	3651	55235	143	2263	2263	285	285	285	285	285	285	79	79	79	79	79	174	0	95	222	2	1
1000093	55	0	3673	55564	144	2276	2276	287	287	287	287	287	287	80	80	80	80	80	176	0	96	224	2	1
1000094	55	0	3696	55894	145	2289	2289	289	289	289	289	289	289	80	80	80	80	80	177	0	96	225	2	1
1000095	56	0	3719	56224	146	2302	2302	291	291	291	291	291	291	81	81	81	81	81	178	0	97	227	2	1
1000096	56	0	3753	56720	147	2322	2322	294	294	294	294	294	294	81	81	81	81	81	180	0	98	229	2	1
1000097	56	0	3775	57051	148	2335	2335	296	296	296	296	296	296	82	82	82	82	82	181	0	98	230	2	1
1000098	56	0	3809	57547	149	2354	2354	299	299	299	299	299	299	83	83	83	83	83	183	0	99	233	2	1
1000099	60	0	4311	64928	165	2649	2649	330	330	330	330	330	330	92	92	92	92	92	202	0	110	257	3	1
1000100	60	0	4345	65443	166	2670	2670	331	331	331	331	331	331	92	92	92	92	92	203	0	110	258	3	1
1000101	60	0	4379	65958	166	2692	2692	332	332	332	332	332	332	92	92	92	92	92	203	0	111	259	3	1
1000102	60	0	4413	66472	167	2713	2713	333	333	333	333	333	333	92	92	92	92	92	204	0	111	260	3	1
1000103	60	0	4447	66987	167	2734	2734	334	334	334	334	334	334	93	93	93	93	93	204	0	111	260	3	1
1000104	60	0	4480	67502	168	2756	2756	335	335	335	335	335	335	93	93	93	93	93	205	0	112	261	3	1
1000105	60	0	4480	67502	168	2756	2756	335	335	335	335	335	335	93	93	93	93	93	205	0	112	261	3	1
1000106	60	0	4514	68017	168	2777	2777	336	336	336	336	336	336	93	93	93	93	93	206	0	112	262	3	1
1000107	60	0	4548	68532	169	2798	2798	337	337	337	337	337	337	94	94	94	94	94	206	0	112	263	3	1
1000108	60	0	4582	69046	169	2820	2820	338	338	338	338	338	338	94	94	94	94	94	207	0	113	264	3	1
1000109	60	0	4616	69561	170	2841	2841	339	339	339	339	339	339	94	94	94	94	94	208	0	113	264	3	1
1000110	61	0	4650	70076	170	2863	2863	340	340	340	340	340	340	94	94	94	94	94	208	0	113	265	3	1
1000111	61	0	4684	70597	171	2884	2884	341	341	341	341	341	341	95	95	95	95	95	209	0	114	266	3	1
1000112	61	0	4718	71119	171	2906	2906	342	342	342	342	342	342	95	95	95	95	95	209	0	114	267	3	1
1000113	61	0	4752	71640	172	2927	2927	343	343	343	343	343	343	95	95	95	95	95	210	0	114	268	3	1
1000114	61	0	4786	72162	172	2949	2949	344	344	344	344	344	344	96	96	96	96	96	211	0	115	268	3	1
1000115	61	0	4821	72683	173	2970	2970	345	345	345	345	345	345	96	96	96	96	96	211	0	115	269	3	1
1000116	61	0	4855	73204	173	2992	2992	346	346	346	346	346	346	96	96	96	96	96	212	0	115	270	3	1
1000117	61	0	4889	73726	174	3014	3014	348	348	348	348	348	348	96	96	96	96	96	213	0	116	271	3	1
1000118	61	0	4923	74247	174	3035	3035	349	349	349	349	349	349	97	97	97	97	97	213	0	116	272	3	1
1000119	61	0	4957	74769	175	3057	3057	350	350	350	350	350	350	97	97	97	97	97	214	0	116	272	3	1
1000120	62	0	4992	75290	175	3078	3078	351	351	351	351	351	351	97	97	97	97	97	215	0	117	273	3	1
1000121	62	0	5017	75677	176	3094	3094	352	352	352	352	352	352	98	98	98	98	98	215	0	117	274	3	1
1000122	62	0	5042	76065	176	3110	3110	353	353	353	353	353	353	98	98	98	98	98	216	0	117	275	3	1
1000123	62	0	5068	76452	177	3126	3126	354	354	354	354	354	354	98	98	98	98	98	216	0	118	276	3	1
1000124	62	0	5093	76839	178	3143	3143	355	355	355	355	355	355	98	98	98	98	98	217	0	118	276	3	1
1000125	62	0	5118	77227	178	3159	3159	356	356	356	356	356	356	99	99	99	99	99	218	0	119	277	3	1
1000126	62	0	5144	77614	179	3175	3175	357	357	357	357	357	357	99	99	99	99	99	218	0	119	278	3	1
1000127	62	0	5169	78002	179	3191	3191	358	358	358	358	358	358	99	99	99	99	99	219	0	119	279	3	1
1000128	62	0	5194	78389	180	3207	3207	359	359	359	359	359	359	100	100	100	100	100	220	0	120	280	3	1
1000129	62	0	5220	78776	180	3223	3223	360	360	360	360	360	360	100	100	100	100	100	220	0	120	280	3	1
1000130	63	0	5245	79164	181	3239	3239	361	361	361	361	361	361	100	100	100	100	100	221	0	120	281	3	1
1000131	63	0	5271	79557	181	3255	3255	362	362	362	362	362	362	100	100	100	100	100	222	0	121	282	3	1
1000132	63	0	5296	79951	182	3272	3272	363	363	363	363	363	363	101	101	101	101	101	222	0	121	283	3	1
1000133	63	0	5322	80345	182	3288	3288	364	364	364	364	364	364	101	101	101	101	101	223	0	121	284	3	1
1000134	63	0	5348	80738	183	3304	3304	365	365	365	365	365	365	101	101	101	101	101	224	0	122	285	3	1
1000135	63	0	5374	81132	183	3321	3321	366	366	366	366	366	366	102	102	102	102	102	224	0	122	285	3	1
1000136	63	0	5399	81526	184	3337	3337	367	367	367	367	367	367	102	102	102	102	102	225	0	122	286	3	1
1000137	63	0	5425	81919	184	3354	3354	368	368	368	368	368	368	102	102	102	102	102	225	0	123	287	3	1
1000138	63	0	5451	82313	185	3370	3370	369	369	369	369	369	369	102	102	102	102	102	226	0	123	288	3	1
1000139	63	0	5476	82707	185	3386	3386	371	371	371	371	371	371	103	103	103	103	103	227	0	123	289	3	1
1000140	64	0	5502	83100	186	3403	3403	372	372	372	372	372	372	103	103	103	103	103	227	0	124	290	3	1
1000141	64	0	5528	83496	186	3419	3419	373	373	373	373	373	373	103	103	103	103	103	228	0	124	290	3	1
1000142	64	0	5554	83892	187	3435	3435	374	374	374	374	374	374	104	104	104	104	104	229	0	125	291	3	1
1000143	64	0	5580	84288	188	3452	3452	375	375	375	375	375	375	104	104	104	104	104	229	0	125	292	3	1
1000144	64	0	5606	84684	188	3468	3468	376	376	376	376	376	376	104	104	104	104	104	230	0	125	293	3	1
1000145	64	0	5632	85080	189	3485	3485	377	377	377	377	377	377	105	105	105	105	105	231	0	126	294	3	1
1000146	64	0	5657	85476	189	3501	3501	378	378	378	378	378	378	105	105	105	105	105	231	0	126	295	3	1
1000147	64	0	5683	85872	190	3518	3518	379	379	379	379	379	379	105	105	105	105	105	232	0	126	295	3	1
1000148	64	0	5709	86268	190	3534	3534	380	380	380	380	380	380	105	105	105	105	105	233	0	127	296	3	1
1000149	64	0	5735	86664	191	3551	3551	381	381	381	381	381	381	106	106	106	106	106	233	0	127	297	3	1
1000150	66	0	6021	91042	197	3733	3733	393	393	393	393	393	393	109	109	109	109	109	241	0	131	306	3	1
1000151	66	0	6048	91450	197	3750	3750	394	394	394	394	394	394	109	109	109	109	109	241	0	131	307	3	1
1000152	66	0	6048	91450	197	3750	3750	394	394	394	394	394	394	109	109	109	109	109	241	0	131	307	3	1
1000153	66	0	6074	91857	198	3767	3767	395	395	395	395	395	395	110	110	110	110	110	242	0	132	308	3	1
1000154	66	0	6074	91857	198	3767	3767	395	395	395	395	395	395	110	110	110	110	110	242	0	132	308	3	1
1000155	66	0	6101	92265	198	3784	3784	396	396	396	396	396	396	110	110	110	110	110	243	0	132	309	3	1
1000156	66	0	6101	92265	198	3784	3784	396	396	396	396	396	396	110	110	110	110	110	243	0	132	309	3	1
1000157	66	0	6127	92673	199	3801	3801	398	398	398	398	398	398	110	110	110	110	110	243	0	132	310	3	1
1000158	66	0	6127	92673	199	3801	3801	398	398	398	398	398	398	110	110	110	110	110	243	0	132	310	3	1
1000159	66	0	6154	93080	199	3818	3818	399	399	399	399	399	399	111	111	111	111	111	244	0	133	311	3	1
1000160	66	0	6181	93488	200	3835	3835	400	400	400	400	400	400	111	111	111	111	111	245	0	133	311	3	1
1000161	66	0	6181	93488	200	3835	3835	400	400	400	400	400	400	111	111	111	111	111	245	0	133	311	3	1
1000162	66	0	6207	93895	201	3852	3852	401	401	401	401	401	401	111	111	111	111	111	245	0	134	312	3	1
1000163	66	0	6207	93895	201	3852	3852	401	401	401	401	401	401	111	111	111	111	111	245	0	134	312	3	1
1000164	66	0	6234	94303	201	3868	3868	402	402	402	402	402	402	112	112	112	112	112	246	0	134	313	3	1
1000165	66	0	6234	94303	201	3868	3868	402	402	402	402	402	402	112	112	112	112	112	246	0	134	313	3	1
1000166	66	0	6260	94711	202	3885	3885	403	403	403	403	403	403	112	112	112	112	112	247	0	134	314	3	1
1000167	66	0	6260	94711	202	3885	3885	403	403	403	403	403	403	112	112	112	112	112	247	0	134	314	3	1
1000168	67	0	6287	95118	202	3902	3902	404	404	404	404	404	404	112	112	112	112	112	247	0	135	315	3	1
1000169	67	0	6314	95528	203	3919	3919	405	405	405	405	405	405	112	112	112	112	112	248	0	135	316	3	1
1000170	67	0	6314	95528	203	3919	3919	405	405	405	405	405	405	112	112	112	112	112	248	0	135	316	3	1
1000171	67	0	6340	95938	203	3937	3937	406	406	406	406	406	406	113	113	113	113	113	249	0	135	317	3	1
1000172	67	0	6367	96348	204	3954	3954	407	407	407	407	407	407	113	113	113	113	113	249	0	136	317	3	1
1000173	67	0	6367	96348	204	3954	3954	407	407	407	407	407	407	113	113	113	113	113	249	0	136	317	3	1
1000174	67	0	6394	96758	204	3971	3971	409	409	409	409	409	409	113	113	113	113	113	250	0	136	318	3	1
1000175	67	0	6421	97168	205	3988	3988	410	410	410	410	410	410	114	114	114	114	114	251	0	137	319	3	1
1000176	67	0	6421	97168	205	3988	3988	410	410	410	410	410	410	114	114	114	114	114	251	0	137	319	3	1
1000177	67	0	6447	97578	206	4005	4005	411	411	411	411	411	411	114	114	114	114	114	251	0	137	320	3	1
1000178	67	0	6474	97988	206	4022	4022	412	412	412	412	412	412	114	114	114	114	114	252	0	137	321	3	1
1000179	67	0	6474	97988	206	4022	4022	412	412	412	412	412	412	114	114	114	114	114	252	0	137	321	3	1
1000180	67	0	6501	98398	207	4039	4039	413	413	413	413	413	413	115	115	115	115	115	253	0	138	322	3	1
1000181	67	0	6528	98808	207	4056	4056	414	414	414	414	414	414	115	115	115	115	115	253	0	138	323	3	1
1000182	67	0	6528	98808	207	4056	4056	414	414	414	414	414	414	115	115	115	115	115	253	0	138	323	3	1
1000183	68	0	6554	99218	208	4073	4073	415	415	415	415	415	415	115	115	115	115	115	254	0	138	324	3	1
1000184	68	0	6581	99631	208	4090	4090	416	416	416	416	416	416	116	116	116	116	116	255	0	139	324	3	1
1000185	68	0	6608	100043	209	4107	4107	417	417	417	417	417	417	116	116	116	116	116	255	0	139	325	3	1
1000186	68	0	6635	100456	209	4125	4125	419	419	419	419	419	419	116	116	116	116	116	256	0	139	326	3	1
1000187	68	0	6635	100456	209	4125	4125	419	419	419	419	419	419	116	116	116	116	116	256	0	139	326	3	1
1000188	68	0	6662	100869	210	4142	4142	420	420	420	420	420	420	116	116	116	116	116	257	0	140	327	3	1
1000189	68	0	6689	101282	211	4159	4159	421	421	421	421	421	421	117	117	117	117	117	258	0	140	328	3	1
1000190	68	0	6716	101694	211	4176	4176	422	422	422	422	422	422	117	117	117	117	117	258	0	141	329	3	1
1000191	68	0	6743	102107	212	4193	4193	423	423	423	423	423	423	117	117	117	117	117	259	0	141	330	3	1
1000192	68	0	6770	102520	212	4211	4211	424	424	424	424	424	424	118	118	118	118	118	260	0	141	331	3	1
1000193	68	0	6770	102520	212	4211	4211	424	424	424	424	424	424	118	118	118	118	118	260	0	141	331	3	1
1000194	68	0	6797	102933	213	4228	4228	425	425	425	425	425	425	118	118	118	118	118	260	0	142	331	3	1
1000195	69	0	6823	103346	213	4245	4245	426	426	426	426	426	426	118	118	118	118	118	261	0	142	332	3	1
1000196	69	0	6849	103737	214	4262	4262	428	428	428	428	428	428	119	119	119	119	119	262	0	143	333	3	1
1000197	69	0	6849	103737	214	4262	4262	428	428	428	428	428	428	119	119	119	119	119	262	0	143	333	3	1
1000198	69	0	6875	104128	215	4279	4279	429	429	429	429	429	429	119	119	119	119	119	262	0	143	334	3	1
1000199	69	0	6901	104520	215	4296	4296	430	430	430	430	430	430	119	119	119	119	119	263	0	143	335	3	1
1000200	69	0	6927	104911	216	4312	4312	431	431	431	431	431	431	120	120	120	120	120	264	0	144	336	3	1
1000201	69	0	6927	104911	216	4312	4312	431	431	431	431	431	431	120	120	120	120	120	264	0	144	336	3	1
1000202	69	0	6953	105303	216	4329	4329	432	432	432	432	432	432	120	120	120	120	120	264	0	144	337	3	1
1000203	69	0	6979	105694	217	4346	4346	433	433	433	433	433	433	120	120	120	120	120	265	0	144	338	3	1
1000204	69	0	6979	105694	217	4346	4346	433	433	433	433	433	433	120	120	120	120	120	265	0	144	338	3	1
1000205	69	0	7004	106086	217	4363	4363	434	434	434	434	434	434	121	121	121	121	121	266	0	145	338	3	1
1000206	69	0	7030	106477	218	4380	4380	436	436	436	436	436	436	121	121	121	121	121	267	0	145	339	3	1
1000207	69	0	7056	106868	219	4397	4397	437	437	437	437	437	437	121	121	121	121	121	267	0	146	340	3	1
1000208	69	0	7056	106868	219	4397	4397	437	437	437	437	437	437	121	121	121	121	121	267	0	146	340	3	1
1000209	70	0	7082	107260	219	4414	4414	438	438	438	438	438	438	122	122	122	122	122	268	0	146	341	4	1
1000210	70	0	7413	112161	220	4620	4620	439	439	439	439	439	439	122	122	122	122	122	269	0	146	342	4	1
1000211	70	0	7743	117062	220	4826	4826	440	440	440	440	440	440	122	122	122	122	122	269	0	147	343	4	1
1000212	70	0	7743	117062	220	4826	4826	440	440	440	440	440	440	122	122	122	122	122	269	0	147	343	4	1
1000213	70	0	8074	121963	221	5033	5033	441	441	441	441	441	441	122	122	122	122	122	270	0	147	344	4	1
1000214	70	0	8405	126865	221	5239	5239	442	442	442	442	442	442	123	123	123	123	123	271	0	147	345	4	1
1000215	70	0	8735	131766	222	5445	5445	444	444	444	444	444	444	123	123	123	123	123	271	0	148	346	4	1
1000216	70	0	8735	131766	222	5445	5445	444	444	444	444	444	444	123	123	123	123	123	271	0	148	346	4	1
