礼包ID(可乱序)	排序	开关状态（1:开启、0:关闭）	显示vip等级	红点显示（0:单次提示，1:循环显示）	所属页签	购买前置礼包	是否有后置礼包	触发前置条件	关闭条件	触发条件	触发条件参数	触发后生存时间	礼包名称	品质颜色	限购次数	次数显示（0:剩余，1:限购）	图标	奖励	支付类型(1:充值、2:道具花费)	充值ID	消耗道具	原价
1224	39	1	0	1	1	1223	1	gameday.15	0	weekLoop	1	0	text_av_giftbag_name_1214	red.png	2	0	giftbag_1050.png	user.vip_xp:3280,user.bindcash:3280,user.hero_exp:100000000,material.1:7500	1	17	0	0
1225	40	1	0	1	1	1224	0	gameday.15	0	weekLoop	1	0	text_av_giftbag_name_1215	golden.png	3	0	giftbag_1050.png	user.vip_xp:6480,user.bindcash:6480,user.hero_exp:200000000,material.1:12000	1	19	0	0
1311	41	1	0	1	1	0	1	gameday.1	gameday.15	weekLoop	1	0	text_av_giftbag_name_1311	purple.png	1	0	giftbag_1050.png	user.vip_xp:300,user.bindcash:300,material.42:1,material.41:9000	1	13	0	0
1312	42	1	0	1	1	1311	1	gameday.1	gameday.15	weekLoop	1	0	text_av_giftbag_name_1312	orange.png	2	0	giftbag_1050.png	user.vip_xp:680,user.bindcash:680,material.42:1,material.41:15000	1	14	0	0
1313	43	1	0	1	1	1312	1	gameday.1	gameday.15	weekLoop	1	0	text_av_giftbag_name_1313	orange.png	2	0	giftbag_1050.png	user.vip_xp:1280,user.bindcash:1280,material.42:1,material.41:30000	1	16	0	0
1314	44	1	0	1	1	1313	1	gameday.1	gameday.15	weekLoop	1	0	text_av_giftbag_name_1314	red.png	2	0	giftbag_1050.png	user.vip_xp:3280,user.bindcash:3280,material.42:1,material.41:75000	1	17	0	0
1315	45	1	0	1	1	1314	0	gameday.1	gameday.15	weekLoop	1	0	text_av_giftbag_name_1315	golden.png	3	0	giftbag_1050.png	user.vip_xp:6480,user.bindcash:6480,material.42:1,material.41:150000	1	19	0	0
1321	46	1	0	1	1	0	1	gameday.15	0	weekLoop	1	0	text_av_giftbag_name_1311	purple.png	1	0	giftbag_1050.png	user.vip_xp:300,user.bindcash:300,material.42:1,material.41:9000	1	13	0	0
1322	47	1	0	1	1	1321	1	gameday.15	0	weekLoop	1	0	text_av_giftbag_name_1312	orange.png	2	0	giftbag_1050.png	user.vip_xp:680,user.bindcash:680,material.42:1,material.41:15000	1	14	0	0
1323	48	1	0	1	1	1322	1	gameday.15	0	weekLoop	1	0	text_av_giftbag_name_1313	orange.png	2	0	giftbag_1050.png	user.vip_xp:1280,user.bindcash:1280,material.42:1,material.41:30000	1	16	0	0
1324	49	1	0	1	1	1323	1	gameday.15	0	weekLoop	1	0	text_av_giftbag_name_1314	red.png	2	0	giftbag_1050.png	user.vip_xp:3280,user.bindcash:3280,material.42:1,material.41:75000	1	17	0	0
1325	50	1	0	1	1	1324	0	gameday.15	0	weekLoop	1	0	text_av_giftbag_name_1315	golden.png	3	0	giftbag_1050.png	user.vip_xp:6480,user.bindcash:6480,material.42:1,material.41:150000	1	19	0	0
1411	51	1	0	1	1	0	1	gameday.1	gameday.15	weekLoop	1	0	text_av_giftbag_name_1411	purple.png	1	0	giftbag_1050.png	user.vip_xp:300,user.bindcash:300,user.wand:10,user.gold:15000000	1	13	0	0
1412	52	1	0	1	1	1411	1	gameday.1	gameday.15	weekLoop	1	0	text_av_giftbag_name_1412	orange.png	2	0	giftbag_1050.png	user.vip_xp:680,user.bindcash:680,user.wand:20,user.gold:25000000	1	14	0	0
1413	53	1	0	1	1	1412	1	gameday.1	gameday.15	weekLoop	1	0	text_av_giftbag_name_1413	orange.png	2	0	giftbag_1050.png	user.vip_xp:1280,user.bindcash:1280,user.wand:35,user.gold:40000000	1	16	0	0
1414	54	1	0	1	1	1413	1	gameday.1	gameday.15	weekLoop	1	0	text_av_giftbag_name_1414	red.png	2	0	giftbag_1050.png	user.vip_xp:3280,user.bindcash:3280,user.wand:70,user.gold:100000000	1	17	0	0
1415	55	1	0	1	1	1414	0	gameday.1	gameday.15	weekLoop	1	0	text_av_giftbag_name_1415	golden.png	3	0	giftbag_1050.png	user.vip_xp:6480,user.bindcash:6480,user.wand:100,user.gold:200000000	1	19	0	0
1421	56	1	0	1	1	0	1	gameday.15	0	weekLoop	1	0	text_av_giftbag_name_1411	purple.png	1	0	giftbag_1050.png	user.vip_xp:300,user.bindcash:300,user.wand:10,user.gold:15000000	1	13	0	0
1422	57	1	0	1	1	1421	1	gameday.15	0	weekLoop	1	0	text_av_giftbag_name_1412	orange.png	2	0	giftbag_1050.png	user.vip_xp:680,user.bindcash:680,user.wand:20,user.gold:25000000	1	14	0	0
1423	58	1	0	1	1	1422	1	gameday.15	0	weekLoop	1	0	text_av_giftbag_name_1413	orange.png	2	0	giftbag_1050.png	user.vip_xp:1280,user.bindcash:1280,user.wand:35,user.gold:40000000	1	16	0	0
1424	59	1	0	1	1	1423	1	gameday.15	0	weekLoop	1	0	text_av_giftbag_name_1414	red.png	2	0	giftbag_1050.png	user.vip_xp:3280,user.bindcash:3280,user.wand:70,user.gold:100000000	1	17	0	0
1425	60	1	0	1	1	1424	0	gameday.15	0	weekLoop	1	0	text_av_giftbag_name_1415	golden.png	3	0	giftbag_1050.png	user.vip_xp:6480,user.bindcash:6480,user.wand:100,user.gold:200000000	1	19	0	0
1511	61	1	0	1	1	0	1	gameday.1	gameday.15	weekLoop	1	0	text_av_giftbag_name_1511	purple.png	1	0	giftbag_1050.png	user.vip_xp:300,user.bindcash:300,user.rotate_ncoin:10,user.rotate_hcoin:1	1	13	0	0
1512	62	1	0	1	1	1511	1	gameday.1	gameday.15	weekLoop	1	0	text_av_giftbag_name_1512	orange.png	2	0	giftbag_1050.png	user.vip_xp:680,user.bindcash:680,user.rotate_ncoin:15,user.rotate_hcoin:2	1	14	0	0
1513	63	1	0	1	1	1512	1	gameday.1	gameday.15	weekLoop	1	0	text_av_giftbag_name_1513	orange.png	2	0	giftbag_1050.png	user.vip_xp:1280,user.bindcash:1280,user.rotate_ncoin:20,user.rotate_hcoin:4	1	16	0	0
1514	64	1	0	1	1	1513	1	gameday.1	gameday.15	weekLoop	1	0	text_av_giftbag_name_1514	red.png	2	0	giftbag_1050.png	user.vip_xp:3280,user.bindcash:3280,user.rotate_ncoin:30,user.rotate_hcoin:10	1	17	0	0
1515	65	1	0	1	1	1514	0	gameday.1	gameday.15	weekLoop	1	0	text_av_giftbag_name_1515	golden.png	3	0	giftbag_1050.png	user.vip_xp:6480,user.bindcash:6480,user.rotate_ncoin:40,user.rotate_hcoin:20	1	19	0	0
1521	66	1	0	1	1	0	1	gameday.15	0	weekLoop	1	0	text_av_giftbag_name_1511	purple.png	1	0	giftbag_1050.png	user.vip_xp:300,user.bindcash:300,user.rotate_ncoin:10,user.rotate_hcoin:1	1	13	0	0
1522	67	1	0	1	1	1521	1	gameday.15	0	weekLoop	1	0	text_av_giftbag_name_1512	orange.png	2	0	giftbag_1050.png	user.vip_xp:680,user.bindcash:680,user.rotate_ncoin:15,user.rotate_hcoin:2	1	14	0	0
1523	68	1	0	1	1	1522	1	gameday.15	0	weekLoop	1	0	text_av_giftbag_name_1513	orange.png	2	0	giftbag_1050.png	user.vip_xp:1280,user.bindcash:1280,user.rotate_ncoin:20,user.rotate_hcoin:4	1	16	0	0
1524	69	1	0	1	1	1523	1	gameday.15	0	weekLoop	1	0	text_av_giftbag_name_1514	red.png	2	0	giftbag_1050.png	user.vip_xp:3280,user.bindcash:3280,user.rotate_ncoin:30,user.rotate_hcoin:10	1	17	0	0
1525	70	1	0	1	1	1524	0	gameday.15	0	weekLoop	1	0	text_av_giftbag_name_1515	golden.png	3	0	giftbag_1050.png	user.vip_xp:6480,user.bindcash:6480,user.rotate_ncoin:40,user.rotate_hcoin:20	1	19	0	0
2010	1	1	0	1	1	0	1	gameday.2	gameday.15	monthLoop	1	0	text_av_giftbag_name_2010	purple.png	1	0	giftbag_10101.png	user.bindcash:250,material.31:1,material.950:20	2	0	user.cash:-250	0
2011	1	1	0	1	1	0	1	gameday.15	0	monthLoop	1	0	text_av_giftbag_name_2010	purple.png	1	0	giftbag_10101.png	user.bindcash:250,material.31:1,material.950:20	2	0	user.cash:-250	0
2020	1	1	0	1	1	2010	1	gameday.2	gameday.15	monthLoop	1	0	text_av_giftbag_name_2020	orange.png	1	0	giftbag_10102.png	user.bindcash:500,material.31:1,material.950:40	2	0	user.cash:-500	0
2021	1	1	0	1	1	2011	1	gameday.15	0	monthLoop	1	0	text_av_giftbag_name_2020	orange.png	1	0	giftbag_10102.png	user.bindcash:500,material.31:1,material.950:40	2	0	user.cash:-500	0
2030	1	1	0	1	1	2020	1	gameday.2	gameday.15	monthLoop	1	0	text_av_giftbag_name_2030	orange.png	1	0	giftbag_10102.png	user.bindcash:1500,material.32:1,material.950:70	2	0	user.cash:-1500	0
2031	1	1	0	1	1	2021	1	gameday.15	0	monthLoop	1	0	text_av_giftbag_name_2030	orange.png	1	0	giftbag_10102.png	user.bindcash:1500,material.32:1,material.950:70	2	0	user.cash:-1500	0
2040	1	1	0	1	1	2030	1	gameday.2	gameday.15	monthLoop	1	0	text_av_giftbag_name_2040	red.png	1	0	giftbag_10102.png	user.bindcash:2500,material.33:1,material.950:100	2	0	user.cash:-2500	0
2041	1	1	0	1	1	2031	1	gameday.15	0	monthLoop	1	0	text_av_giftbag_name_2040	red.png	1	0	giftbag_10102.png	user.bindcash:2500,material.33:1,material.950:100	2	0	user.cash:-2500	0
2050	1	1	0	1	1	2040	0	gameday.2	gameday.15	monthLoop	1	0	text_av_giftbag_name_2050	golden.png	1	0	giftbag_10201.png	user.bindcash:5000,material.34:1,material.950:200	2	0	user.cash:-5000	0
2051	1	1	0	1	1	2041	0	gameday.15	0	monthLoop	1	0	text_av_giftbag_name_2050	golden.png	1	0	giftbag_10201.png	user.bindcash:5000,material.34:1,material.950:200	2	0	user.cash:-5000	0
2060	1	0	0	1	1	0	0	gameday.2	gameday.15	monthLoop	1	0	text_av_giftbag_name_2060	golden.png	1	0	giftbag_10202.png	user.bindcash:1400,user.rotate_hcoin:3,user.htoken:30,material.33:1	2	0	user.cash:-5000	0
2061	1	0	0	1	1	0	0	gameday.15	0	monthLoop	1	0	text_av_giftbag_name_2060	golden.png	1	0	giftbag_10202.png	user.bindcash:1400,user.rotate_hcoin:8,user.htoken:30,material.34:1	2	0	user.cash:-5000	0
10101	150	1	0	1	4	0	1	0	0	gameDay	7	3	text_av_giftbag_name_10101	purple.png	1	0	giftbag_10101.png	user.vip_xp:300,user.bindcash:300,material.100:150	1	13	0	0
10102	151	1	0	1	4	10101	1	0	0	gameDay	7	3	text_av_giftbag_name_10102	orange.png	2	0	giftbag_10102.png	user.vip_xp:680,user.bindcash:680,material.100:300	1	14	0	0
10103	152	1	0	1	4	10102	1	0	0	gameDay	7	3	text_av_giftbag_name_10103	orange.png	2	0	giftbag_10103.png	user.vip_xp:1280,user.bindcash:1280,material.100:500	1	16	0	0
10104	153	1	0	1	4	10103	1	0	0	gameDay	7	3	text_av_giftbag_name_10104	red.png	2	0	giftbag_10104.png	user.vip_xp:3280,user.bindcash:3280,material.100:1000	1	17	0	0
10105	154	1	0	1	4	10104	0	0	0	gameDay	7	3	text_av_giftbag_name_10105	golden.png	3	0	giftbag_10104.png	user.vip_xp:6480,user.bindcash:6480,material.100:1500	1	19	0	0
10201	155	1	0	1	4	0	1	0	0	gameDay	10	3	text_av_giftbag_name_10201	purple.png	1	0	giftbag_10201.png	user.vip_xp:300,user.bindcash:300,material.200:150	1	13	0	0
10202	156	1	0	1	4	10201	1	0	0	gameDay	10	3	text_av_giftbag_name_10202	orange.png	2	0	giftbag_10202.png	user.vip_xp:680,user.bindcash:680,material.200:300	1	14	0	0
10203	157	1	0	1	4	10202	1	0	0	gameDay	10	3	text_av_giftbag_name_10203	orange.png	2	0	giftbag_10203.png	user.vip_xp:1280,user.bindcash:1280,material.200:500	1	16	0	0
10204	158	1	0	1	4	10203	1	0	0	gameDay	10	3	text_av_giftbag_name_10204	red.png	2	0	giftbag_10204.png	user.vip_xp:3280,user.bindcash:3280,material.200:1000	1	17	0	0
10205	159	1	0	1	4	10204	0	0	0	gameDay	10	3	text_av_giftbag_name_10205	golden.png	3	0	giftbag_10204.png	user.vip_xp:6480,user.bindcash:6480,material.200:1500	1	19	0	0
10301	160	1	0	1	4	0	1	0	0	gameDay	13	3	text_av_giftbag_name_10301	purple.png	1	0	giftbag_10301.png	user.vip_xp:300,user.bindcash:300,material.300:150	1	13	0	0
10302	161	1	0	1	4	10301	1	0	0	gameDay	13	3	text_av_giftbag_name_10302	orange.png	2	0	giftbag_10302.png	user.vip_xp:680,user.bindcash:680,material.300:300	1	14	0	0
10303	162	1	0	1	4	10302	1	0	0	gameDay	13	3	text_av_giftbag_name_10303	orange.png	2	0	giftbag_10303.png	user.vip_xp:1280,user.bindcash:1280,material.300:500	1	16	0	0
10304	163	1	0	1	4	10303	1	0	0	gameDay	13	3	text_av_giftbag_name_10304	red.png	2	0	giftbag_10304.png	user.vip_xp:3280,user.bindcash:3280,material.300:1000	1	17	0	0
10305	164	1	0	1	4	10304	0	0	0	gameDay	13	3	text_av_giftbag_name_10305	golden.png	3	0	giftbag_10304.png	user.vip_xp:6480,user.bindcash:6480,material.300:1500	1	19	0	0
10111	210	1	0	1	4	0	1	gameday.36	0	fixedTime	2020:03:21	3	text_av_giftbag_name_10111	purple.png	1	0	giftbag_10101.png	user.vip_xp:300,user.bindcash:300,material.100:150	1	13	0	0
10112	211	1	0	1	4	10111	1	gameday.36	0	fixedTime	2020:03:21	3	text_av_giftbag_name_10112	orange.png	2	0	giftbag_10102.png	user.vip_xp:680,user.bindcash:680,material.100:300	1	14	0	0
10113	212	1	0	1	4	10112	1	gameday.36	0	fixedTime	2020:03:21	3	text_av_giftbag_name_10113	orange.png	2	0	giftbag_10103.png	user.vip_xp:1280,user.bindcash:1280,material.100:500	1	16	0	0
10114	213	1	0	1	4	10113	1	gameday.36	0	fixedTime	2020:03:21	3	text_av_giftbag_name_10114	red.png	2	0	giftbag_10104.png	user.vip_xp:3280,user.bindcash:3280,material.100:1000	1	17	0	0
10115	214	1	0	1	4	10114	0	gameday.36	0	fixedTime	2020:03:21	3	text_av_giftbag_name_10115	golden.png	3	0	giftbag_10104.png	user.vip_xp:6480,user.bindcash:6480,material.100:1500	1	19	0	0
10211	215	1	0	1	4	0	1	gameday.36	0	fixedTime	2020:03:28	3	text_av_giftbag_name_10211	purple.png	1	0	giftbag_10201.png	user.vip_xp:300,user.bindcash:300,material.200:150	1	13	0	0
10212	216	1	0	1	4	10211	1	gameday.36	0	fixedTime	2020:03:28	3	text_av_giftbag_name_10212	orange.png	2	0	giftbag_10202.png	user.vip_xp:680,user.bindcash:680,material.200:300	1	14	0	0
10213	217	1	0	1	4	10212	1	gameday.36	0	fixedTime	2020:03:28	3	text_av_giftbag_name_10213	orange.png	2	0	giftbag_10203.png	user.vip_xp:1280,user.bindcash:1280,material.200:500	1	16	0	0
10214	218	1	0	1	4	10213	1	gameday.36	0	fixedTime	2020:03:28	3	text_av_giftbag_name_10214	red.png	2	0	giftbag_10204.png	user.vip_xp:3280,user.bindcash:3280,material.200:1000	1	17	0	0
10215	219	1	0	1	4	10214	0	gameday.36	0	fixedTime	2020:03:28	3	text_av_giftbag_name_10215	golden.png	3	0	giftbag_10204.png	user.vip_xp:6480,user.bindcash:6480,material.200:1500	1	19	0	0
10311	220	1	0	1	4	0	1	gameday.36	0	fixedTime	2020:04:04	3	text_av_giftbag_name_10311	purple.png	1	0	giftbag_10301.png	user.vip_xp:300,user.bindcash:300,material.300:150	1	13	0	0
10312	221	1	0	1	4	10311	1	gameday.36	0	fixedTime	2020:04:04	3	text_av_giftbag_name_10312	orange.png	2	0	giftbag_10302.png	user.vip_xp:680,user.bindcash:680,material.300:300	1	14	0	0
10313	222	1	0	1	4	10312	1	gameday.36	0	fixedTime	2020:04:04	3	text_av_giftbag_name_10313	orange.png	2	0	giftbag_10303.png	user.vip_xp:1280,user.bindcash:1280,material.300:500	1	16	0	0
10314	223	1	0	1	4	10313	1	gameday.36	0	fixedTime	2020:04:04	3	text_av_giftbag_name_10314	red.png	2	0	giftbag_10304.png	user.vip_xp:3280,user.bindcash:3280,material.300:1000	1	17	0	0
10315	224	1	0	1	4	10314	0	gameday.36	0	fixedTime	2020:04:04	3	text_av_giftbag_name_10315	golden.png	3	0	giftbag_10304.png	user.vip_xp:6480,user.bindcash:6480,material.300:1500	1	19	0	0
4013	314	1	0	0	5	0	0	0	0	gameDay	1	0	text_av_giftbag_name_4010	orange.png	1	1	giftbag_4010.png	user.vip_xp:3280,skyweapon.8.2:1,material.101201:20,user.htoken:10,material.31:1,user.rotate_hcoin:5	1	17	0	0
4014	315	1	0	0	5	0	0	0	0	gameDay	1	0	text_av_giftbag_name_4011	red.png	1	1	giftbag_4011.png	user.vip_xp:4480,skywing.8.2:1,material.101201:30,user.htoken:15,material.32:1,user.rotate_hcoin:7	1	18	0	0
4015	316	1	0	0	5	0	0	0	0	gameDay	1	0	text_av_giftbag_name_4012	golden.png	1	1	giftbag_4011.png	user.vip_xp:6480,skymount.8.2:1,material.101201:40,user.htoken:20,material.33:1,user.rotate_hcoin:10	1	19	0	0
4016	309	1	0	0	5	0	0	0	0	gameDay	8	0	text_av_giftbag_name_1030	orange.png	7	1	giftbag_4011.png	user.vip_xp:300,user.gold:5000000,user.hero_exp:10000000,user.htoken:3	1	13	0	0
4017	308	0	0	0	5	0	0	0	0	gameDay	10	0	text_av_giftbag_name_1031	golden.png	2	1	giftbag_4011.png	user.vip_xp:6480,user.gold:50000000,user.hero_exp:100000000,material.1:2500	1	19	0	0
4101	310	1	0	0	4	0	0	0	0	gameDay	1	3	text_av_giftbag_name_4102	orange.png	2	0	giftbag_4011.png	user.vip_xp:3280,equip.10401.0:1,equip.20401.0:1,equip.30401.0:1,equip.40401.0:1,equip.50401.0:1,equip.60401.0:1	1	17	0	0
4102	312	1	0	0	5	0	0	0	0	gameDay	6	0	text_av_giftbag_name_4104	red.png	1	1	giftbag_4011.png	user.vip_xp:4480,material.31:1,material.32:1,material.33:1,material.34:1	1	18	0	0
4103	313	1	0	0	5	0	0	0	0	gameDay	6	0	text_av_giftbag_name_4050	golden.png	1	1	giftbag_4011.png	user.vip_xp:6480,wake_dragon.5:1,material.100401:5,material.100402:5,dragon.1003:5	1	19	0	0
4104	307	1	0	0	4	0	0	0	0	gameDay	7	3	text_av_giftbag_name_4103	golden.png	1	0	giftbag_4011.png	user.vip_xp:6480,equip.10501.0:1,equip.20501.0:1,equip.30501.0:1,equip.40501.0:1,equip.50501.0:1,equip.60501.0:1	1	19	0	0
3010	412	1	0	0	4	0	0	0	0	loginDay	1	3	text_av_giftbag_name_3010	purple.png	1	1	giftbag_4011.png	user.vip_xp:300,user.bindcash:300,user.ntoken:50,fragment.3001:20,fragment.2001:20,fragment.2002:20	1	13	0	0
3020	413	1	0	0	4	0	0	0	0	loginDay	1	3	text_av_giftbag_name_3020	purple.png	1	1	giftbag_4011.png	user.vip_xp:300,user.bindcash:300,material.1:200,material.101703:1,material.31:1	1	13	0	0
3030	414	1	0	0	4	0	0	0	0	loginDay	1	3	text_av_giftbag_name_3030	purple.png	1	1	giftbag_4011.png	user.vip_xp:300,user.bindcash:300,user.wand:10,user.htoken:5,material.31:1	1	13	0	0
3040	411	1	0	0	4	0	0	level.25	0	loginDay	1	3	text_av_giftbag_name_3040	purple.png	1	1	giftbag_4011.png	user.vip_xp:300,user.bindcash:300,material.100401:1,material.100402:1,material.31:1	1	13	0	0
