装备ID	装备名称	穿戴部位	评级	星星图标	星星数量	套装ID	装备图标	获取途径	出售价格	基础属性类型	阵营类型	阵营基础百分比加成	特殊属性
20011	text_gearName_20011	2	5	star_1.png	1	11	equip_body_12.png	10304|601	user.gold:46	3|12400	0	0	0
20012	text_gearName_20012	2	5	star_1.png	2	12	equip_body_13.png	10304|601	user.gold:47	3|16000	0	0	0
20013	text_gearName_20013	2	5	star_1.png	3	13	equip_body_14.png	10304|601	user.gold:48	3|20000	0	0	0
20014	text_gearName_20014	2	5	star_1.png	4	14	equip_body_14.png	10304|601	user.gold:49	3|24500	0	0	0
20015	text_gearName_20015	2	5	star_1.png	5	15	equip_body_14.png	10305|601	user.gold:50	3|29400	0	0	103|300
20101	text_gearName_20016	2	6	star_2.png	5	16	equip_body_17.png	10305|601	user.gold:51	3|34800	1	30	103|500
20102	text_gearName_20016	2	6	star_2.png	5	16	equip_body_17.png	10305|601	user.gold:51	3|34800	2	30	103|500
20103	text_gearName_20016	2	6	star_2.png	5	16	equip_body_17.png	10305|601	user.gold:51	3|34800	3	30	103|500
20104	text_gearName_20016	2	6	star_2.png	5	16	equip_body_17.png	10305|601	user.gold:51	3|34800	4	30	103|500
20105	text_gearName_20016	2	6	star_2.png	5	16	equip_body_17.png	10305|601	user.gold:51	3|34800	5	30	103|500
20106	text_gearName_20016	2	6	star_2.png	5	16	equip_body_17.png	10305|601	user.gold:51	3|34800	6	30	103|500
30001	text_gearName_30001	3	1	star_1.png	1	1	equip_hand_02.png	10305|601	user.gold:54	1|26	0	0	0
30002	text_gearName_30002	3	2	star_1.png	1	2	equip_hand_03.png	10305|601	user.gold:54	1|42	0	0	0
30003	text_gearName_30003	3	2	star_1.png	2	3	equip_hand_04.png	10305|601	user.gold:55	1|65	0	0	0
30004	text_gearName_30004	3	3	star_1.png	1	4	equip_hand_06.png	10306|601	user.gold:56	1|96	0	0	0
30005	text_gearName_30005	3	3	star_1.png	2	5	equip_hand_07.png	10306|601	user.gold:57	1|130	0	0	0
30006	text_gearName_30006	3	3	star_1.png	3	6	equip_hand_08.png	10306|601	user.gold:58	1|180	0	0	0
30007	text_gearName_30007	3	4	star_1.png	1	7	equip_hand_09.png	10306|601	user.gold:59	1|230	0	0	0
30008	text_gearName_30008	3	4	star_1.png	2	8	equip_hand_10.png	10306|601	user.gold:60	1|300	0	0	0
30009	text_gearName_30009	3	4	star_1.png	3	9	equip_hand_11.png	10306|601	user.gold:61	1|440	0	0	0
30010	text_gearName_30010	3	4	star_1.png	4	10	equip_hand_11.png	10305|601	user.gold:62	1|620	0	0	0
30011	text_gearName_30011	3	5	star_1.png	1	11	equip_hand_12.png	10305|601	user.gold:63	1|830	0	0	0
30012	text_gearName_30012	3	5	star_1.png	2	12	equip_hand_13.png	10305|601	user.gold:64	1|1060	0	0	0
30013	text_gearName_30013	3	5	star_1.png	3	13	equip_hand_14.png	10305|601	user.gold:65	1|1330	0	0	0
30014	text_gearName_30014	3	5	star_1.png	4	14	equip_hand_14.png	10305|601	user.gold:66	1|1630	0	0	0
30015	text_gearName_30015	3	5	star_1.png	5	15	equip_hand_14.png	10305|601	user.gold:67	1|1960	0	0	101|300
30101	text_gearName_30016	3	6	star_2.png	5	16	equip_hand_17.png	10305|601	user.gold:68	1|2320	1	30	101|500
30102	text_gearName_30016	3	6	star_2.png	5	16	equip_hand_17.png	10305|601	user.gold:68	1|2320	2	30	101|500
30103	text_gearName_30016	3	6	star_2.png	5	16	equip_hand_17.png	10305|601	user.gold:68	1|2320	3	30	101|500
30104	text_gearName_30016	3	6	star_2.png	5	16	equip_hand_17.png	10305|601	user.gold:68	1|2320	4	30	101|500
30105	text_gearName_30016	3	6	star_2.png	5	16	equip_hand_17.png	10305|601	user.gold:68	1|2320	5	30	101|500
30106	text_gearName_30016	3	6	star_2.png	5	16	equip_hand_17.png	10305|601	user.gold:68	1|2320	6	30	101|500
40001	text_gearName_40001	4	1	star_1.png	1	1	equip_foot_02.png	10305|601	user.gold:71	3|270	0	0	0
40002	text_gearName_40002	4	2	star_1.png	1	2	equip_foot_03.png	10305|601	user.gold:71	3|420	0	0	0
40003	text_gearName_40003	4	2	star_1.png	2	3	equip_foot_04.png	10305|601	user.gold:72	3|650	0	0	0
40004	text_gearName_40004	4	3	star_1.png	1	4	equip_foot_06.png	10305|601	user.gold:73	3|960	0	0	0
40005	text_gearName_40005	4	3	star_1.png	2	5	equip_foot_07.png	10305|601	user.gold:74	3|1340	0	0	0
40006	text_gearName_40006	4	3	star_1.png	3	6	equip_foot_08.png	10305|601	user.gold:75	3|1800	0	0	0
40007	text_gearName_40007	4	4	star_1.png	1	7	equip_foot_09.png	10305|601	user.gold:76	3|2340	0	0	0
40008	text_gearName_40008	4	4	star_1.png	2	8	equip_foot_10.png	10305|601	user.gold:77	3|2960	0	0	0
40009	text_gearName_40009	4	4	star_1.png	3	9	equip_foot_11.png	10305|601	user.gold:78	3|4420	0	0	0
40010	text_gearName_40010	4	4	star_1.png	4	10	equip_foot_11.png	10305|601	user.gold:79	3|6180	0	0	0
40011	text_gearName_40011	4	5	star_1.png	1	11	equip_foot_12.png	10305|601	user.gold:80	3|8260	0	0	0
40012	text_gearName_40012	4	5	star_1.png	2	12	equip_foot_13.png	10305|601	user.gold:81	3|10600	0	0	0
40013	text_gearName_40013	4	5	star_1.png	3	13	equip_foot_14.png	10305|601	user.gold:82	3|13300	0	0	0
40014	text_gearName_40014	4	5	star_1.png	4	14	equip_foot_14.png	10305|601	user.gold:83	3|16300	0	0	0
40015	text_gearName_40015	4	5	star_1.png	5	15	equip_foot_14.png	10305|601	user.gold:84	3|19600	0	0	103|300
40101	text_gearName_40016	4	6	star_2.png	5	16	equip_foot_17.png	10305|601	user.gold:85	3|23200	1	30	103|500
40102	text_gearName_40016	4	6	star_2.png	5	16	equip_foot_17.png	10305|601	user.gold:85	3|23200	2	30	103|500
40103	text_gearName_40016	4	6	star_2.png	5	16	equip_foot_17.png	10305|601	user.gold:85	3|23200	3	30	103|500
40104	text_gearName_40016	4	6	star_2.png	5	16	equip_foot_17.png	10305|601	user.gold:85	3|23200	4	30	103|500
40105	text_gearName_40016	4	6	star_2.png	5	16	equip_foot_17.png	10305|601	user.gold:85	3|23200	5	30	103|500
40106	text_gearName_40016	4	6	star_2.png	5	16	equip_foot_17.png	10305|601	user.gold:85	3|23200	6	30	103|500
