等级	技能战力系数	攻击	生命	防御	速度	攻击%	生命%	防御%	速度%	精准	格挡	暴击	荆棘等级	吸血等级	控制等级	免控等级	伤害增强	治疗增强	灵魂伤害	无视防御	减伤率	暴击伤害	受治疗效果	每回合回血
11	24	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
12	24	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
13	27	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
14	27	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
15	27	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
16	36	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
17	36	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
18	36	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
19	36	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
20	36	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
21	45	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
22	48	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
23	48	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
24	48	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
25	48	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
26	51	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
27	51	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
28	51	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
29	54	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
30	54	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
31	57	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
32	60	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
33	63	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
34	66	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
35	75	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
36	78	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
37	81	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
38	84	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
39	87	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
40	90	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
41	93	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
42	99	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
43	108	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
44	111	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
45	117	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
46	120	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
47	123	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
48	126	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
49	129	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
50	135	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
51	189	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
52	195	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
53	201	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
54	207	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
55	216	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
56	222	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
57	228	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
58	234	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
59	243	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
60	258	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
61	279	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
62	297	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
63	312	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
64	330	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
65	345	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
66	360	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
67	375	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
68	393	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
69	408	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
70	423	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
71	621	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
72	648	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
73	669	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
74	687	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
75	708	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
76	729	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
77	747	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
78	768	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
79	993	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
80	1041	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
81	1065	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
82	1101	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
83	1122	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
84	1143	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
85	1167	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
86	1188	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
87	1212	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
88	1350	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
89	1371	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
90	1395	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
91	1464	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
92	1488	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
93	1512	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
94	1533	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
95	1575	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
96	1596	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
97	1617	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
98	1641	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
99	1662	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
100	1737	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
101	2337	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
102	2379	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
103	2424	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
104	2469	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
105	2538	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
106	2583	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
107	2670	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
108	2715	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
109	2760	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
110	2805	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
111	2850	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
112	2895	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
113	2943	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
114	3060	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
115	3108	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
116	3153	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
117	3201	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
118	3246	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
119	3294	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
120	3348	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
121	3468	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
122	3561	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
123	3624	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
124	3684	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
125	3747	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
126	3855	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
127	3918	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
128	3981	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
129	4083	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
130	4146	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
131	4212	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
132	4323	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
133	4389	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
134	4455	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
135	4560	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
136	4629	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
137	4740	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
138	4809	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
139	4878	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
140	4953	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
141	5064	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
142	5175	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
143	5241	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
144	5349	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
145	5418	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
146	5484	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
147	5601	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
148	5667	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
149	5736	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
150	5805	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
151	5871	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
152	5940	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
153	6447	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
154	6516	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
155	6585	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
156	6654	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
157	6723	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
158	6792	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
159	6864	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
160	6942	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
161	7053	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
162	7164	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
163	7281	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
164	7395	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
165	7512	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
166	7626	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
167	7743	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
168	7863	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
169	7980	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
170	8103	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
171	8223	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
172	8346	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
173	8469	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
174	8595	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
175	8718	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
176	8847	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
177	8973	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
178	9102	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
179	9234	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
180	9408	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
181	9624	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
182	9786	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
183	9945	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
184	10110	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
185	10272	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
186	10440	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
187	10605	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
188	10770	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
189	10992	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
190	11157	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
191	11325	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
192	11493	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
193	11661	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
194	11829	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
195	11982	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
196	12138	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
197	12291	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
198	12438	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
199	12588	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
200	12741	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
201	12891	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
202	13044	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
203	13194	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
204	13347	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
205	13500	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
206	13653	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
