任务类型	等级	1星奖励	2星奖励	3星奖励	4星奖励	5星奖励
1	181	material.1:33,group.3001.0:5	material.1:39,group.3001.0:5	material.1:46,group.3001.0:5	material.1:59,group.3001.0:5	material.1:65,group.3001.0:5
1	191	material.1:34,group.3001.0:5	material.1:41,group.3001.0:5	material.1:48,group.3001.0:5	material.1:61,group.3001.0:5	material.1:68,group.3001.0:5
1	201	material.1:36,group.3001.0:5	material.1:43,group.3001.0:5	material.1:50,group.3001.0:5	material.1:64,group.3001.0:5	material.1:72,group.3001.0:5
1	211	material.1:38,group.3001.0:5	material.1:45,group.3001.0:5	material.1:53,group.3001.0:5	material.1:68,group.3001.0:5	material.1:75,group.3001.0:5
1	221	material.1:39,group.3001.0:5	material.1:47,group.3001.0:5	material.1:55,group.3001.0:5	material.1:71,group.3001.0:5	material.1:79,group.3001.0:5
1	231	material.1:41,group.3001.0:5	material.1:50,group.3001.0:5	material.1:58,group.3001.0:5	material.1:75,group.3001.0:5	material.1:83,group.3001.0:5
1	241	material.1:43,group.3001.0:5	material.1:52,group.3001.0:5	material.1:60,group.3001.0:5	material.1:78,group.3001.0:5	material.1:86,group.3001.0:5
1	251	material.1:43,group.3001.0:5	material.1:52,group.3001.0:5	material.1:60,group.3001.0:5	material.1:78,group.3001.0:5	material.1:86,group.3001.0:5
1	261	material.1:43,group.3001.0:5	material.1:52,group.3001.0:5	material.1:60,group.3001.0:5	material.1:78,group.3001.0:5	material.1:86,group.3001.0:5
1	271	material.1:43,group.3001.0:5	material.1:52,group.3001.0:5	material.1:60,group.3001.0:5	material.1:78,group.3001.0:5	material.1:86,group.3001.0:5
1	281	material.1:43,group.3001.0:5	material.1:52,group.3001.0:5	material.1:60,group.3001.0:5	material.1:78,group.3001.0:5	material.1:86,group.3001.0:5
1	291	material.1:43,group.3001.0:5	material.1:52,group.3001.0:5	material.1:60,group.3001.0:5	material.1:78,group.3001.0:5	material.1:86,group.3001.0:5
1	301	material.1:43,group.3001.0:5	material.1:52,group.3001.0:5	material.1:60,group.3001.0:5	material.1:78,group.3001.0:5	material.1:86,group.3001.0:5
1	311	material.1:43,group.3001.0:5	material.1:52,group.3001.0:5	material.1:60,group.3001.0:5	material.1:78,group.3001.0:5	material.1:86,group.3001.0:5
1	321	material.1:43,group.3001.0:5	material.1:52,group.3001.0:5	material.1:60,group.3001.0:5	material.1:78,group.3001.0:5	material.1:86,group.3001.0:5
1	331	material.1:43,group.3001.0:5	material.1:52,group.3001.0:5	material.1:60,group.3001.0:5	material.1:78,group.3001.0:5	material.1:86,group.3001.0:5
1	341	material.1:43,group.3001.0:5	material.1:52,group.3001.0:5	material.1:60,group.3001.0:5	material.1:78,group.3001.0:5	material.1:86,group.3001.0:5
1	351	material.1:43,group.3001.0:5	material.1:52,group.3001.0:5	material.1:60,group.3001.0:5	material.1:78,group.3001.0:5	material.1:86,group.3001.0:5
2	1	user.hero_exp:5800,group.3001.0:5	user.hero_exp:7000,group.3001.0:5	user.hero_exp:8200,group.3001.0:5	user.hero_exp:10500,group.3001.0:5	user.hero_exp:11700,group.3001.0:5
2	11	user.hero_exp:11200,group.3001.0:5	user.hero_exp:13500,group.3001.0:5	user.hero_exp:15700,group.3001.0:5	user.hero_exp:20200,group.3001.0:5	user.hero_exp:22500,group.3001.0:5
2	21	user.hero_exp:16800,group.3001.0:5	user.hero_exp:20200,group.3001.0:5	user.hero_exp:23600,group.3001.0:5	user.hero_exp:30300,group.3001.0:5	user.hero_exp:33700,group.3001.0:5
2	31	user.hero_exp:21600,group.3001.0:5	user.hero_exp:25900,group.3001.0:5	user.hero_exp:30200,group.3001.0:5	user.hero_exp:38900,group.3001.0:5	user.hero_exp:43200,group.3001.0:5
2	41	user.hero_exp:39500,group.3001.0:5	user.hero_exp:47400,group.3001.0:5	user.hero_exp:55300,group.3001.0:5	user.hero_exp:71200,group.3001.0:5	user.hero_exp:79100,group.3001.0:5
2	51	user.hero_exp:65900,group.3001.0:5	user.hero_exp:79100,group.3001.0:5	user.hero_exp:92200,group.3001.0:5	user.hero_exp:119000,group.3001.0:5	user.hero_exp:132000,group.3001.0:5
2	61	user.hero_exp:100000,group.3001.0:5	user.hero_exp:121000,group.3001.0:5	user.hero_exp:141000,group.3001.0:5	user.hero_exp:181000,group.3001.0:5	user.hero_exp:201000,group.3001.0:5
2	71	user.hero_exp:161000,group.3001.0:5	user.hero_exp:193000,group.3001.0:5	user.hero_exp:226000,group.3001.0:5	user.hero_exp:290000,group.3001.0:5	user.hero_exp:322000,group.3001.0:5
2	81	user.hero_exp:225000,group.3001.0:5	user.hero_exp:270000,group.3001.0:5	user.hero_exp:315000,group.3001.0:5	user.hero_exp:406000,group.3001.0:5	user.hero_exp:451000,group.3001.0:5
2	91	user.hero_exp:264000,group.3001.0:5	user.hero_exp:316000,group.3001.0:5	user.hero_exp:369000,group.3001.0:5	user.hero_exp:475000,group.3001.0:5	user.hero_exp:527000,group.3001.0:5
2	101	user.hero_exp:306000,group.3001.0:5	user.hero_exp:367000,group.3001.0:5	user.hero_exp:429000,group.3001.0:5	user.hero_exp:551000,group.3001.0:5	user.hero_exp:612000,group.3001.0:5
2	111	user.hero_exp:350000,group.3001.0:5	user.hero_exp:420000,group.3001.0:5	user.hero_exp:490000,group.3001.0:5	user.hero_exp:630000,group.3001.0:5	user.hero_exp:700000,group.3001.0:5
2	121	user.hero_exp:390000,group.3001.0:5	user.hero_exp:468000,group.3001.0:5	user.hero_exp:546000,group.3001.0:5	user.hero_exp:702000,group.3001.0:5	user.hero_exp:780000,group.3001.0:5
2	131	user.hero_exp:399000,group.3001.0:5	user.hero_exp:479000,group.3001.0:5	user.hero_exp:559000,group.3001.0:5	user.hero_exp:718000,group.3001.0:5	user.hero_exp:798000,group.3001.0:5
2	141	user.hero_exp:409000,group.3001.0:5	user.hero_exp:491000,group.3001.0:5	user.hero_exp:573000,group.3001.0:5	user.hero_exp:737000,group.3001.0:5	user.hero_exp:819000,group.3001.0:5
2	151	user.hero_exp:421000,group.3001.0:5	user.hero_exp:505000,group.3001.0:5	user.hero_exp:589000,group.3001.0:5	user.hero_exp:758000,group.3001.0:5	user.hero_exp:842000,group.3001.0:5
2	161	user.hero_exp:434000,group.3001.0:5	user.hero_exp:521000,group.3001.0:5	user.hero_exp:608000,group.3001.0:5	user.hero_exp:781000,group.3001.0:5	user.hero_exp:868000,group.3001.0:5
2	171	user.hero_exp:448000,group.3001.0:5	user.hero_exp:538000,group.3001.0:5	user.hero_exp:628000,group.3001.0:5	user.hero_exp:807000,group.3001.0:5	user.hero_exp:897000,group.3001.0:5
2	181	user.hero_exp:464000,group.3001.0:5	user.hero_exp:557000,group.3001.0:5	user.hero_exp:650000,group.3001.0:5	user.hero_exp:836000,group.3001.0:5	user.hero_exp:928000,group.3001.0:5
2	191	user.hero_exp:481000,group.3001.0:5	user.hero_exp:577000,group.3001.0:5	user.hero_exp:674000,group.3001.0:5	user.hero_exp:866000,group.3001.0:5	user.hero_exp:962000,group.3001.0:5
2	201	user.hero_exp:500000,group.3001.0:5	user.hero_exp:600000,group.3001.0:5	user.hero_exp:700000,group.3001.0:5	user.hero_exp:900000,group.3001.0:5	user.hero_exp:1000000,group.3001.0:5
2	211	user.hero_exp:519000,group.3001.0:5	user.hero_exp:623000,group.3001.0:5	user.hero_exp:727000,group.3001.0:5	user.hero_exp:935000,group.3001.0:5	user.hero_exp:1040000,group.3001.0:5
2	221	user.hero_exp:541000,group.3001.0:5	user.hero_exp:649000,group.3001.0:5	user.hero_exp:757000,group.3001.0:5	user.hero_exp:973000,group.3001.0:5	user.hero_exp:1080000,group.3001.0:5
2	231	user.hero_exp:563000,group.3001.0:5	user.hero_exp:676000,group.3001.0:5	user.hero_exp:788000,group.3001.0:5	user.hero_exp:1010000,group.3001.0:5	user.hero_exp:1130000,group.3001.0:5
2	241	user.hero_exp:583000,group.3001.0:5	user.hero_exp:700000,group.3001.0:5	user.hero_exp:816000,group.3001.0:5	user.hero_exp:1050000,group.3001.0:5	user.hero_exp:1170000,group.3001.0:5
2	251	user.hero_exp:583000,group.3001.0:5	user.hero_exp:700000,group.3001.0:5	user.hero_exp:816000,group.3001.0:5	user.hero_exp:1050000,group.3001.0:5	user.hero_exp:1170000,group.3001.0:5
2	261	user.hero_exp:583000,group.3001.0:5	user.hero_exp:700000,group.3001.0:5	user.hero_exp:816000,group.3001.0:5	user.hero_exp:1050000,group.3001.0:5	user.hero_exp:1170000,group.3001.0:5
2	271	user.hero_exp:583000,group.3001.0:5	user.hero_exp:700000,group.3001.0:5	user.hero_exp:816000,group.3001.0:5	user.hero_exp:1050000,group.3001.0:5	user.hero_exp:1170000,group.3001.0:5
2	281	user.hero_exp:583000,group.3001.0:5	user.hero_exp:700000,group.3001.0:5	user.hero_exp:816000,group.3001.0:5	user.hero_exp:1050000,group.3001.0:5	user.hero_exp:1170000,group.3001.0:5
2	291	user.hero_exp:583000,group.3001.0:5	user.hero_exp:700000,group.3001.0:5	user.hero_exp:816000,group.3001.0:5	user.hero_exp:1050000,group.3001.0:5	user.hero_exp:1170000,group.3001.0:5
2	301	user.hero_exp:583000,group.3001.0:5	user.hero_exp:700000,group.3001.0:5	user.hero_exp:816000,group.3001.0:5	user.hero_exp:1050000,group.3001.0:5	user.hero_exp:1170000,group.3001.0:5
2	311	user.hero_exp:583000,group.3001.0:5	user.hero_exp:700000,group.3001.0:5	user.hero_exp:816000,group.3001.0:5	user.hero_exp:1050000,group.3001.0:5	user.hero_exp:1170000,group.3001.0:5
2	321	user.hero_exp:583000,group.3001.0:5	user.hero_exp:700000,group.3001.0:5	user.hero_exp:816000,group.3001.0:5	user.hero_exp:1050000,group.3001.0:5	user.hero_exp:1170000,group.3001.0:5
2	331	user.hero_exp:583000,group.3001.0:5	user.hero_exp:700000,group.3001.0:5	user.hero_exp:816000,group.3001.0:5	user.hero_exp:1050000,group.3001.0:5	user.hero_exp:1170000,group.3001.0:5
2	341	user.hero_exp:583000,group.3001.0:5	user.hero_exp:700000,group.3001.0:5	user.hero_exp:816000,group.3001.0:5	user.hero_exp:1050000,group.3001.0:5	user.hero_exp:1170000,group.3001.0:5
2	351	user.hero_exp:583000,group.3001.0:5	user.hero_exp:700000,group.3001.0:5	user.hero_exp:816000,group.3001.0:5	user.hero_exp:1050000,group.3001.0:5	user.hero_exp:1170000,group.3001.0:5
3	1	user.gold:52100,group.3001.0:5	user.gold:62500,group.3001.0:5	user.gold:72900,group.3001.0:5	user.gold:93700,group.3001.0:5	user.gold:104000,group.3001.0:5
3	11	user.gold:54200,group.3001.0:5	user.gold:65100,group.3001.0:5	user.gold:75900,group.3001.0:5	user.gold:97600,group.3001.0:5	user.gold:108000,group.3001.0:5
3	21	user.gold:56600,group.3001.0:5	user.gold:67900,group.3001.0:5	user.gold:79200,group.3001.0:5	user.gold:102000,group.3001.0:5	user.gold:113000,group.3001.0:5
3	31	user.gold:58500,group.3001.0:5	user.gold:70200,group.3001.0:5	user.gold:82000,group.3001.0:5	user.gold:105000,group.3001.0:5	user.gold:117000,group.3001.0:5
3	41	user.gold:65700,group.3001.0:5	user.gold:78800,group.3001.0:5	user.gold:91900,group.3001.0:5	user.gold:118000,group.3001.0:5	user.gold:131000,group.3001.0:5
3	51	user.gold:76500,group.3001.0:5	user.gold:91800,group.3001.0:5	user.gold:107000,group.3001.0:5	user.gold:138000,group.3001.0:5	user.gold:153000,group.3001.0:5
3	61	user.gold:90500,group.3001.0:5	user.gold:109000,group.3001.0:5	user.gold:127000,group.3001.0:5	user.gold:163000,group.3001.0:5	user.gold:181000,group.3001.0:5
3	71	user.gold:115000,group.3001.0:5	user.gold:138000,group.3001.0:5	user.gold:161000,group.3001.0:5	user.gold:207000,group.3001.0:5	user.gold:230000,group.3001.0:5
3	81	user.gold:141000,group.3001.0:5	user.gold:169000,group.3001.0:5	user.gold:197000,group.3001.0:5	user.gold:254000,group.3001.0:5	user.gold:282000,group.3001.0:5
3	91	user.gold:157000,group.3001.0:5	user.gold:188000,group.3001.0:5	user.gold:219000,group.3001.0:5	user.gold:282000,group.3001.0:5	user.gold:313000,group.3001.0:5
3	101	user.gold:174000,group.3001.0:5	user.gold:209000,group.3001.0:5	user.gold:243000,group.3001.0:5	user.gold:313000,group.3001.0:5	user.gold:348000,group.3001.0:5
3	111	user.gold:192000,group.3001.0:5	user.gold:230000,group.3001.0:5	user.gold:268000,group.3001.0:5	user.gold:345000,group.3001.0:5	user.gold:383000,group.3001.0:5
3	121	user.gold:208000,group.3001.0:5	user.gold:250000,group.3001.0:5	user.gold:291000,group.3001.0:5	user.gold:374000,group.3001.0:5	user.gold:416000,group.3001.0:5
3	131	user.gold:213000,group.3001.0:5	user.gold:255000,group.3001.0:5	user.gold:298000,group.3001.0:5	user.gold:383000,group.3001.0:5	user.gold:426000,group.3001.0:5
3	141	user.gold:218000,group.3001.0:5	user.gold:262000,group.3001.0:5	user.gold:305000,group.3001.0:5	user.gold:393000,group.3001.0:5	user.gold:436000,group.3001.0:5
3	151	user.gold:224000,group.3001.0:5	user.gold:269000,group.3001.0:5	user.gold:314000,group.3001.0:5	user.gold:404000,group.3001.0:5	user.gold:449000,group.3001.0:5
3	161	user.gold:232000,group.3001.0:5	user.gold:278000,group.3001.0:5	user.gold:324000,group.3001.0:5	user.gold:417000,group.3001.0:5	user.gold:463000,group.3001.0:5
3	171	user.gold:239000,group.3001.0:5	user.gold:287000,group.3001.0:5	user.gold:335000,group.3001.0:5	user.gold:430000,group.3001.0:5	user.gold:478000,group.3001.0:5
3	181	user.gold:248000,group.3001.0:5	user.gold:297000,group.3001.0:5	user.gold:347000,group.3001.0:5	user.gold:446000,group.3001.0:5	user.gold:495000,group.3001.0:5
3	191	user.gold:257000,group.3001.0:5	user.gold:308000,group.3001.0:5	user.gold:359000,group.3001.0:5	user.gold:462000,group.3001.0:5	user.gold:513000,group.3001.0:5
3	201	user.gold:267000,group.3001.0:5	user.gold:320000,group.3001.0:5	user.gold:373000,group.3001.0:5	user.gold:480000,group.3001.0:5	user.gold:533000,group.3001.0:5
3	211	user.gold:277000,group.3001.0:5	user.gold:333000,group.3001.0:5	user.gold:388000,group.3001.0:5	user.gold:499000,group.3001.0:5	user.gold:554000,group.3001.0:5
3	221	user.gold:288000,group.3001.0:5	user.gold:346000,group.3001.0:5	user.gold:404000,group.3001.0:5	user.gold:519000,group.3001.0:5	user.gold:577000,group.3001.0:5
3	231	user.gold:300000,group.3001.0:5	user.gold:360000,group.3001.0:5	user.gold:420000,group.3001.0:5	user.gold:540000,group.3001.0:5	user.gold:600000,group.3001.0:5
3	241	user.gold:311000,group.3001.0:5	user.gold:373000,group.3001.0:5	user.gold:435000,group.3001.0:5	user.gold:560000,group.3001.0:5	user.gold:622000,group.3001.0:5
3	251	user.gold:311000,group.3001.0:5	user.gold:373000,group.3001.0:5	user.gold:435000,group.3001.0:5	user.gold:560000,group.3001.0:5	user.gold:622000,group.3001.0:5
3	261	user.gold:311000,group.3001.0:5	user.gold:373000,group.3001.0:5	user.gold:435000,group.3001.0:5	user.gold:560000,group.3001.0:5	user.gold:622000,group.3001.0:5
3	271	user.gold:311000,group.3001.0:5	user.gold:373000,group.3001.0:5	user.gold:435000,group.3001.0:5	user.gold:560000,group.3001.0:5	user.gold:622000,group.3001.0:5
3	281	user.gold:311000,group.3001.0:5	user.gold:373000,group.3001.0:5	user.gold:435000,group.3001.0:5	user.gold:560000,group.3001.0:5	user.gold:622000,group.3001.0:5
3	291	user.gold:311000,group.3001.0:5	user.gold:373000,group.3001.0:5	user.gold:435000,group.3001.0:5	user.gold:560000,group.3001.0:5	user.gold:622000,group.3001.0:5
3	301	user.gold:311000,group.3001.0:5	user.gold:373000,group.3001.0:5	user.gold:435000,group.3001.0:5	user.gold:560000,group.3001.0:5	user.gold:622000,group.3001.0:5
3	311	user.gold:311000,group.3001.0:5	user.gold:373000,group.3001.0:5	user.gold:435000,group.3001.0:5	user.gold:560000,group.3001.0:5	user.gold:622000,group.3001.0:5
3	321	user.gold:311000,group.3001.0:5	user.gold:373000,group.3001.0:5	user.gold:435000,group.3001.0:5	user.gold:560000,group.3001.0:5	user.gold:622000,group.3001.0:5
3	331	user.gold:311000,group.3001.0:5	user.gold:373000,group.3001.0:5	user.gold:435000,group.3001.0:5	user.gold:560000,group.3001.0:5	user.gold:622000,group.3001.0:5
3	341	user.gold:311000,group.3001.0:5	user.gold:373000,group.3001.0:5	user.gold:435000,group.3001.0:5	user.gold:560000,group.3001.0:5	user.gold:622000,group.3001.0:5
3	351	user.gold:311000,group.3001.0:5	user.gold:373000,group.3001.0:5	user.gold:435000,group.3001.0:5	user.gold:560000,group.3001.0:5	user.gold:622000,group.3001.0:5
4	1	material.100002:1,group.3001.0:5	material.100002:2,group.3001.0:5	material.100002:3,group.3001.0:5	material.100002:4,group.3001.0:5	material.100002:5,group.3001.0:5
5	1	material.200002:600,group.3001.0:5	material.200002:1200,group.3001.0:5	material.200002:1800,group.3001.0:5	material.200002:2400,group.3001.0:5	material.200002:3000,group.3001.0:5
