天赋组ID	突破1天赋	天赋值1	突破2天赋	天赋值2	突破3天赋	天赋值3	突破4天赋	天赋值4	解锁突破等级	特殊天赋触发条件1	特殊天赋触发条件值1	特殊天赋脚本1	特殊天赋值1	特殊天赋描述1	特殊天赋触发条件2	特殊天赋触发条件值2	特殊天赋脚本2	特殊天赋值2	特殊天赋描述2
300400	1	250	46	800	1001	0	1002	0	1|3|5|7	2	0	6	1001	text_talent_5003_1	3	1001	8	0|3000	text_talent_5003_2
300500	1	250	46	800	1001	0	1002	0	1|3|5|7	2	0	6	1001	text_talent_5003_1	3	1001	8	0|3000	text_talent_5003_2
300600	1	250	46	800	1001	0	1002	0	1|3|5|7	2	0	6	1001	text_talent_5003_1	3	1001	8	0|3000	text_talent_5003_2
300700	1	250	46	800	1001	0	1002	0	1|3|5|7	2	0	6	1001	text_talent_5003_1	3	1001	8	0|3000	text_talent_5003_2
300800	1	250	46	800	1001	0	1002	0	1|3|5|7	2	0	6	1001	text_talent_5003_1	3	1001	8	0|3000	text_talent_5003_2
300900	1	250	46	800	1001	0	1002	0	1|3|5|7	2	0	6	1001	text_talent_5003_1	3	1001	8	0|3000	text_talent_5003_2
301000	1	250	46	800	1001	0	1002	0	1|3|5|7	2	0	6	1001	text_talent_5003_1	3	1001	8	0|3000	text_talent_5003_2
400100	1	250	46	800	1001	0	1002	0	1|3|5|7	16	0	11	1000	text_talent_5010_1	2	0	3	2	text_talent_5010_2
400200	1	250	46	800	1001	0	1002	0	1|3|5|7	3	51110101	8	2|1500	text_talent_5011_1	16	0	12	501101|5000|10000	text_talent_5011_2
400300	1	250	46	800	1001	0	1002	0	1|3|5|7	18	0	17	3000	text_talent_5012_1	15	1	13	2000|400	text_talent_5012_2
400400	1	250	46	800	1001	0	1002	0	1|3|5|7	2	0	6	1001	text_talent_5003_1	3	1001	8	0|3000	text_talent_5003_2
400500	1	250	46	800	1001	0	1002	0	1|3|5|7	2	0	6	1001	text_talent_5003_1	3	1001	8	0|3000	text_talent_5003_2
400600	1	250	46	800	1001	0	1002	0	1|3|5|7	2	0	6	1001	text_talent_5003_1	3	1001	8	0|3000	text_talent_5003_2
400700	1	250	46	800	1001	0	1002	0	1|3|5|7	2	0	6	1001	text_talent_5003_1	3	1001	8	0|3000	text_talent_5003_2
400800	1	250	46	800	1001	0	1002	0	1|3|5|7	2	0	6	1001	text_talent_5003_1	3	1001	8	0|3000	text_talent_5003_2
400900	1	250	46	800	1001	0	1002	0	1|3|5|7	2	0	6	1001	text_talent_5003_1	3	1001	8	0|3000	text_talent_5003_2
401000	1	250	46	800	1001	0	1002	0	1|3|5|7	2	0	6	1001	text_talent_5003_1	3	1001	8	0|3000	text_talent_5003_2
500100	1	250	46	800	1001	0	1002	0	1|3|5|7	2	0	3	2	text_talent_5013_1	2	0	12	501301|20000|10000	text_talent_5013_2
500200	1	250	46	800	1001	0	1002	0	1|3|5|7	2	0	3	2	text_talent_5014_1	7	0	15	2000	text_talent_5014_2
500300	1	250	46	800	1001	0	1002	0	1|3|5|7	2	0	12	501501|0|10000	text_talent_5015_1	2	0	12	501503|0|10000	text_talent_5015_2
500400	1	250	46	800	1001	0	1002	0	1|3|5|7	2	0	6	1001	text_talent_5003_1	3	1001	8	0|3000	text_talent_5003_2
500500	1	250	46	800	1001	0	1002	0	1|3|5|7	2	0	6	1001	text_talent_5003_1	3	1001	8	0|3000	text_talent_5003_2
500600	1	250	46	800	1001	0	1002	0	1|3|5|7	2	0	6	1001	text_talent_5003_1	3	1001	8	0|3000	text_talent_5003_2
500700	1	250	46	800	1001	0	1002	0	1|3|5|7	2	0	6	1001	text_talent_5003_1	3	1001	8	0|3000	text_talent_5003_2
500800	1	250	46	800	1001	0	1002	0	1|3|5|7	2	0	6	1001	text_talent_5003_1	3	1001	8	0|3000	text_talent_5003_2
500900	1	250	46	800	1001	0	1002	0	1|3|5|7	2	0	6	1001	text_talent_5003_1	3	1001	8	0|3000	text_talent_5003_2
501000	1	250	46	800	1001	0	1002	0	1|3|5|7	2	0	6	1001	text_talent_5003_1	3	1001	8	0|3000	text_talent_5003_2
600100	1	250	46	800	1001	0	1002	0	1|3|5|7	2	0	12	501601|0|10000	text_talent_5016_1	2	0	12	501602|25000|10000	text_talent_5016_2
600200	1	250	46	800	1001	0	1002	0	1|3|5|7	2	0	3	2	text_talent_5017_1	15	1	15	300	text_talent_5017_2
600300	1	250	46	800	1001	0	1002	0	1|3|5|7	16	0	11	1000	text_talent_5018_1	2	0	3	2	text_talent_5018_2
600400	1	250	46	800	1001	0	1002	0	1|3|5|7	2	0	6	1001	text_talent_5003_1	3	1001	8	0|3000	text_talent_5003_2
600500	1	250	46	800	1001	0	1002	0	1|3|5|7	2	0	6	1001	text_talent_5003_1	3	1001	8	0|3000	text_talent_5003_2
600600	1	250	46	800	1001	0	1002	0	1|3|5|7	2	0	6	1001	text_talent_5003_1	3	1001	8	0|3000	text_talent_5003_2
600700	1	250	46	800	1001	0	1002	0	1|3|5|7	2	0	6	1001	text_talent_5003_1	3	1001	8	0|3000	text_talent_5003_2
600800	1	250	46	800	1001	0	1002	0	1|3|5|7	2	0	6	1001	text_talent_5003_1	3	1001	8	0|3000	text_talent_5003_2
600900	1	250	46	800	1001	0	1002	0	1|3|5|7	2	0	6	1001	text_talent_5003_1	3	1001	8	0|3000	text_talent_5003_2
601000	1	250	46	800	1001	0	1002	0	1|3|5|7	2	0	6	1001	text_talent_5003_1	3	1001	8	0|3000	text_talent_5003_2
