模板ID	模型ID	英雄名称	阵营(1-水，2-火，3-风，4-日，5-月，6星)	定位(1-物攻，2-法攻，3-防御，4-辅助)	基础品质	基础星级	基础攻击系数	基础防御系数	基础生命系数	基础速度系数	天赋组ID	技能组ID	技能效果名称1	技能效果描述1	技能效果名称2	技能效果描述2
304009	400900	text_heroName_4009	4	1	4	3	1	1	1	1	400900	400900	0	0	0	0
304010	401000	text_heroName_4010	4	1	4	3	1	1	1	1	401000	401000	0	0	0	0
305001	500100	text_heroName_5001	5	1	4	3	1	1	1	1	500100	500100	0	0	0	0
305002	500200	text_heroName_5002	5	1	4	3	1	1	1	1	500200	500200	0	0	0	0
305003	500300	text_heroName_5003	5	1	4	3	1	1	1	1	500300	500300	0	0	0	0
305004	500400	text_heroName_5004	5	1	4	3	1	1	1	1	500400	500400	0	0	0	0
305005	500500	text_heroName_5005	5	1	4	3	1	1	1	1	500500	500500	0	0	0	0
305006	500600	text_heroName_5006	5	1	4	3	1	1	1	1	500600	500600	0	0	0	0
305007	500700	text_heroName_5007	5	1	4	3	1	1	1	1	500700	500700	0	0	0	0
305008	500800	text_heroName_5008	5	1	4	3	1	1	1	1	500800	500800	0	0	0	0
305009	500900	text_heroName_5009	5	1	4	3	1	1	1	1	500900	500900	0	0	0	0
305010	501000	text_heroName_5010	5	1	4	3	1	1	1	1	501000	501000	0	0	0	0
306001	600100	text_heroName_6001	6	1	4	3	1	1	1	1	600100	600100	0	0	0	0
306002	600200	text_heroName_6002	6	1	4	3	1	1	1	1	600200	600200	0	0	0	0
306003	600300	text_heroName_6003	6	1	4	3	1	1	1	1	600300	600300	0	0	0	0
306004	600400	text_heroName_6004	6	1	4	3	1	1	1	1	600400	600400	0	0	0	0
306005	600500	text_heroName_6005	6	1	4	3	1	1	1	1	600500	600500	0	0	0	0
306006	600600	text_heroName_6006	6	1	4	3	1	1	1	1	600600	600600	0	0	0	0
306007	600700	text_heroName_6007	6	1	4	3	1	1	1	1	600700	600700	0	0	0	0
306008	600800	text_heroName_6008	6	1	4	3	1	1	1	1	600800	600800	0	0	0	0
306009	600900	text_heroName_6009	6	1	4	3	1	1	1	1	600900	600900	0	0	0	0
306010	601000	text_heroName_6010	6	1	4	3	1	1	1	1	601000	601000	0	0	0	0
401001	100100	text_heroName_1001	1	1	5	4	1	1	1	1	100100	100100	0	0	0	0
401002	100200	text_heroName_1002	1	1	5	4	1	1	1	1	100200	100200	0	0	0	0
401003	100300	text_heroName_1003	1	1	5	4	1	1	1	1	100300	100300	0	0	0	0
401004	100400	text_heroName_1004	1	1	5	4	1	1	1	1	100400	100400	0	0	0	0
401005	100500	text_heroName_1005	1	1	5	4	1	1	1	1	100500	100500	0	0	0	0
401006	100600	text_heroName_1006	1	1	5	4	1	1	1	1	100600	100600	0	0	0	0
401007	100700	text_heroName_1007	1	1	5	4	1	1	1	1	100700	100700	0	0	0	0
401008	100800	text_heroName_1008	1	1	5	4	1	1	1	1	100800	100800	0	0	0	0
401009	100900	text_heroName_1009	1	1	5	4	1	1	1	1	100900	100900	0	0	0	0
401010	101000	text_heroName_1010	1	1	5	4	1	1	1	1	101000	101000	0	0	0	0
402001	200100	text_heroName_2001	2	1	5	4	1	1	1	1	200100	200100	0	0	0	0
402002	200200	text_heroName_2002	2	1	5	4	1	1	1	1	200200	200200	0	0	0	0
402003	200300	text_heroName_2003	2	1	5	4	1	1	1	1	200300	200300	0	0	0	0
402004	200400	text_heroName_2004	2	1	5	4	1	1	1	1	200400	200400	0	0	0	0
402005	200500	text_heroName_2005	2	1	5	4	1	1	1	1	200500	200500	0	0	0	0
402006	200600	text_heroName_2006	2	1	5	4	1	1	1	1	200600	200600	0	0	0	0
402007	200700	text_heroName_2007	2	1	5	4	1	1	1	1	200700	200700	0	0	0	0
402008	200800	text_heroName_2008	2	1	5	4	1	1	1	1	200800	200800	0	0	0	0
402009	200900	text_heroName_2009	2	1	5	4	1	1	1	1	200900	200900	0	0	0	0
402010	201000	text_heroName_2010	2	1	5	4	1	1	1	1	201000	201000	0	0	0	0
403001	300100	text_heroName_3001	3	1	5	4	1	1	1	1	300100	300100	0	0	0	0
403002	300200	text_heroName_3002	3	1	5	4	1	1	1	1	300200	300200	0	0	0	0
403003	300300	text_heroName_3003	3	1	5	4	1	1	1	1	300300	300300	0	0	0	0
403004	300400	text_heroName_3004	3	1	5	4	1	1	1	1	300400	300400	0	0	0	0
403005	300500	text_heroName_3005	3	1	5	4	1	1	1	1	300500	300500	0	0	0	0
403006	300600	text_heroName_3006	3	1	5	4	1	1	1	1	300600	300600	0	0	0	0
403007	300700	text_heroName_3007	3	1	5	4	1	1	1	1	300700	300700	0	0	0	0
403008	300800	text_heroName_3008	3	1	5	4	1	1	1	1	300800	300800	0	0	0	0
403009	300900	text_heroName_3009	3	1	5	4	1	1	1	1	300900	300900	0	0	0	0
403010	301000	text_heroName_3010	3	1	5	4	1	1	1	1	301000	301000	0	0	0	0
404001	400100	text_heroName_4001	4	1	5	4	1	1	1	1	400100	400100	0	0	0	0
404002	400200	text_heroName_4002	4	1	5	4	1	1	1	1	400200	400200	0	0	0	0
404003	400300	text_heroName_4003	4	1	5	4	1	1	1	1	400300	400300	0	0	0	0
404004	400400	text_heroName_4004	4	1	5	4	1	1	1	1	400400	400400	0	0	0	0
404005	400500	text_heroName_4005	4	1	5	4	1	1	1	1	400500	400500	0	0	0	0
404006	400600	text_heroName_4006	4	1	5	4	1	1	1	1	400600	400600	0	0	0	0
404007	400700	text_heroName_4007	4	1	5	4	1	1	1	1	400700	400700	0	0	0	0
404008	400800	text_heroName_4008	4	1	5	4	1	1	1	1	400800	400800	0	0	0	0
404009	400900	text_heroName_4009	4	1	5	4	1	1	1	1	400900	400900	0	0	0	0
404010	401000	text_heroName_4010	4	1	5	4	1	1	1	1	401000	401000	0	0	0	0
405001	500100	text_heroName_5001	5	1	5	4	1	1	1	1	500100	500100	0	0	0	0
405002	500200	text_heroName_5002	5	1	5	4	1	1	1	1	500200	500200	0	0	0	0
405003	500300	text_heroName_5003	5	1	5	4	1	1	1	1	500300	500300	0	0	0	0
405004	500400	text_heroName_5004	5	1	5	4	1	1	1	1	500400	500400	0	0	0	0
405005	500500	text_heroName_5005	5	1	5	4	1	1	1	1	500500	500500	0	0	0	0
405006	500600	text_heroName_5006	5	1	5	4	1	1	1	1	500600	500600	0	0	0	0
405007	500700	text_heroName_5007	5	1	5	4	1	1	1	1	500700	500700	0	0	0	0
405008	500800	text_heroName_5008	5	1	5	4	1	1	1	1	500800	500800	0	0	0	0
405009	500900	text_heroName_5009	5	1	5	4	1	1	1	1	500900	500900	0	0	0	0
405010	501000	text_heroName_5010	5	1	5	4	1	1	1	1	501000	501000	0	0	0	0
406001	600100	text_heroName_6001	6	1	5	4	1	1	1	1	600100	600100	0	0	0	0
406002	600200	text_heroName_6002	6	1	5	4	1	1	1	1	600200	600200	0	0	0	0
406003	600300	text_heroName_6003	6	1	5	4	1	1	1	1	600300	600300	0	0	0	0
406004	600400	text_heroName_6004	6	1	5	4	1	1	1	1	600400	600400	0	0	0	0
406005	600500	text_heroName_6005	6	1	5	4	1	1	1	1	600500	600500	0	0	0	0
406006	600600	text_heroName_6006	6	1	5	4	1	1	1	1	600600	600600	0	0	0	0
406007	600700	text_heroName_6007	6	1	5	4	1	1	1	1	600700	600700	0	0	0	0
406008	600800	text_heroName_6008	6	1	5	4	1	1	1	1	600800	600800	0	0	0	0
406009	600900	text_heroName_6009	6	1	5	4	1	1	1	1	600900	600900	0	0	0	0
406010	601000	text_heroName_6010	6	1	5	4	1	1	1	1	601000	601000	0	0	0	0
501001	100100	text_heroName_1001	1	1	5	5	1	1	1	1	100100	100100	0	0	0	0
501002	100200	text_heroName_1002	1	1	5	5	1	1	1	1	100200	100200	0	0	0	0
501003	100300	text_heroName_1003	1	1	5	5	1	1	1	1	100300	100300	0	0	0	0
501004	100400	text_heroName_1004	1	1	5	5	1	1	1	1	100400	100400	0	0	0	0
501005	100500	text_heroName_1005	1	1	5	5	1	1	1	1	100500	100500	0	0	0	0
501006	100600	text_heroName_1006	1	1	5	5	1	1	1	1	100600	100600	0	0	0	0
501007	100700	text_heroName_1007	1	1	5	5	1	1	1	1	100700	100700	0	0	0	0
501008	100800	text_heroName_1008	1	1	5	5	1	1	1	1	100800	100800	0	0	0	0
501009	100900	text_heroName_1009	1	1	5	5	1	1	1	1	100900	100900	0	0	0	0
501010	101000	text_heroName_1010	1	1	5	5	1	1	1	1	101000	101000	0	0	0	0
502001	200100	text_heroName_2001	2	1	5	5	1	1	1	1	200100	200100	0	0	0	0
502002	200200	text_heroName_2002	2	1	5	5	1	1	1	1	200200	200200	0	0	0	0
502003	200300	text_heroName_2003	2	1	5	5	1	1	1	1	200300	200300	0	0	0	0
502004	200400	text_heroName_2004	2	1	5	5	1	1	1	1	200400	200400	0	0	0	0
502005	200500	text_heroName_2005	2	1	5	5	1	1	1	1	200500	200500	0	0	0	0
502006	200600	text_heroName_2006	2	1	5	5	1	1	1	1	200600	200600	0	0	0	0
502007	200700	text_heroName_2007	2	1	5	5	1	1	1	1	200700	200700	0	0	0	0
502008	200800	text_heroName_2008	2	1	5	5	1	1	1	1	200800	200800	0	0	0	0
502009	200900	text_heroName_2009	2	1	5	5	1	1	1	1	200900	200900	0	0	0	0
502010	201000	text_heroName_2010	2	1	5	5	1	1	1	1	201000	201000	0	0	0	0
503001	300100	text_heroName_3001	3	1	5	5	1	1	1	1	300100	300100	0	0	0	0
503002	300200	text_heroName_3002	3	1	5	5	1	1	1	1	300200	300200	0	0	0	0
503003	300300	text_heroName_3003	3	1	5	5	1	1	1	1	300300	300300	0	0	0	0
503004	300400	text_heroName_3004	3	1	5	5	1	1	1	1	300400	300400	0	0	0	0
503005	300500	text_heroName_3005	3	1	5	5	1	1	1	1	300500	300500	0	0	0	0
503006	300600	text_heroName_3006	3	1	5	5	1	1	1	1	300600	300600	0	0	0	0
503007	300700	text_heroName_3007	3	1	5	5	1	1	1	1	300700	300700	0	0	0	0
503008	300800	text_heroName_3008	3	1	5	5	1	1	1	1	300800	300800	0	0	0	0
503009	300900	text_heroName_3009	3	1	5	5	1	1	1	1	300900	300900	0	0	0	0
503010	301000	text_heroName_3010	3	1	5	5	1	1	1	1	301000	301000	0	0	0	0
504001	400100	text_heroName_4001	4	1	5	5	1	1	1	1	400100	400100	0	0	0	0
504002	400200	text_heroName_4002	4	1	5	5	1	1	1	1	400200	400200	0	0	0	0
504003	400300	text_heroName_4003	4	1	5	5	1	1	1	1	400300	400300	0	0	0	0
504004	400400	text_heroName_4004	4	1	5	5	1	1	1	1	400400	400400	0	0	0	0
504005	400500	text_heroName_4005	4	1	5	5	1	1	1	1	400500	400500	0	0	0	0
504006	400600	text_heroName_4006	4	1	5	5	1	1	1	1	400600	400600	0	0	0	0
504007	400700	text_heroName_4007	4	1	5	5	1	1	1	1	400700	400700	0	0	0	0
504008	400800	text_heroName_4008	4	1	5	5	1	1	1	1	400800	400800	0	0	0	0
504009	400900	text_heroName_4009	4	1	5	5	1	1	1	1	400900	400900	0	0	0	0
504010	401000	text_heroName_4010	4	1	5	5	1	1	1	1	401000	401000	0	0	0	0
505001	500100	text_heroName_5001	5	1	5	5	1	1	1	1	500100	500100	0	0	0	0
505002	500200	text_heroName_5002	5	1	5	5	1	1	1	1	500200	500200	0	0	0	0
505003	500300	text_heroName_5003	5	1	5	5	1	1	1	1	500300	500300	0	0	0	0
505004	500400	text_heroName_5004	5	1	5	5	1	1	1	1	500400	500400	0	0	0	0
505005	500500	text_heroName_5005	5	1	5	5	1	1	1	1	500500	500500	0	0	0	0
505006	500600	text_heroName_5006	5	1	5	5	1	1	1	1	500600	500600	0	0	0	0
505007	500700	text_heroName_5007	5	1	5	5	1	1	1	1	500700	500700	0	0	0	0
505008	500800	text_heroName_5008	5	1	5	5	1	1	1	1	500800	500800	0	0	0	0
505009	500900	text_heroName_5009	5	1	5	5	1	1	1	1	500900	500900	0	0	0	0
505010	501000	text_heroName_5010	5	1	5	5	1	1	1	1	501000	501000	0	0	0	0
506001	600100	text_heroName_6001	6	1	5	5	1	1	1	1	600100	600100	0	0	0	0
506002	600200	text_heroName_6002	6	1	5	5	1	1	1	1	600200	600200	0	0	0	0
506003	600300	text_heroName_6003	6	1	5	5	1	1	1	1	600300	600300	0	0	0	0
506004	600400	text_heroName_6004	6	1	5	5	1	1	1	1	600400	600400	0	0	0	0
506005	600500	text_heroName_6005	6	1	5	5	1	1	1	1	600500	600500	0	0	0	0
506006	600600	text_heroName_6006	6	1	5	5	1	1	1	1	600600	600600	0	0	0	0
506007	600700	text_heroName_6007	6	1	5	5	1	1	1	1	600700	600700	0	0	0	0
506008	600800	text_heroName_6008	6	1	5	5	1	1	1	1	600800	600800	0	0	0	0
506009	600900	text_heroName_6009	6	1	5	5	1	1	1	1	600900	600900	0	0	0	0
506010	601000	text_heroName_6010	6	1	5	5	1	1	1	1	601000	601000	0	0	0	0
601001	100100	text_heroName_1001	1	1	6	6	1	1	1	1	100100	100100	0	0	0	0
601002	100200	text_heroName_1002	1	1	6	6	1	1	1	1	100200	100200	0	0	0	0
601003	100300	text_heroName_1003	1	1	6	6	1	1	1	1	100300	100300	0	0	0	0
601004	100400	text_heroName_1004	1	1	6	6	1	1	1	1	100400	100400	0	0	0	0
601005	100500	text_heroName_1005	1	1	6	6	1	1	1	1	100500	100500	0	0	0	0
601006	100600	text_heroName_1006	1	1	6	6	1	1	1	1	100600	100600	0	0	0	0
601007	100700	text_heroName_1007	1	1	6	6	1	1	1	1	100700	100700	0	0	0	0
601008	100800	text_heroName_1008	1	1	6	6	1	1	1	1	100800	100800	0	0	0	0
601009	100900	text_heroName_1009	1	1	6	6	1	1	1	1	100900	100900	0	0	0	0
601010	101000	text_heroName_1010	1	1	6	6	1	1	1	1	101000	101000	0	0	0	0
602001	200100	text_heroName_2001	2	1	6	6	1	1	1	1	200100	200100	0	0	0	0
602002	200200	text_heroName_2002	2	1	6	6	1	1	1	1	200200	200200	0	0	0	0
602003	200300	text_heroName_2003	2	1	6	6	1	1	1	1	200300	200300	0	0	0	0
602004	200400	text_heroName_2004	2	1	6	6	1	1	1	1	200400	200400	0	0	0	0
602005	200500	text_heroName_2005	2	1	6	6	1	1	1	1	200500	200500	0	0	0	0
602006	200600	text_heroName_2006	2	1	6	6	1	1	1	1	200600	200600	0	0	0	0
602007	200700	text_heroName_2007	2	1	6	6	1	1	1	1	200700	200700	0	0	0	0
602008	200800	text_heroName_2008	2	1	6	6	1	1	1	1	200800	200800	0	0	0	0
602009	200900	text_heroName_2009	2	1	6	6	1	1	1	1	200900	200900	0	0	0	0
602010	201000	text_heroName_2010	2	1	6	6	1	1	1	1	201000	201000	0	0	0	0
603001	300100	text_heroName_3001	3	1	6	6	1	1	1	1	300100	300100	0	0	0	0
603002	300200	text_heroName_3002	3	1	6	6	1	1	1	1	300200	300200	0	0	0	0
603003	300300	text_heroName_3003	3	1	6	6	1	1	1	1	300300	300300	0	0	0	0
603004	300400	text_heroName_3004	3	1	6	6	1	1	1	1	300400	300400	0	0	0	0
603005	300500	text_heroName_3005	3	1	6	6	1	1	1	1	300500	300500	0	0	0	0
603006	300600	text_heroName_3006	3	1	6	6	1	1	1	1	300600	300600	0	0	0	0
603007	300700	text_heroName_3007	3	1	6	6	1	1	1	1	300700	300700	0	0	0	0
603008	300800	text_heroName_3008	3	1	6	6	1	1	1	1	300800	300800	0	0	0	0
603009	300900	text_heroName_3009	3	1	6	6	1	1	1	1	300900	300900	0	0	0	0
603010	301000	text_heroName_3010	3	1	6	6	1	1	1	1	301000	301000	0	0	0	0
604001	400100	text_heroName_4001	4	1	6	6	1	1	1	1	400100	400100	0	0	0	0
604002	400200	text_heroName_4002	4	1	6	6	1	1	1	1	400200	400200	0	0	0	0
604003	400300	text_heroName_4003	4	1	6	6	1	1	1	1	400300	400300	0	0	0	0
604004	400400	text_heroName_4004	4	1	6	6	1	1	1	1	400400	400400	0	0	0	0
604005	400500	text_heroName_4005	4	1	6	6	1	1	1	1	400500	400500	0	0	0	0
604006	400600	text_heroName_4006	4	1	6	6	1	1	1	1	400600	400600	0	0	0	0
604007	400700	text_heroName_4007	4	1	6	6	1	1	1	1	400700	400700	0	0	0	0
604008	400800	text_heroName_4008	4	1	6	6	1	1	1	1	400800	400800	0	0	0	0
604009	400900	text_heroName_4009	4	1	6	6	1	1	1	1	400900	400900	0	0	0	0
604010	401000	text_heroName_4010	4	1	6	6	1	1	1	1	401000	401000	0	0	0	0
605001	500100	text_heroName_5001	5	1	6	6	1	1	1	1	500100	500100	0	0	0	0
605002	500200	text_heroName_5002	5	1	6	6	1	1	1	1	500200	500200	0	0	0	0
605003	500300	text_heroName_5003	5	1	6	6	1	1	1	1	500300	500300	0	0	0	0
605004	500400	text_heroName_5004	5	1	6	6	1	1	1	1	500400	500400	0	0	0	0
605005	500500	text_heroName_5005	5	1	6	6	1	1	1	1	500500	500500	0	0	0	0
605006	500600	text_heroName_5006	5	1	6	6	1	1	1	1	500600	500600	0	0	0	0
605007	500700	text_heroName_5007	5	1	6	6	1	1	1	1	500700	500700	0	0	0	0
605008	500800	text_heroName_5008	5	1	6	6	1	1	1	1	500800	500800	0	0	0	0
605009	500900	text_heroName_5009	5	1	6	6	1	1	1	1	500900	500900	0	0	0	0
605010	501000	text_heroName_5010	5	1	6	6	1	1	1	1	501000	501000	0	0	0	0
606001	600100	text_heroName_6001	6	1	6	6	1	1	1	1	600100	600100	0	0	0	0
606002	600200	text_heroName_6002	6	1	6	6	1	1	1	1	600200	600200	0	0	0	0
606003	600300	text_heroName_6003	6	1	6	6	1	1	1	1	600300	600300	0	0	0	0
606004	600400	text_heroName_6004	6	1	6	6	1	1	1	1	600400	600400	0	0	0	0
606005	600500	text_heroName_6005	6	1	6	6	1	1	1	1	600500	600500	0	0	0	0
606006	600600	text_heroName_6006	6	1	6	6	1	1	1	1	600600	600600	0	0	0	0
606007	600700	text_heroName_6007	6	1	6	6	1	1	1	1	600700	600700	0	0	0	0
606008	600800	text_heroName_6008	6	1	6	6	1	1	1	1	600800	600800	0	0	0	0
606009	600900	text_heroName_6009	6	1	6	6	1	1	1	1	600900	600900	0	0	0	0
606010	601000	text_heroName_6010	6	1	6	6	1	1	1	1	601000	601000	0	0	0	0
701001	100100	text_heroName_1001	1	1	6	7	1	1	1	1	100100	100100	0	0	0	0
