编号	索引	轮数	排序	奖励	权重
3	31	6	1	material.300008:1	500
3	32	6	2	user.gold:3446000	1900
3	33	6	3	user.hero_exp:6892000	1900
3	34	6	4	user.bindcash:140	1900
3	35	6	5	material.1:140	1900
3	36	6	6	material.41:1400	1900
3	37	7	1	material.300008:1	500
3	38	7	2	user.gold:4595000	1900
3	39	7	3	user.hero_exp:9190000	1900
3	40	7	4	user.bindcash:190	1900
3	41	7	5	material.1:190	1900
3	42	7	6	material.41:1800	1900
3	43	8	1	material.300008:1	500
3	44	8	2	user.gold:5744000	1900
3	45	8	3	user.hero_exp:11487000	1900
3	46	8	4	user.bindcash:230	1900
3	47	8	5	material.1:230	1900
3	48	8	6	material.41:2300	1900
4	1	1	1	material.300008:1	500
4	2	1	2	user.gold:1149000	1900
4	3	1	3	user.hero_exp:2297000	1900
4	4	1	4	user.bindcash:50	1900
4	5	1	5	material.1:50	1900
4	6	1	6	material.41:460	1900
4	7	2	1	material.300008:1	500
4	8	2	2	user.gold:1149000	1900
4	9	2	3	user.hero_exp:2297000	1900
4	10	2	4	user.bindcash:50	1900
4	11	2	5	material.1:50	1900
4	12	2	6	material.41:460	1900
4	13	3	1	material.300008:1	500
4	14	3	2	user.gold:2297000	1900
4	15	3	3	user.hero_exp:4595000	1900
4	16	3	4	user.bindcash:100	1900
4	17	3	5	material.1:100	1900
4	18	3	6	material.41:920	1900
4	19	4	1	material.300008:1	500
4	20	4	2	user.gold:2297000	1900
4	21	4	3	user.hero_exp:4595000	1900
4	22	4	4	user.bindcash:100	1900
4	23	4	5	material.1:100	1900
4	24	4	6	material.41:920	1900
4	25	5	1	material.300008:1	500
4	26	5	2	user.gold:3446000	1900
4	27	5	3	user.hero_exp:6892000	1900
4	28	5	4	user.bindcash:140	1900
4	29	5	5	material.1:140	1900
4	30	5	6	material.41:1400	1900
4	31	6	1	material.300008:1	500
4	32	6	2	user.gold:3446000	1900
4	33	6	3	user.hero_exp:6892000	1900
4	34	6	4	user.bindcash:140	1900
4	35	6	5	material.1:140	1900
4	36	6	6	material.41:1400	1900
4	37	7	1	material.300008:1	500
4	38	7	2	user.gold:4595000	1900
4	39	7	3	user.hero_exp:9190000	1900
4	40	7	4	user.bindcash:190	1900
4	41	7	5	material.1:190	1900
4	42	7	6	material.41:1800	1900
4	43	8	1	material.300008:1	500
4	44	8	2	user.gold:5744000	1900
4	45	8	3	user.hero_exp:11487000	1900
4	46	8	4	user.bindcash:230	1900
4	47	8	5	material.1:230	1900
4	48	8	6	material.41:2300	1900
5	1	1	1	material.300008:1	500
5	2	1	2	user.gold:1149000	1900
5	3	1	3	user.hero_exp:2297000	1900
5	4	1	4	user.bindcash:50	1900
5	5	1	5	material.1:50	1900
5	6	1	6	material.41:460	1900
5	7	2	1	material.300008:1	500
5	8	2	2	user.gold:1149000	1900
5	9	2	3	user.hero_exp:2297000	1900
5	10	2	4	user.bindcash:50	1900
5	11	2	5	material.1:50	1900
5	12	2	6	material.41:460	1900
5	13	3	1	material.300008:1	500
5	14	3	2	user.gold:2297000	1900
5	15	3	3	user.hero_exp:4595000	1900
5	16	3	4	user.bindcash:100	1900
5	17	3	5	material.1:100	1900
5	18	3	6	material.41:920	1900
5	19	4	1	material.300008:1	500
5	20	4	2	user.gold:2297000	1900
5	21	4	3	user.hero_exp:4595000	1900
5	22	4	4	user.bindcash:100	1900
5	23	4	5	material.1:100	1900
5	24	4	6	material.41:920	1900
5	25	5	1	material.300008:1	500
5	26	5	2	user.gold:3446000	1900
5	27	5	3	user.hero_exp:6892000	1900
5	28	5	4	user.bindcash:140	1900
5	29	5	5	material.1:140	1900
5	30	5	6	material.41:1400	1900
5	31	6	1	material.300008:1	500
5	32	6	2	user.gold:3446000	1900
5	33	6	3	user.hero_exp:6892000	1900
5	34	6	4	user.bindcash:140	1900
5	35	6	5	material.1:140	1900
5	36	6	6	material.41:1400	1900
5	37	7	1	material.300008:1	500
5	38	7	2	user.gold:4595000	1900
5	39	7	3	user.hero_exp:9190000	1900
5	40	7	4	user.bindcash:190	1900
5	41	7	5	material.1:190	1900
5	42	7	6	material.41:1800	1900
5	43	8	1	material.300008:1	500
5	44	8	2	user.gold:5744000	1900
5	45	8	3	user.hero_exp:11487000	1900
5	46	8	4	user.bindcash:230	1900
5	47	8	5	material.1:230	1900
5	48	8	6	material.41:2300	1900
6	1	1	1	material.300008:1	500
6	2	1	2	user.gold:1149000	1900
6	3	1	3	user.hero_exp:2297000	1900
6	4	1	4	user.bindcash:50	1900
6	5	1	5	material.1:50	1900
6	6	1	6	material.41:460	1900
6	7	2	1	material.300008:1	500
6	8	2	2	user.gold:1149000	1900
6	9	2	3	user.hero_exp:2297000	1900
6	10	2	4	user.bindcash:50	1900
6	11	2	5	material.1:50	1900
6	12	2	6	material.41:460	1900
6	13	3	1	material.300008:1	500
6	14	3	2	user.gold:2297000	1900
6	15	3	3	user.hero_exp:4595000	1900
6	16	3	4	user.bindcash:100	1900
6	17	3	5	material.1:100	1900
6	18	3	6	material.41:920	1900
6	19	4	1	material.300008:1	500
6	20	4	2	user.gold:2297000	1900
6	21	4	3	user.hero_exp:4595000	1900
6	22	4	4	user.bindcash:100	1900
6	23	4	5	material.1:100	1900
6	24	4	6	material.41:920	1900
6	25	5	1	material.300008:1	500
6	26	5	2	user.gold:3446000	1900
6	27	5	3	user.hero_exp:6892000	1900
6	28	5	4	user.bindcash:140	1900
6	29	5	5	material.1:140	1900
6	30	5	6	material.41:1400	1900
6	31	6	1	material.300008:1	500
6	32	6	2	user.gold:3446000	1900
6	33	6	3	user.hero_exp:6892000	1900
6	34	6	4	user.bindcash:140	1900
6	35	6	5	material.1:140	1900
6	36	6	6	material.41:1400	1900
6	37	7	1	material.300008:1	500
6	38	7	2	user.gold:4595000	1900
6	39	7	3	user.hero_exp:9190000	1900
6	40	7	4	user.bindcash:190	1900
6	41	7	5	material.1:190	1900
6	42	7	6	material.41:1800	1900
6	43	8	1	material.300008:1	500
6	44	8	2	user.gold:5744000	1900
6	45	8	3	user.hero_exp:11487000	1900
6	46	8	4	user.bindcash:230	1900
6	47	8	5	material.1:230	1900
6	48	8	6	material.41:2300	1900
7	1	1	1	material.300008:1	500
7	2	1	2	user.gold:1149000	1900
7	3	1	3	user.hero_exp:2297000	1900
7	4	1	4	user.bindcash:50	1900
7	5	1	5	material.1:50	1900
7	6	1	6	material.41:460	1900
7	7	2	1	material.300008:1	500
7	8	2	2	user.gold:1149000	1900
7	9	2	3	user.hero_exp:2297000	1900
7	10	2	4	user.bindcash:50	1900
7	11	2	5	material.1:50	1900
7	12	2	6	material.41:460	1900
7	13	3	1	material.300008:1	500
7	14	3	2	user.gold:2297000	1900
7	15	3	3	user.hero_exp:4595000	1900
7	16	3	4	user.bindcash:100	1900
7	17	3	5	material.1:100	1900
7	18	3	6	material.41:920	1900
7	19	4	1	material.300008:1	500
7	20	4	2	user.gold:2297000	1900
7	21	4	3	user.hero_exp:4595000	1900
7	22	4	4	user.bindcash:100	1900
7	23	4	5	material.1:100	1900
7	24	4	6	material.41:920	1900
7	25	5	1	material.300008:1	500
7	26	5	2	user.gold:3446000	1900
7	27	5	3	user.hero_exp:6892000	1900
7	28	5	4	user.bindcash:140	1900
7	29	5	5	material.1:140	1900
7	30	5	6	material.41:1400	1900
7	31	6	1	material.300008:1	500
7	32	6	2	user.gold:3446000	1900
7	33	6	3	user.hero_exp:6892000	1900
7	34	6	4	user.bindcash:140	1900
7	35	6	5	material.1:140	1900
7	36	6	6	material.41:1400	1900
7	37	7	1	material.300008:1	500
7	38	7	2	user.gold:4595000	1900
7	39	7	3	user.hero_exp:9190000	1900
7	40	7	4	user.bindcash:190	1900
7	41	7	5	material.1:190	1900
7	42	7	6	material.41:1800	1900
7	43	8	1	material.300008:1	500
7	44	8	2	user.gold:5744000	1900
7	45	8	3	user.hero_exp:11487000	1900
7	46	8	4	user.bindcash:230	1900
7	47	8	5	material.1:230	1900
7	48	8	6	material.41:2300	1900
8	1	1	1	material.300008:1	500
8	2	1	2	user.gold:1149000	1900
8	3	1	3	user.hero_exp:2297000	1900
8	4	1	4	user.bindcash:50	1900
8	5	1	5	material.1:50	1900
8	6	1	6	material.41:460	1900
8	7	2	1	material.300008:1	500
8	8	2	2	user.gold:1149000	1900
8	9	2	3	user.hero_exp:2297000	1900
8	10	2	4	user.bindcash:50	1900
8	11	2	5	material.1:50	1900
8	12	2	6	material.41:460	1900
8	13	3	1	material.300008:1	500
8	14	3	2	user.gold:2297000	1900
8	15	3	3	user.hero_exp:4595000	1900
8	16	3	4	user.bindcash:100	1900
8	17	3	5	material.1:100	1900
8	18	3	6	material.41:920	1900
8	19	4	1	material.300008:1	500
8	20	4	2	user.gold:2297000	1900
8	21	4	3	user.hero_exp:4595000	1900
8	22	4	4	user.bindcash:100	1900
8	23	4	5	material.1:100	1900
8	24	4	6	material.41:920	1900
8	25	5	1	material.300008:1	500
8	26	5	2	user.gold:3446000	1900
8	27	5	3	user.hero_exp:6892000	1900
8	28	5	4	user.bindcash:140	1900
8	29	5	5	material.1:140	1900
8	30	5	6	material.41:1400	1900
8	31	6	1	material.300008:1	500
8	32	6	2	user.gold:3446000	1900
8	33	6	3	user.hero_exp:6892000	1900
8	34	6	4	user.bindcash:140	1900
8	35	6	5	material.1:140	1900
8	36	6	6	material.41:1400	1900
8	37	7	1	material.300008:1	500
8	38	7	2	user.gold:4595000	1900
8	39	7	3	user.hero_exp:9190000	1900
8	40	7	4	user.bindcash:190	1900
8	41	7	5	material.1:190	1900
8	42	7	6	material.41:1800	1900
8	43	8	1	material.300008:1	500
8	44	8	2	user.gold:5744000	1900
8	45	8	3	user.hero_exp:11487000	1900
8	46	8	4	user.bindcash:230	1900
8	47	8	5	material.1:230	1900
8	48	8	6	material.41:2300	1900
9	1	1	1	material.300008:1	500
9	2	1	2	user.gold:1149000	1900
9	3	1	3	user.hero_exp:2297000	1900
9	4	1	4	user.bindcash:50	1900
9	5	1	5	material.1:50	1900
9	6	1	6	material.41:460	1900
9	7	2	1	material.300008:1	500
9	8	2	2	user.gold:1149000	1900
9	9	2	3	user.hero_exp:2297000	1900
9	10	2	4	user.bindcash:50	1900
9	11	2	5	material.1:50	1900
9	12	2	6	material.41:460	1900
9	13	3	1	material.300008:1	500
9	14	3	2	user.gold:2297000	1900
9	15	3	3	user.hero_exp:4595000	1900
9	16	3	4	user.bindcash:100	1900
9	17	3	5	material.1:100	1900
9	18	3	6	material.41:920	1900
9	19	4	1	material.300008:1	500
9	20	4	2	user.gold:2297000	1900
9	21	4	3	user.hero_exp:4595000	1900
9	22	4	4	user.bindcash:100	1900
9	23	4	5	material.1:100	1900
9	24	4	6	material.41:920	1900
9	25	5	1	material.300008:1	500
9	26	5	2	user.gold:3446000	1900
9	27	5	3	user.hero_exp:6892000	1900
9	28	5	4	user.bindcash:140	1900
9	29	5	5	material.1:140	1900
9	30	5	6	material.41:1400	1900
9	31	6	1	material.300008:1	500
9	32	6	2	user.gold:3446000	1900
9	33	6	3	user.hero_exp:6892000	1900
9	34	6	4	user.bindcash:140	1900
9	35	6	5	material.1:140	1900
9	36	6	6	material.41:1400	1900
9	37	7	1	material.300008:1	500
9	38	7	2	user.gold:4595000	1900
9	39	7	3	user.hero_exp:9190000	1900
9	40	7	4	user.bindcash:190	1900
9	41	7	5	material.1:190	1900
9	42	7	6	material.41:1800	1900
9	43	8	1	material.300008:1	500
9	44	8	2	user.gold:5744000	1900
9	45	8	3	user.hero_exp:11487000	1900
9	46	8	4	user.bindcash:230	1900
9	47	8	5	material.1:230	1900
9	48	8	6	material.41:2300	1900
10	1	1	1	material.300008:1	500
10	2	1	2	user.gold:1149000	1900
10	3	1	3	user.hero_exp:2297000	1900
10	4	1	4	user.bindcash:50	1900
10	5	1	5	material.1:50	1900
10	6	1	6	material.41:460	1900
10	7	2	1	material.300008:1	500
10	8	2	2	user.gold:1149000	1900
10	9	2	3	user.hero_exp:2297000	1900
10	10	2	4	user.bindcash:50	1900
10	11	2	5	material.1:50	1900
10	12	2	6	material.41:460	1900
10	13	3	1	material.300008:1	500
10	14	3	2	user.gold:2297000	1900
10	15	3	3	user.hero_exp:4595000	1900
10	16	3	4	user.bindcash:100	1900
10	17	3	5	material.1:100	1900
10	18	3	6	material.41:920	1900
10	19	4	1	material.300008:1	500
10	20	4	2	user.gold:2297000	1900
10	21	4	3	user.hero_exp:4595000	1900
10	22	4	4	user.bindcash:100	1900
10	23	4	5	material.1:100	1900
10	24	4	6	material.41:920	1900
10	25	5	1	material.300008:1	500
10	26	5	2	user.gold:3446000	1900
10	27	5	3	user.hero_exp:6892000	1900
10	28	5	4	user.bindcash:140	1900
10	29	5	5	material.1:140	1900
10	30	5	6	material.41:1400	1900
10	31	6	1	material.300008:1	500
10	32	6	2	user.gold:3446000	1900
10	33	6	3	user.hero_exp:6892000	1900
10	34	6	4	user.bindcash:140	1900
10	35	6	5	material.1:140	1900
10	36	6	6	material.41:1400	1900
10	37	7	1	material.300008:1	500
10	38	7	2	user.gold:4595000	1900
10	39	7	3	user.hero_exp:9190000	1900
10	40	7	4	user.bindcash:190	1900
10	41	7	5	material.1:190	1900
10	42	7	6	material.41:1800	1900
10	43	8	1	material.300008:1	500
10	44	8	2	user.gold:5744000	1900
10	45	8	3	user.hero_exp:11487000	1900
10	46	8	4	user.bindcash:230	1900
10	47	8	5	material.1:230	1900
10	48	8	6	material.41:2300	1900
11	1	1	1	material.300008:1	500
11	2	1	2	user.gold:1149000	1900
11	3	1	3	user.hero_exp:2297000	1900
11	4	1	4	user.bindcash:50	1900
11	5	1	5	material.1:50	1900
11	6	1	6	material.41:460	1900
11	7	2	1	material.300008:1	500
11	8	2	2	user.gold:1149000	1900
11	9	2	3	user.hero_exp:2297000	1900
11	10	2	4	user.bindcash:50	1900
11	11	2	5	material.1:50	1900
11	12	2	6	material.41:460	1900
11	13	3	1	material.300008:1	500
11	14	3	2	user.gold:2297000	1900
11	15	3	3	user.hero_exp:4595000	1900
11	16	3	4	user.bindcash:100	1900
11	17	3	5	material.1:100	1900
11	18	3	6	material.41:920	1900
11	19	4	1	material.300008:1	500
11	20	4	2	user.gold:2297000	1900
11	21	4	3	user.hero_exp:4595000	1900
11	22	4	4	user.bindcash:100	1900
11	23	4	5	material.1:100	1900
11	24	4	6	material.41:920	1900
11	25	5	1	material.300008:1	500
11	26	5	2	user.gold:3446000	1900
11	27	5	3	user.hero_exp:6892000	1900
11	28	5	4	user.bindcash:140	1900
11	29	5	5	material.1:140	1900
11	30	5	6	material.41:1400	1900
11	31	6	1	material.300008:1	500
11	32	6	2	user.gold:3446000	1900
11	33	6	3	user.hero_exp:6892000	1900
11	34	6	4	user.bindcash:140	1900
11	35	6	5	material.1:140	1900
11	36	6	6	material.41:1400	1900
11	37	7	1	material.300008:1	500
11	38	7	2	user.gold:4595000	1900
11	39	7	3	user.hero_exp:9190000	1900
11	40	7	4	user.bindcash:190	1900
11	41	7	5	material.1:190	1900
11	42	7	6	material.41:1800	1900
11	43	8	1	material.300008:1	500
11	44	8	2	user.gold:5744000	1900
11	45	8	3	user.hero_exp:11487000	1900
11	46	8	4	user.bindcash:230	1900
11	47	8	5	material.1:230	1900
11	48	8	6	material.41:2300	1900
12	1	1	1	material.300008:1	500
12	2	1	2	user.gold:1149000	1900
12	3	1	3	user.hero_exp:2297000	1900
12	4	1	4	user.bindcash:50	1900
12	5	1	5	material.1:50	1900
12	6	1	6	material.41:460	1900
12	7	2	1	material.300008:1	500
12	8	2	2	user.gold:1149000	1900
12	9	2	3	user.hero_exp:2297000	1900
12	10	2	4	user.bindcash:50	1900
12	11	2	5	material.1:50	1900
12	12	2	6	material.41:460	1900
12	13	3	1	material.300008:1	500
12	14	3	2	user.gold:2297000	1900
12	15	3	3	user.hero_exp:4595000	1900
12	16	3	4	user.bindcash:100	1900
12	17	3	5	material.1:100	1900
12	18	3	6	material.41:920	1900
12	19	4	1	material.300008:1	500
12	20	4	2	user.gold:2297000	1900
12	21	4	3	user.hero_exp:4595000	1900
12	22	4	4	user.bindcash:100	1900
12	23	4	5	material.1:100	1900
12	24	4	6	material.41:920	1900
12	25	5	1	material.300008:1	500
12	26	5	2	user.gold:3446000	1900
12	27	5	3	user.hero_exp:6892000	1900
12	28	5	4	user.bindcash:140	1900
12	29	5	5	material.1:140	1900
12	30	5	6	material.41:1400	1900
12	31	6	1	material.300008:1	500
12	32	6	2	user.gold:3446000	1900
12	33	6	3	user.hero_exp:6892000	1900
12	34	6	4	user.bindcash:140	1900
12	35	6	5	material.1:140	1900
12	36	6	6	material.41:1400	1900
12	37	7	1	material.300008:1	500
12	38	7	2	user.gold:4595000	1900
12	39	7	3	user.hero_exp:9190000	1900
12	40	7	4	user.bindcash:190	1900
12	41	7	5	material.1:190	1900
12	42	7	6	material.41:1800	1900
12	43	8	1	material.300008:1	500
12	44	8	2	user.gold:5744000	1900
12	45	8	3	user.hero_exp:11487000	1900
12	46	8	4	user.bindcash:230	1900
12	47	8	5	material.1:230	1900
12	48	8	6	material.41:2300	1900
