关卡id	挑战本关需求杀怪	手动杀怪掉落ID	功能开启	新手引导标示	是否可退出/暂停	首通奖励	掉落预览	战斗背景	战斗阵型	挂机阵型	挂机掉落经验	挂机掉落金币	挂机掉落英雄经验	挂机掉落突破石
53	10	10053	0	0	1	user.xp:300,user.gold:3000,user.hero_exp:5200		4	1000053	1000001|1000002	107	287	140	0.2131
54	10	10054	0	0	1	equip.30101.0:1,equip.40101.0:1,user.xp:300,user.gold:3000,user.hero_exp:5200		4	1000054	1000001|1000002	108	288	143	0.2134
55	10	10055	0	0	1	user.xp:300,user.gold:3000,user.hero_exp:5200		4	1000055	1000001|1000002	109	289	145	0.2137
56	10	10056	0	0	1	user.xp:300,user.gold:3000,user.hero_exp:5200	equip10002:1	4	1000056	1000001|1000002	110	290	148	0.2139
57	10	10057	0	0	1	equip.50101.0:1,equip.60101.0:1,user.xp:300,user.gold:3000,user.hero_exp:5200		4	1000057	1000001|1000002	111	291	150	0.2142
58	10	10058	0	19	1	user.xp:300,user.gold:3000,user.hero_exp:5200		4	1000058	1000001|1000002	112	292	153	0.2145
59	10	10059	0	0	1	user.xp:300,user.gold:3000,user.hero_exp:5200		4	1000059	1000001|1000002	113	293	155	0.2148
60	10	10060	0	0	1	material.1:20,user.xp:300,user.gold:3000,user.hero_exp:5200		4	1000060	1000001|1000002	114	294	158	0.2151
61	10	10061	0	0	1	user.xp:300,user.gold:3000,user.hero_exp:5200		3	1000061	1000001|1000002	115	295	160	0.2153
62	10	10062	0	0	1	user.xp:600,user.gold:6000,user.hero_exp:10300		3	1000062	1000001|1000002	116	296	163	0.2156
63	10	10063	0	0	1	material.940:2,user.xp:600,user.gold:6000,user.hero_exp:10300		3	1000063	1000001|1000002	117	297	165	0.2159
64	10	10064	0	0	1	user.xp:600,user.gold:6000,user.hero_exp:10300		3	1000064	1000001|1000002	118	298	168	0.2162
65	10	10065	0	0	1	user.xp:600,user.gold:6000,user.hero_exp:10300		3	1000065	1000001|1000002	119	299	170	0.2165
66	10	10066	0	0	1	material.940:2,user.xp:600,user.gold:6000,user.hero_exp:10300		3	1000066	1000001|1000002	120	300	173	0.2168
67	10	10067	0	0	1	user.xp:600,user.gold:6000,user.hero_exp:10300		3	1000067	1000001|1000002	121	301	175	0.2171
68	10	10068	0	0	1	user.xp:600,user.gold:6000,user.hero_exp:10300		3	1000068	1000001|1000002	122	302	178	0.2173
69	10	10069	0	0	1	material.940:2,user.xp:600,user.gold:6000,user.hero_exp:10300		3	1000069	1000001|1000002	123	303	181	0.2176
70	10	10070	0	0	1	user.xp:600,user.gold:6000,user.hero_exp:10300		3	1000070	1000001|1000002	124	304	183	0.2179
71	10	10071	0	0	1	user.xp:600,user.gold:6000,user.hero_exp:10300		3	1000071	1000001|1000002	125	305	186	0.2182
72	10	10072	0	0	1	material.940:2,user.xp:600,user.gold:6000,user.hero_exp:10300		3	1000072	1000001|1000002	126	306	188	0.2185
73	10	10073	0	0	1	user.xp:600,user.gold:6000,user.hero_exp:10300		5	1000073	1000001|1000002	127	307	191	0.2188
74	10	10074	0	0	1	user.xp:600,user.gold:6000,user.hero_exp:10300		5	1000074	1000001|1000002	128	308	194	0.2191
75	10	10075	0	0	1	material.940:2,user.xp:600,user.gold:6000,user.hero_exp:10300		5	1000075	1000001|1000002	130	310	196	0.2194
76	10	10076	0	20	1	user.xp:600,user.gold:6000,user.hero_exp:10300		5	1000076	1000001|1000002	131	311	199	0.2197
77	10	10077	0	0	1	user.xp:600,user.gold:6000,user.hero_exp:10300	equip10002:1	5	1000077	1000001|1000002	132	312	201	0.22
78	10	10078	0	0	1	material.940:2,user.xp:600,user.gold:6000,user.hero_exp:10300		5	1000078	1000001|1000002	133	313	204	0.2203
79	10	10079	0	0	1	user.xp:600,user.gold:6000,user.hero_exp:10300		5	1000079	1000001|1000002	134	314	207	0.2206
80	10	10080	0	0	1	user.xp:600,user.gold:6000,user.hero_exp:10300		5	1000080	1000001|1000002	135	315	209	0.2209
81	10	10081	0	0	1	material.940:2,user.xp:600,user.gold:6000,user.hero_exp:10300		5	1000081	1000001|1000002	136	316	212	0.2212
82	10	10082	0	0	1	user.xp:600,user.gold:6000,user.hero_exp:10300		5	1000082	1000001|1000002	137	317	215	0.2215
83	10	10083	0	0	1	user.xp:600,user.gold:6000,user.hero_exp:10300		5	1000083	1000001|1000002	138	318	217	0.2218
84	10	10084	0	0	1	material.940:2,user.xp:600,user.gold:6000,user.hero_exp:10300		5	1000084	1000001|1000002	139	319	220	0.2221
85	10	10085	0	0	1	user.xp:600,user.gold:6000,user.hero_exp:10300		5	1000085	1000001|1000002	140	320	223	0.2224
86	10	10086	0	0	1	user.xp:600,user.gold:6000,user.hero_exp:10300		5	1000086	1000001|1000002	141	321	226	0.2227
87	10	10087	0	0	1	material.940:2,user.xp:600,user.gold:6000,user.hero_exp:10300		5	1000087	1000001|1000002	143	323	228	0.223
88	10	10088	0	0	1	user.xp:600,user.gold:6000,user.hero_exp:10300		5	1000088	1000001|1000002	144	324	231	0.2233
89	10	10089	0	0	1	user.xp:600,user.gold:6000,user.hero_exp:10300		5	1000089	1000001|1000002	145	325	234	0.2236
90	10	10090	0	0	1	material.940:2,user.xp:600,user.gold:6000,user.hero_exp:10300		5	1000090	1000001|1000002	146	326	237	0.224
91	10	10091	0	0	1	user.xp:600,user.gold:6000,user.hero_exp:10300		5	1000091	1000001|1000002	147	327	239	0.2243
92	10	10092	0	0	1	user.xp:600,user.gold:6000,user.hero_exp:10300		5	1000092	1000001|1000002	148	328	242	0.2246
93	10	10093	0	0	1	material.950:1,user.xp:600,user.gold:6000,user.hero_exp:10300		5	1000093	1000001|1000002	149	329	245	0.2249
94	10	10094	0	0	1	user.xp:600,user.gold:6000,user.hero_exp:10300		5	1000094	1000001|1000002	150	330	248	0.2252
95	10	10095	0	0	1	user.xp:600,user.gold:6000,user.hero_exp:10300		5	1000095	1000001|1000002	152	332	251	0.2255
96	10	10096	0	0	1	material.950:1,user.xp:600,user.gold:6000,user.hero_exp:10300		5	1000096	1000001|1000002	153	333	253	0.2258
97	10	10097	0	0	1	user.xp:600,user.gold:6000,user.hero_exp:10300		5	1000097	1000001|1000002	154	334	256	0.2262
98	10	10098	0	0	1	user.xp:600,user.gold:6000,user.hero_exp:10300		5	1000098	1000001|1000002	155	335	259	0.2265
99	10	10099	0	0	1	material.950:1,user.xp:600,user.gold:6000,user.hero_exp:10300		5	1000099	1000001|1000002	156	336	262	0.2268
100	10	10100	0	0	1	user.xp:600,user.gold:6000,user.hero_exp:10300		6	1000100	1000001|1000002	157	337	265	0.2271
101	10	10101	0	0	1	user.xp:600,user.gold:6000,user.hero_exp:10300		6	1000101	1000001|1000002	158	338	268	0.2274
102	10	10102	0	0	1	material.950:1,user.xp:600,user.gold:6000,user.hero_exp:10300		6	1000102	1000001|1000002	160	340	270	0.2278
103	10	10103	0	0	1	user.xp:600,user.gold:6000,user.hero_exp:10300		6	1000103	1000001|1000002	161	341	273	0.2281
104	10	10104	0	0	1	user.xp:600,user.gold:6000,user.hero_exp:10300		6	1000104	1000001|1000002	162	342	276	0.2284
105	10	10105	0	0	1	material.950:1,user.xp:600,user.gold:6000,user.hero_exp:10300		6	1000105	1000001|1000002	163	343	279	0.2287
106	10	10106	0	0	1	user.xp:800,user.gold:9000,user.hero_exp:15400		6	1000106	1000001|1000002	164	344	282	0.2291
107	10	10107	0	0	1	user.xp:800,user.gold:9000,user.hero_exp:15400		6	1000107	1000001|1000002	165	345	285	0.2294
108	10	10108	0	0	1	material.950:1,user.xp:800,user.gold:9000,user.hero_exp:15400		6	1000108	1000001|1000002	167	347	288	0.2297
109	10	10109	0	0	1	user.xp:800,user.gold:9000,user.hero_exp:15400		6	1000109	1000001|1000002	168	348	291	0.23
110	10	10110	0	0	1	user.xp:800,user.gold:9000,user.hero_exp:15400		6	1000110	1000001|1000002	169	349	294	0.2304
111	10	10111	0	0	1	material.950:1,user.xp:800,user.gold:9000,user.hero_exp:15400		6	1000111	1000001|1000002	170	350	297	0.2307
112	10	10112	0	0	1	user.xp:800,user.gold:9000,user.hero_exp:15400		6	1000112	1000001|1000002	171	351	300	0.231
113	10	10113	0	0	1	user.xp:800,user.gold:9000,user.hero_exp:15400		6	1000113	1000001|1000002	173	353	302	0.2314
114	10	10114	0	0	1	material.950:1,user.xp:800,user.gold:9000,user.hero_exp:15400		6	1000114	1000001|1000002	174	354	305	0.2317
115	10	10115	0	0	1	user.xp:800,user.gold:9000,user.hero_exp:15400		6	1000115	1000001|1000002	175	355	308	0.232
116	10	10116	0	0	1	user.xp:800,user.gold:9000,user.hero_exp:15400		6	1000116	1000001|1000002	176	356	311	0.2324
117	10	10117	0	0	1	material.950:1,user.xp:800,user.gold:9000,user.hero_exp:15400		6	1000117	1000001|1000002	177	357	314	0.2327
118	10	10118	0	0	1	user.xp:800,user.gold:9000,user.hero_exp:15400		6	1000118	1000001|1000002	179	359	317	0.233
119	10	10119	0	0	1	user.xp:800,user.gold:9000,user.hero_exp:15400		6	1000119	1000001|1000002	180	360	320	0.2334
120	10	10120	0	0	1	material.950:1,user.xp:800,user.gold:9000,user.hero_exp:15400		6	1000120	1000001|1000002	181	361	323	0.2337
121	10	10121	0	0	1	user.xp:800,user.gold:9000,user.hero_exp:15400		6	1000121	1000001|1000002	182	362	326	0.2341
122	10	10122	0	0	1	user.xp:800,user.gold:9000,user.hero_exp:15400		6	1000122	1000001|1000002	184	364	330	0.2344
123	10	10123	0	0	1	material.950:1,user.xp:800,user.gold:9000,user.hero_exp:15400		6	1000123	1000001|1000002	185	365	333	0.2348
124	10	10124	0	0	1	user.xp:800,user.gold:9000,user.hero_exp:15400		6	1000124	1000001|1000002	186	366	336	0.2351
125	10	10125	0	0	1	user.xp:800,user.gold:9000,user.hero_exp:15400		6	1000125	1000001|1000002	187	367	339	0.2354
126	10	10126	0	0	1	material.950:1,user.xp:800,user.gold:9000,user.hero_exp:15400		6	1000126	1000001|1000002	189	369	342	0.2358
127	10	10127	0	0	1	user.xp:800,user.gold:9000,user.hero_exp:15400		6	1000127	1000001|1000002	190	370	345	0.2361
128	10	10128	0	0	1	user.xp:800,user.gold:9000,user.hero_exp:15400		6	1000128	1000001|1000002	191	371	348	0.2365
129	10	10129	0	0	1	material.950:1,user.xp:800,user.gold:9000,user.hero_exp:15400		6	1000129	1000001|1000002	192	372	351	0.2368
130	10	10130	0	0	1	user.xp:800,user.gold:9000,user.hero_exp:15400		6	1000130	1000001|1000002	194	374	354	0.2372
131	10	10131	0	0	1	user.xp:800,user.gold:9000,user.hero_exp:15400		6	1000131	1000001|1000002	195	375	357	0.2375
132	10	10132	0	0	1	material.950:1,user.xp:800,user.gold:9000,user.hero_exp:15400		6	1000132	1000001|1000002	196	376	360	0.2379
133	10	10133	0	0	1	user.xp:800,user.gold:9000,user.hero_exp:15400		1	1000133	1000001|1000002	197	377	364	0.2382
134	10	10134	0	0	1	user.xp:800,user.gold:9000,user.hero_exp:15400		1	1000134	1000001|1000002	199	379	367	0.2386
135	10	10135	0	0	1	material.950:1,user.xp:800,user.gold:9000,user.hero_exp:15400		1	1000135	1000001|1000002	200	380	370	0.239
136	10	10136	0	0	1	user.xp:800,user.gold:9000,user.hero_exp:15400		1	1000136	1000001|1000002	201	381	373	0.2393
137	10	10137	0	0	1	user.xp:800,user.gold:9000,user.hero_exp:15400		1	1000137	1000001|1000002	202	382	376	0.2397
138	10	10138	0	0	1	material.950:1,user.xp:800,user.gold:9000,user.hero_exp:15400		1	1000138	1000001|1000002	204	384	379	0.24
139	10	10139	0	0	1	user.xp:800,user.gold:9000,user.hero_exp:15400		1	1000139	1000001|1000002	205	385	383	0.2404
140	10	10140	0	0	1	user.xp:800,user.gold:9000,user.hero_exp:15400		1	1000140	1000001|1000002	206	386	386	0.2407
141	10	10141	0	0	1	material.950:1,user.xp:800,user.gold:9000,user.hero_exp:15400		1	1000141	1000001|1000002	208	388	389	0.2411
142	10	10142	0	0	1	user.xp:800,user.gold:9000,user.hero_exp:15400		1	1000142	1000001|1000002	209	389	392	0.2415
143	10	10143	0	0	1	user.xp:800,user.gold:9000,user.hero_exp:15400		1	1000143	1000001|1000002	210	390	395	0.2418
144	10	10144	0	0	1	material.950:1,user.xp:800,user.gold:9000,user.hero_exp:15400		1	1000144	1000001|1000002	212	392	399	0.2422
145	10	10145	0	0	1	user.xp:800,user.gold:9000,user.hero_exp:15400		1	1000145	1000001|1000002	213	393	402	0.2426
146	10	10146	0	0	1	user.xp:800,user.gold:9000,user.hero_exp:15400		1	1000146	1000001|1000002	214	394	405	0.2429
147	10	10147	0	0	1	material.950:1,user.xp:800,user.gold:9000,user.hero_exp:15400		1	1000147	1000001|1000002	216	396	408	0.2433
148	10	10148	0	0	1	user.xp:800,user.gold:9000,user.hero_exp:15400		1	1000148	1000001|1000002	217	397	412	0.2437
149	10	10149	0	0	1	user.xp:800,user.gold:9000,user.hero_exp:15400		1	1000149	1000001|1000002	218	398	415	0.244
150	10	10150	elite	0	1	material.950:1,user.xp:1100,user.gold:12000,user.hero_exp:20500		1	1000150	1000001|1000002	220	400	418	0.2444
151	10	10151	0	0	1	user.xp:1100,user.gold:12000,user.hero_exp:20500		1	1000151	1000001|1000002	221	401	421	0.2448
152	10	10152	0	0	1	user.xp:1100,user.gold:12000,user.hero_exp:20500		1	1000152	1000001|1000002	222	402	425	0.2451
153	10	10153	0	0	1	user.bindcash:10,user.xp:1100,user.gold:12000,user.hero_exp:20500		1	1000153	1000001|1000002	224	404	428	0.2455
154	10	10154	0	0	1	user.xp:1100,user.gold:12000,user.hero_exp:20500		1	1000154	1000001|1000002	225	405	431	0.2459
155	10	10155	0	0	1	user.xp:1100,user.gold:12000,user.hero_exp:20500		1	1000155	1000001|1000002	226	406	435	0.2463
156	10	10156	0	0	1	user.bindcash:10,user.xp:1100,user.gold:12000,user.hero_exp:20500		1	1000156	1000001|1000002	228	408	438	0.2466
157	10	10157	0	0	1	user.xp:1100,user.gold:12000,user.hero_exp:20500		1	1000157	1000001|1000002	229	409	441	0.247
158	10	10158	0	0	1	user.xp:1100,user.gold:12000,user.hero_exp:20500		1	1000158	1000001|1000002	230	410	445	0.2474
159	10	10159	0	0	1	user.bindcash:10,user.xp:1100,user.gold:12000,user.hero_exp:20500		1	1000159	1000001|1000002	232	412	448	0.2478
160	10	10160	0	0	1	user.xp:1100,user.gold:12000,user.hero_exp:20500		1	1000160	1000001|1000002	233	413	451	0.2481
161	10	10161	0	0	1	user.xp:1100,user.gold:12000,user.hero_exp:20500		1	1000161	1000001|1000002	234	414	455	0.2485
162	10	10162	0	0	1	user.bindcash:10,user.xp:1100,user.gold:12000,user.hero_exp:20500		1	1000162	1000001|1000002	236	416	458	0.2489
163	10	10163	0	0	1	user.xp:1100,user.gold:12000,user.hero_exp:20500		1	1000163	1000001|1000002	237	417	462	0.2493
164	10	10164	0	0	1	user.xp:1100,user.gold:12000,user.hero_exp:20500		1	1000164	1000001|1000002	239	419	465	0.2497
165	10	10165	0	0	1	user.bindcash:10,user.xp:1100,user.gold:12000,user.hero_exp:20500		1	1000165	1000001|1000002	240	420	468	0.2501
166	10	10166	0	0	1	user.xp:1100,user.gold:12000,user.hero_exp:20500		1	1000166	1000001|1000002	241	421	472	0.2504
167	10	10167	0	0	1	user.xp:1100,user.gold:12000,user.hero_exp:20500		1	1000167	1000001|1000002	243	423	475	0.2508
168	10	10168	0	0	1	user.bindcash:10,user.xp:1100,user.gold:12000,user.hero_exp:20500		1	1000168	1000001|1000002	244	424	479	0.2512
169	10	10169	0	0	1	user.xp:1100,user.gold:12000,user.hero_exp:20500		1	1000169	1000001|1000002	245	425	482	0.2516
170	10	10170	0	0	1	user.xp:1100,user.gold:12000,user.hero_exp:20500		1	1000170	1000001|1000002	247	427	486	0.252
171	10	10171	0	0	1	user.bindcash:10,user.xp:1100,user.gold:12000,user.hero_exp:20500		1	1000171	1000001|1000002	248	428	489	0.2524
172	10	10172	0	0	1	user.xp:1100,user.gold:12000,user.hero_exp:20500		1	1000172	1000001|1000002	250	430	493	0.2528
173	10	10173	0	0	1	user.xp:1100,user.gold:12000,user.hero_exp:20500		1	1000173	1000001|1000002	251	431	496	0.2532
174	10	10174	0	0	1	user.bindcash:10,user.xp:1100,user.gold:12000,user.hero_exp:20500		1	1000174	1000001|1000002	253	433	500	0.2536
175	10	10175	0	0	1	user.xp:1100,user.gold:12000,user.hero_exp:20500		1	1000175	1000001|1000002	254	434	503	0.254
176	10	10176	0	0	1	user.xp:1100,user.gold:12000,user.hero_exp:20500		1	1000176	1000001|1000002	255	435	507	0.2544
177	10	10177	0	0	1	user.bindcash:10,user.xp:1100,user.gold:12000,user.hero_exp:20500		1	1000177	1000001|1000002	257	437	510	0.2548
178	10	10178	0	0	1	user.xp:1100,user.gold:12000,user.hero_exp:20500		1	1000178	1000001|1000002	258	438	514	0.2552
179	10	10179	0	0	1	user.xp:1100,user.gold:12000,user.hero_exp:20500		1	1000179	1000001|1000002	260	440	517	0.2556
180	10	10180	0	0	1	user.bindcash:10,user.xp:1100,user.gold:12000,user.hero_exp:20500		1	1000180	1000001|1000002	261	441	521	0.256
181	10	10181	0	0	1	user.xp:1100,user.gold:12000,user.hero_exp:20500		1	1000181	1000001|1000002	263	443	524	0.2564
182	10	10182	0	0	1	user.xp:1100,user.gold:12000,user.hero_exp:20500		1	1000182	1000001|1000002	264	444	528	0.2568
183	10	10183	0	0	1	user.bindcash:10,user.xp:1100,user.gold:12000,user.hero_exp:20500		1	1000183	1000001|1000002	265	445	531	0.2572
184	10	10184	0	0	1	user.xp:1100,user.gold:12000,user.hero_exp:20500		1	1000184	1000001|1000002	267	447	535	0.2576
185	10	10185	0	0	1	user.xp:1100,user.gold:12000,user.hero_exp:20500		1	1000185	1000001|1000002	268	448	539	0.258
186	10	10186	0	0	1	user.bindcash:10,user.xp:1100,user.gold:12000,user.hero_exp:20500		1	1000186	1000001|1000002	270	450	542	0.2584
187	10	10187	0	0	1	user.xp:1100,user.gold:12000,user.hero_exp:20500		1	1000187	1000001|1000002	271	451	546	0.2588
188	10	10188	0	0	1	user.xp:1100,user.gold:12000,user.hero_exp:20500		1	1000188	1000001|1000002	273	453	549	0.2592
189	10	10189	0	0	1	user.bindcash:10,user.xp:1100,user.gold:12000,user.hero_exp:20500		1	1000189	1000001|1000002	274	454	553	0.2596
190	10	10190	0	0	1	user.xp:1100,user.gold:12000,user.hero_exp:20500		1	1000190	1000001|1000002	276	456	557	0.26
191	10	10191	0	0	1	user.xp:1100,user.gold:12000,user.hero_exp:20500		1	1000191	1000001|1000002	277	457	560	0.2604
192	10	10192	0	0	1	user.bindcash:10,user.xp:1100,user.gold:12000,user.hero_exp:20500		1	1000192	1000001|1000002	279	459	564	0.2608
193	10	10193	0	0	1	user.xp:1100,user.gold:12000,user.hero_exp:20500		1	1000193	1000001|1000002	280	460	568	0.2612
194	10	10194	0	0	1	user.xp:1100,user.gold:12000,user.hero_exp:20500		1	1000194	1000001|1000002	282	462	571	0.2616
195	10	10195	0	0	1	user.bindcash:10,user.xp:1100,user.gold:12000,user.hero_exp:20500		1	1000195	1000001|1000002	283	463	575	0.2621
196	10	10196	0	0	1	user.xp:1100,user.gold:12000,user.hero_exp:20500		1	1000196	1000001|1000002	285	465	579	0.2625
197	10	10197	0	0	1	user.xp:1100,user.gold:12000,user.hero_exp:20500		1	1000197	1000001|1000002	286	466	582	0.2629
198	10	10198	0	0	1	user.bindcash:10,user.xp:1100,user.gold:12000,user.hero_exp:20500		1	1000198	1000001|1000002	288	468	586	0.2633
199	10	10199	0	0	1	user.xp:1100,user.gold:12000,user.hero_exp:20500		1	1000199	1000001|1000002	289	469	590	0.2637
200	10	10200	0	0	1	user.xp:1100,user.gold:12000,user.hero_exp:20500		1	1000200	1000001|1000002	291	471	594	0.2641
201	10	10201	0	0	1	user.bindcash:10,user.xp:1100,user.gold:12000,user.hero_exp:20500		1	1000201	1000001|1000002	292	472	597	0.2646
202	10	10202	0	0	1	user.xp:1100,user.gold:12000,user.hero_exp:20500		1	1000202	1000001|1000002	294	474	601	0.265
203	10	10203	0	0	1	user.xp:1100,user.gold:12000,user.hero_exp:20500		1	1000203	1000001|1000002	295	475	605	0.2654
