等级	速攻攻击	速攻防御	速攻生命	速攻速度	支援攻击	支援防御	支援生命	支援速度	妨害攻击	妨害防御	妨害生命	妨害速度	坦克攻击	坦克防御	坦克生命	坦克速度	回复攻击	回复防御	回复生命	回复速度	攻击攻击	攻击防御	攻击生命	攻击速度
51	2085.12	724	14480	240	1737.6	724	17376	200	1737.6	724	17376	200	1448	965.33092	19548	180	2085.12	658.18181818	14748.133354	160	2316.794208	724	13032.03258	140
52	2154.24	748	14960	242.4	1795.2	748	17952	202	1795.2	748	17952	202	1496	997.33084	20196	181.8	2154.24	680	15237.021753	161.6	2393.594016	748	13464.03366	141.4
53	2223.36	772	15440	244.8	1852.8	772	18528	204	1852.8	772	18528	204	1544	1029.33076	20844	183.6	2223.36	701.81818182	15725.910151	163.2	2470.393824	772	13896.03474	142.8
54	2292.48	796	15920	247.2	1910.4	796	19104	206	1910.4	796	19104	206	1592	1061.33068	21492	185.4	2292.48	723.63636364	16214.79855	164.8	2547.193632	796	14328.03582	144.2
55	2361.6	820	16400	249.6	1968	820	19680	208	1968	820	19680	208	1640	1093.3306	22140	187.2	2361.6	745.45454545	16703.686948	166.4	2623.99344	820	14760.0369	145.6
56	2430.72	844	16880	252	2025.6	844	20256	210	2025.6	844	20256	210	1688	1125.33052	22788	189	2430.72	767.27272727	17192.575347	168	2700.793248	844	15192.03798	147
57	2499.84	868	17360	254.4	2083.2	868	20832	212	2083.2	868	20832	212	1736	1157.33044	23436	190.8	2499.84	789.09090909	17681.463745	169.6	2777.593056	868	15624.03906	148.4
58	2568.96	892	17840	256.8	2140.8	892	21408	214	2140.8	892	21408	214	1784	1189.33036	24084	192.6	2568.96	810.90909091	18170.352144	171.2	2854.392864	892	16056.04014	149.8
59	2638.08	916	18320	259.2	2198.4	916	21984	216	2198.4	916	21984	216	1832	1221.33028	24732	194.4	2638.08	832.72727273	18659.240542	172.8	2931.192672	916	16488.04122	151.2
60	2707.2	940	18800	261.6	2256	940	22560	218	2256	940	22560	218	1880	1253.3302	25380	196.2	2707.2	854.54545455	19148.128941	174.4	3007.99248	940	16920.0423	152.6
61	2787.84	968	19360	264	2323.2	968	23232	220	2323.2	968	23232	220	1936	1290.66344	26136	198	2787.84	880	19718.498739	176	3097.592256	968	17424.04356	154
62	2868.48	996	19920	266.4	2390.4	996	23904	222	2390.4	996	23904	222	1992	1327.99668	26892	199.8	2868.48	905.45454545	20288.868537	177.6	3187.192032	996	17928.04482	155.4
63	2949.12	1024	20480	268.8	2457.6	1024	24576	224	2457.6	1024	24576	224	2048	1365.32992	27648	201.6	2949.12	930.90909091	20859.238336	179.2	3276.791808	1024	18432.04608	156.8
64	3029.76	1052	21040	271.2	2524.8	1052	25248	226	2524.8	1052	25248	226	2104	1402.66316	28404	203.4	3029.76	956.36363636	21429.608134	180.8	3366.391584	1052	18936.04734	158.2
65	3110.4	1080	21600	273.6	2592	1080	25920	228	2592	1080	25920	228	2160	1439.9964	29160	205.2	3110.4	981.81818182	21999.977932	182.4	3455.99136	1080	19440.0486	159.6
66	3191.04	1108	22160	276	2659.2	1108	26592	230	2659.2	1108	26592	230	2216	1477.32964	29916	207	3191.04	1007.2727273	22570.34773	184	3545.591136	1108	19944.04986	161
67	3271.68	1136	22720	278.4	2726.4	1136	27264	232	2726.4	1136	27264	232	2272	1514.66288	30672	208.8	3271.68	1032.7272727	23140.717529	185.6	3635.190912	1136	20448.05112	162.4
68	3352.32	1164	23280	280.8	2793.6	1164	27936	234	2793.6	1164	27936	234	2328	1551.99612	31428	210.6	3352.32	1058.1818182	23711.087327	187.2	3724.790688	1164	20952.05238	163.8
69	3432.96	1192	23840	283.2	2860.8	1192	28608	236	2860.8	1192	28608	236	2384	1589.32936	32184	212.4	3432.96	1083.6363636	24281.457125	188.8	3814.390464	1192	21456.05364	165.2
70	3513.6	1220	24400	285.6	2928	1220	29280	238	2928	1220	29280	238	2440	1626.6626	32940	214.2	3513.6	1109.0909091	24851.826923	190.4	3903.99024	1220	21960.0549	166.6
71	3605.76	1252	25040	288	3004.8	1252	30048	240	3004.8	1252	30048	240	2504	1669.32916	33804	216	3605.76	1138.1818182	25503.678121	192	4006.389984	1252	22536.05634	168
72	3697.92	1284	25680	290.4	3081.6	1284	30816	242	3081.6	1284	30816	242	2568	1711.99572	34668	217.8	3697.92	1167.2727273	26155.529319	193.6	4108.789728	1284	23112.05778	169.4
73	3790.08	1316	26320	292.8	3158.4	1316	31584	244	3158.4	1316	31584	244	2632	1754.66228	35532	219.6	3790.08	1196.3636364	26807.380517	195.2	4211.189472	1316	23688.05922	170.8
74	3882.24	1348	26960	295.2	3235.2	1348	32352	246	3235.2	1348	32352	246	2696	1797.32884	36396	221.4	3882.24	1225.4545455	27459.231715	196.8	4313.589216	1348	24264.06066	172.2
75	3974.4	1380	27600	297.6	3312	1380	33120	248	3312	1380	33120	248	2760	1839.9954	37260	223.2	3974.4	1254.5454545	28111.082913	198.4	4415.98896	1380	24840.0621	173.6
76	4066.56	1412	28240	300	3388.8	1412	33888	250	3388.8	1412	33888	250	2824	1882.66196	38124	225	4066.56	1283.6363636	28762.934111	200	4518.388704	1412	25416.06354	175
77	4158.72	1444	28880	302.4	3465.6	1444	34656	252	3465.6	1444	34656	252	2888	1925.32852	38988	226.8	4158.72	1312.7272727	29414.785309	201.6	4620.788448	1444	25992.06498	176.4
78	4250.88	1476	29520	304.8	3542.4	1476	35424	254	3542.4	1476	35424	254	2952	1967.99508	39852	228.6	4250.88	1341.8181818	30066.636507	203.2	4723.188192	1476	26568.06642	177.8
79	4343.04	1508	30160	307.2	3619.2	1508	36192	256	3619.2	1508	36192	256	3016	2010.66164	40716	230.4	4343.04	1370.9090909	30718.487705	204.8	4825.587936	1508	27144.06786	179.2
80	4435.2	1540	30800	309.6	3696	1540	36960	258	3696	1540	36960	258	3080	2053.3282	41580	232.2	4435.2	1400	31370.338903	206.4	4927.98768	1540	27720.0693	180.6
81	4538.88	1576	31520	312	3782.4	1576	37824	260	3782.4	1576	37824	260	3152	2101.32808	42552	234	4538.88	1432.7272727	32103.671501	208	5043.187392	1576	28368.07092	182
82	4642.56	1612	32240	314.4	3868.8	1612	38688	262	3868.8	1612	38688	262	3224	2149.32796	43524	235.8	4642.56	1465.4545455	32837.004099	209.6	5158.387104	1612	29016.07254	183.4
83	4746.24	1648	32960	316.8	3955.2	1648	39552	264	3955.2	1648	39552	264	3296	2197.32784	44496	237.6	4746.24	1498.1818182	33570.336696	211.2	5273.586816	1648	29664.07416	184.8
84	4849.92	1684	33680	319.2	4041.6	1684	40416	266	4041.6	1684	40416	266	3368	2245.32772	45468	239.4	4849.92	1530.9090909	34303.669294	212.8	5388.786528	1684	30312.07578	186.2
85	4953.6	1720	34400	321.6	4128	1720	41280	268	4128	1720	41280	268	3440	2293.3276	46440	241.2	4953.6	1563.6363636	35037.001892	214.4	5503.98624	1720	30960.0774	187.6
86	5057.28	1756	35120	324	4214.4	1756	42144	270	4214.4	1756	42144	270	3512	2341.32748	47412	243	5057.28	1596.3636364	35770.33449	216	5619.185952	1756	31608.07902	189
87	5160.96	1792	35840	326.4	4300.8	1792	43008	272	4300.8	1792	43008	272	3584	2389.32736	48384	244.8	5160.96	1629.0909091	36503.667087	217.6	5734.385664	1792	32256.08064	190.4
88	5264.64	1828	36560	328.8	4387.2	1828	43872	274	4387.2	1828	43872	274	3656	2437.32724	49356	246.6	5264.64	1661.8181818	37236.999685	219.2	5849.585376	1828	32904.08226	191.8
89	5368.32	1864	37280	331.2	4473.6	1864	44736	276	4473.6	1864	44736	276	3728	2485.32712	50328	248.4	5368.32	1694.5454545	37970.332283	220.8	5964.785088	1864	33552.08388	193.2
90	5472	1900	38000	333.6	4560	1900	45600	278	4560	1900	45600	278	3800	2533.327	51300	250.2	5472	1727.2727273	38703.664881	222.4	6079.9848	1900	34200.0855	194.6
91	5587.2	1940	38800	336	4656	1940	46560	280	4656	1940	46560	280	3880	2586.6602	52380	252	5587.2	1763.6363636	39518.478878	224	6207.98448	1940	34920.0873	196
92	5702.4	1980	39600	338.4	4752	1980	47520	282	4752	1980	47520	282	3960	2639.9934	53460	253.8	5702.4	1800	40333.292876	225.6	6335.98416	1980	35640.0891	197.4
93	5817.6	2020	40400	340.8	4848	2020	48480	284	4848	2020	48480	284	4040	2693.3266	54540	255.6	5817.6	1836.3636364	41148.106873	227.2	6463.98384	2020	36360.0909	198.8
94	5932.8	2060	41200	343.2	4944	2060	49440	286	4944	2060	49440	286	4120	2746.6598	55620	257.4	5932.8	1872.7272727	41962.920871	228.8	6591.98352	2060	37080.0927	200.2
95	6048	2100	42000	345.6	5040	2100	50400	288	5040	2100	50400	288	4200	2799.993	56700	259.2	6048	1909.0909091	42777.734868	230.4	6719.9832	2100	37800.0945	201.6
96	6163.2	2140	42800	348	5136	2140	51360	290	5136	2140	51360	290	4280	2853.3262	57780	261	6163.2	1945.4545455	43592.548865	232	6847.98288	2140	38520.0963	203
97	6278.4	2180	43600	350.4	5232	2180	52320	292	5232	2180	52320	292	4360	2906.6594	58860	262.8	6278.4	1981.8181818	44407.362863	233.6	6975.98256	2180	39240.0981	204.4
98	6393.6	2220	44400	352.8	5328	2220	53280	294	5328	2220	53280	294	4440	2959.9926	59940	264.6	6393.6	2018.1818182	45222.17686	235.2	7103.98224	2220	39960.0999	205.8
99	6508.8	2260	45200	355.2	5424	2260	54240	296	5424	2260	54240	296	4520	3013.3258	61020	266.4	6508.8	2054.5454545	46036.990858	236.8	7231.98192	2260	40680.1017	207.2
100	6624	2300	46000	357.6	5520	2300	55200	298	5520	2300	55200	298	4600	3066.659	62100	268.2	6624	2090.9090909	46851.804855	238.4	7359.9816	2300	41400.1035	208.6
101	6750.72	2344	46880	360	5625.6	2344	56256	300	5625.6	2344	56256	300	4688	3125.32552	63288	270	6750.72	2130.9090909	47748.100253	240	7500.781248	2344	42192.10548	210
102	6877.44	2388	47760	362.4	5731.2	2388	57312	302	5731.2	2388	57312	302	4776	3183.99204	64476	271.8	6877.44	2170.9090909	48644.39565	241.6	7641.580896	2388	42984.10746	211.4
103	7004.16	2432	48640	364.8	5836.8	2432	58368	304	5836.8	2432	58368	304	4864	3242.65856	65664	273.6	7004.16	2210.9090909	49540.691047	243.2	7782.380544	2432	43776.10944	212.8
104	7130.88	2476	49520	367.2	5942.4	2476	59424	306	5942.4	2476	59424	306	4952	3301.32508	66852	275.4	7130.88	2250.9090909	50436.986444	244.8	7923.180192	2476	44568.11142	214.2
105	7257.6	2520	50400	369.6	6048	2520	60480	308	6048	2520	60480	308	5040	3359.9916	68040	277.2	7257.6	2290.9090909	51333.281842	246.4	8063.97984	2520	45360.1134	215.6
106	7384.32	2564	51280	372	6153.6	2564	61536	310	6153.6	2564	61536	310	5128	3418.65812	69228	279	7384.32	2330.9090909	52229.577239	248	8204.779488	2564	46152.11538	217
107	7511.04	2608	52160	374.4	6259.2	2608	62592	312	6259.2	2608	62592	312	5216	3477.32464	70416	280.8	7511.04	2370.9090909	53125.872636	249.6	8345.579136	2608	46944.11736	218.4
108	7637.76	2652	53040	376.8	6364.8	2652	63648	314	6364.8	2652	63648	314	5304	3535.99116	71604	282.6	7637.76	2410.9090909	54022.168033	251.2	8486.378784	2652	47736.11934	219.8
109	7764.48	2696	53920	379.2	6470.4	2696	64704	316	6470.4	2696	64704	316	5392	3594.65768	72792	284.4	7764.48	2450.9090909	54918.463431	252.8	8627.178432	2696	48528.12132	221.2
110	7891.2	2740	54800	381.6	6576	2740	65760	318	6576	2740	65760	318	5480	3653.3242	73980	286.2	7891.2	2490.9090909	55814.758828	254.4	8767.97808	2740	49320.1233	222.6
111	8029.44	2788	55760	384	6691.2	2788	66912	320	6691.2	2788	66912	320	5576	3717.32404	75276	288	8029.44	2534.5454545	56792.535625	256	8921.577696	2788	50184.12546	224
112	8167.68	2836	56720	386.4	6806.4	2836	68064	322	6806.4	2836	68064	322	5672	3781.32388	76572	289.8	8167.68	2578.1818182	57770.312422	257.6	9075.177312	2836	51048.12762	225.4
113	8305.92	2884	57680	388.8	6921.6	2884	69216	324	6921.6	2884	69216	324	5768	3845.32372	77868	291.6	8305.92	2621.8181818	58748.089219	259.2	9228.776928	2884	51912.12978	226.8
114	8444.16	2932	58640	391.2	7036.8	2932	70368	326	7036.8	2932	70368	326	5864	3909.32356	79164	293.4	8444.16	2665.4545455	59725.866016	260.8	9382.376544	2932	52776.13194	228.2
115	8582.4	2980	59600	393.6	7152	2980	71520	328	7152	2980	71520	328	5960	3973.3234	80460	295.2	8582.4	2709.0909091	60703.642813	262.4	9535.97616	2980	53640.1341	229.6
116	8720.64	3028	60560	396	7267.2	3028	72672	330	7267.2	3028	72672	330	6056	4037.32324	81756	297	8720.64	2752.7272727	61681.41961	264	9689.575776	3028	54504.13626	231
117	8858.88	3076	61520	398.4	7382.4	3076	73824	332	7382.4	3076	73824	332	6152	4101.32308	83052	298.8	8858.88	2796.3636364	62659.196407	265.6	9843.175392	3076	55368.13842	232.4
118	8997.12	3124	62480	400.8	7497.6	3124	74976	334	7497.6	3124	74976	334	6248	4165.32292	84348	300.6	8997.12	2840	63636.973204	267.2	9996.775008	3124	56232.14058	233.8
119	9135.36	3172	63440	403.2	7612.8	3172	76128	336	7612.8	3172	76128	336	6344	4229.32276	85644	302.4	9135.36	2883.6363636	64614.750001	268.8	10150.374624	3172	57096.14274	235.2
120	9273.6	3220	64400	405.6	7728	3220	77280	338	7728	3220	77280	338	6440	4293.3226	86940	304.2	9273.6	2927.2727273	65592.526798	270.4	10303.97424	3220	57960.1449	236.6
121	9423.36	3272	65440	408	7852.8	3272	78528	340	7852.8	3272	78528	340	6544	4362.65576	88344	306	9423.36	2974.5454545	66651.784994	272	10470.373824	3272	58896.14724	238
122	9573.12	3324	66480	410.4	7977.6	3324	79776	342	7977.6	3324	79776	342	6648	4431.98892	89748	307.8	9573.12	3021.8181818	67711.043191	273.6	10636.773408	3324	59832.14958	239.4
123	9722.88	3376	67520	412.8	8102.4	3376	81024	344	8102.4	3376	81024	344	6752	4501.32208	91152	309.6	9722.88	3069.0909091	68770.301388	275.2	10803.172992	3376	60768.15192	240.8
124	9872.64	3428	68560	415.2	8227.2	3428	82272	346	8227.2	3428	82272	346	6856	4570.65524	92556	311.4	9872.64	3116.3636364	69829.559585	276.8	10969.572576	3428	61704.15426	242.2
125	10022.4	3480	69600	417.6	8352	3480	83520	348	8352	3480	83520	348	6960	4639.9884	93960	313.2	10022.4	3163.6363636	70888.817781	278.4	11135.97216	3480	62640.1566	243.6
126	10172.16	3532	70640	420	8476.8	3532	84768	350	8476.8	3532	84768	350	7064	4709.32156	95364	315	10172.16	3210.9090909	71948.075978	280	11302.371744	3532	63576.15894	245
127	10321.92	3584	71680	422.4	8601.6	3584	86016	352	8601.6	3584	86016	352	7168	4778.65472	96768	316.8	10321.92	3258.1818182	73007.334175	281.6	11468.771328	3584	64512.16128	246.4
128	10471.68	3636	72720	424.8	8726.4	3636	87264	354	8726.4	3636	87264	354	7272	4847.98788	98172	318.6	10471.68	3305.4545455	74066.592371	283.2	11635.170912	3636	65448.16362	247.8
129	10621.44	3688	73760	427.2	8851.2	3688	88512	356	8851.2	3688	88512	356	7376	4917.32104	99576	320.4	10621.44	3352.7272727	75125.850568	284.8	11801.570496	3688	66384.16596	249.2
130	10771.2	3740	74800	429.6	8976	3740	89760	358	8976	3740	89760	358	7480	4986.6542	100980	322.2	10771.2	3400	76185.108765	286.4	11967.97008	3740	67320.1683	250.6
131	10932.48	3796	75920	432	9110.4	3796	91104	360	9110.4	3796	91104	360	7592	5061.32068	102492	324	10932.48	3450.9090909	77325.848361	288	12147.169632	3796	68328.17082	252
132	11093.76	3852	77040	434.4	9244.8	3852	92448	362	9244.8	3852	92448	362	7704	5135.98716	104004	325.8	11093.76	3501.8181818	78466.587958	289.6	12326.369184	3852	69336.17334	253.4
133	11255.04	3908	78160	436.8	9379.2	3908	93792	364	9379.2	3908	93792	364	7816	5210.65364	105516	327.6	11255.04	3552.7272727	79607.327554	291.2	12505.568736	3908	70344.17586	254.8
134	11416.32	3964	79280	439.2	9513.6	3964	95136	366	9513.6	3964	95136	366	7928	5285.32012	107028	329.4	11416.32	3603.6363636	80748.067151	292.8	12684.768288	3964	71352.17838	256.2
135	11577.6	4020	80400	441.6	9648	4020	96480	368	9648	4020	96480	368	8040	5359.9866	108540	331.2	11577.6	3654.5454545	81888.806747	294.4	12863.96784	4020	72360.1809	257.6
136	11738.88	4076	81520	444	9782.4	4076	97824	370	9782.4	4076	97824	370	8152	5434.65308	110052	333	11738.88	3705.4545455	83029.546344	296	13043.167392	4076	73368.18342	259
137	11900.16	4132	82640	446.4	9916.8	4132	99168	372	9916.8	4132	99168	372	8264	5509.31956	111564	334.8	11900.16	3756.3636364	84170.28594	297.6	13222.366944	4132	74376.18594	260.4
138	12061.44	4188	83760	448.8	10051.2	4188	100512	374	10051.2	4188	100512	374	8376	5583.98604	113076	336.6	12061.44	3807.2727273	85311.025537	299.2	13401.566496	4188	75384.18846	261.8
139	12222.72	4244	84880	451.2	10185.6	4244	101856	376	10185.6	4244	101856	376	8488	5658.65252	114588	338.4	12222.72	3858.1818182	86451.765133	300.8	13580.766048	4244	76392.19098	263.2
140	12384	4300	86000	453.6	10320	4300	103200	378	10320	4300	103200	378	8600	5733.319	116100	340.2	12384	3909.0909091	87592.50473	302.4	13759.9656	4300	77400.1935	264.6
141	12556.8	4360	87200	456	10464	4360	104640	380	10464	4360	104640	380	8720	5813.3188	117720	342	12556.8	3963.6363636	88814.725726	304	13951.96512	4360	78480.1962	266
142	12729.6	4420	88400	458.4	10608	4420	106080	382	10608	4420	106080	382	8840	5893.3186	119340	343.8	12729.6	4018.1818182	90036.946722	305.6	14143.96464	4420	79560.1989	267.4
