索引ID	英雄模板ID	武将称号	武将名字	图鉴展示所需开服天数	真实ID	分解产物	获取途径	英雄简介
403003	403003	text_heroTitle_3003	text_heroName_3003	gameday.1	3003	user.soul:50	400|10201|603	text_heroDesc_3002
404001	404001	text_heroTitle_4001	text_heroName_4001	gameday.1	4001	user.soul:50	400|10201|603	text_heroDesc_3002
404002	404002	text_heroTitle_4002	text_heroName_4002	gameday.1	4002	user.soul:50	400|10201|603	text_heroDesc_3002
404003	404003	text_heroTitle_4003	text_heroName_4003	gameday.1	4003	user.soul:50	400|10201|603	text_heroDesc_3002
405001	405001	text_heroTitle_5001	text_heroName_5001	gameday.1	5001	user.soul:50	400|10201|603	text_heroDesc_3002
405002	405002	text_heroTitle_5002	text_heroName_5002	gameday.1	5002	user.soul:50	400|10201|603	text_heroDesc_3002
405003	405003	text_heroTitle_5003	text_heroName_5003	gameday.1	5003	user.soul:50	400|10201|603	text_heroDesc_3002
406001	406001	text_heroTitle_6001	text_heroName_6001	gameday.1	6001	user.soul:50	400|10201|603	text_heroDesc_3002
406002	406002	text_heroTitle_6002	text_heroName_6002	gameday.1	6002	user.soul:50	400|10201|603	text_heroDesc_3002
406003	406003	text_heroTitle_6003	text_heroName_6003	gameday.1	6003	user.soul:50	400|10201|603	text_heroDesc_3002
501001	501001	text_heroTitle_1001	text_heroName_1001	gameday.1	1001	user.soul:10	400|10201|603	text_heroDesc_1001
501002	501002	text_heroTitle_1002	text_heroName_1002	gameday.1	1002	user.soul:10	400|10201|603	text_heroDesc_1002
501003	501003	text_heroTitle_1003	text_heroName_1003	gameday.1	1003	user.soul:20	400|10201|603	text_heroDesc_2001
502001	502001	text_heroTitle_2001	text_heroName_2001	gameday.1	2001	user.soul:20	400|10201|603	text_heroDesc_2002
502002	502002	text_heroTitle_2002	text_heroName_2002	gameday.1	2002	user.soul:50	400|10201|603	text_heroDesc_3001
502003	502003	text_heroTitle_2003	text_heroName_2003	gameday.1	2003	user.soul:50	400|10201|603	text_heroDesc_3002
503001	503001	text_heroTitle_3001	text_heroName_3001	gameday.1	3001	user.soul:50	400|10201|603	text_heroDesc_3002
503002	503002	text_heroTitle_3002	text_heroName_3002	gameday.1	3002	user.soul:50	400|10201|603	text_heroDesc_3002
503003	503003	text_heroTitle_3003	text_heroName_3003	gameday.1	3003	user.soul:50	400|10201|603	text_heroDesc_3002
504001	504001	text_heroTitle_4001	text_heroName_4001	gameday.1	4001	user.soul:50	400|10201|603	text_heroDesc_3002
504002	504002	text_heroTitle_4002	text_heroName_4002	gameday.1	4002	user.soul:50	400|10201|603	text_heroDesc_3002
504003	504003	text_heroTitle_4003	text_heroName_4003	gameday.1	4003	user.soul:50	400|10201|603	text_heroDesc_3002
505001	505001	text_heroTitle_5001	text_heroName_5001	gameday.1	5001	user.soul:50	400|10201|603	text_heroDesc_3002
505002	505002	text_heroTitle_5002	text_heroName_5002	gameday.1	5002	user.soul:50	400|10201|603	text_heroDesc_3002
505003	505003	text_heroTitle_5003	text_heroName_5003	gameday.1	5003	user.soul:50	400|10201|603	text_heroDesc_3002
506001	506001	text_heroTitle_6001	text_heroName_6001	gameday.1	6001	user.soul:50	400|10201|603	text_heroDesc_3002
506002	506002	text_heroTitle_6002	text_heroName_6002	gameday.1	6002	user.soul:50	400|10201|603	text_heroDesc_3002
506003	506003	text_heroTitle_6003	text_heroName_6003	gameday.1	6003	user.soul:50	400|10201|603	text_heroDesc_3002
601001	601001	text_heroTitle_1001	text_heroName_1001	gameday.1	1001	user.soul:10	400|10201|603	text_heroDesc_1001
601002	601002	text_heroTitle_1002	text_heroName_1002	gameday.1	1002	user.soul:10	400|10201|603	text_heroDesc_1002
601003	601003	text_heroTitle_1003	text_heroName_1003	gameday.1	1003	user.soul:20	400|10201|603	text_heroDesc_2001
602001	602001	text_heroTitle_2001	text_heroName_2001	gameday.1	2001	user.soul:20	400|10201|603	text_heroDesc_2002
602002	602002	text_heroTitle_2002	text_heroName_2002	gameday.1	2002	user.soul:50	400|10201|603	text_heroDesc_3001
602003	602003	text_heroTitle_2003	text_heroName_2003	gameday.1	2003	user.soul:50	400|10201|603	text_heroDesc_3002
603001	603001	text_heroTitle_3001	text_heroName_3001	gameday.1	3001	user.soul:50	400|10201|603	text_heroDesc_3002
603002	603002	text_heroTitle_3002	text_heroName_3002	gameday.1	3002	user.soul:50	400|10201|603	text_heroDesc_3002
603003	603003	text_heroTitle_3003	text_heroName_3003	gameday.1	3003	user.soul:50	400|10201|603	text_heroDesc_3002
604001	604001	text_heroTitle_4001	text_heroName_4001	gameday.1	4001	user.soul:50	400|10201|603	text_heroDesc_3002
604002	604002	text_heroTitle_4002	text_heroName_4002	gameday.1	4002	user.soul:50	400|10201|603	text_heroDesc_3002
604003	604003	text_heroTitle_4003	text_heroName_4003	gameday.1	4003	user.soul:50	400|10201|603	text_heroDesc_3002
605001	605001	text_heroTitle_5001	text_heroName_5001	gameday.1	5001	user.soul:50	400|10201|603	text_heroDesc_3002
605002	605002	text_heroTitle_5002	text_heroName_5002	gameday.1	5002	user.soul:50	400|10201|603	text_heroDesc_3002
605003	605003	text_heroTitle_5003	text_heroName_5003	gameday.1	5003	user.soul:50	400|10201|603	text_heroDesc_3002
606001	606001	text_heroTitle_6001	text_heroName_6001	gameday.1	6001	user.soul:50	400|10201|603	text_heroDesc_3002
606002	606002	text_heroTitle_6002	text_heroName_6002	gameday.1	6002	user.soul:50	400|10201|603	text_heroDesc_3002
606003	606003	text_heroTitle_6003	text_heroName_6003	gameday.1	6003	user.soul:50	400|10201|603	text_heroDesc_3002
701001	701001	text_heroTitle_1001	text_heroName_1001	gameday.1	1001	user.soul:10	400|10201|603	text_heroDesc_1001
701002	701002	text_heroTitle_1002	text_heroName_1002	gameday.1	1002	user.soul:10	400|10201|603	text_heroDesc_1002
701003	701003	text_heroTitle_1003	text_heroName_1003	gameday.1	1003	user.soul:20	400|10201|603	text_heroDesc_2001
702001	702001	text_heroTitle_2001	text_heroName_2001	gameday.1	2001	user.soul:20	400|10201|603	text_heroDesc_2002
702002	702002	text_heroTitle_2002	text_heroName_2002	gameday.1	2002	user.soul:50	400|10201|603	text_heroDesc_3001
702003	702003	text_heroTitle_2003	text_heroName_2003	gameday.1	2003	user.soul:50	400|10201|603	text_heroDesc_3002
703001	703001	text_heroTitle_3001	text_heroName_3001	gameday.1	3001	user.soul:50	400|10201|603	text_heroDesc_3002
703002	703002	text_heroTitle_3002	text_heroName_3002	gameday.1	3002	user.soul:50	400|10201|603	text_heroDesc_3002
703003	703003	text_heroTitle_3003	text_heroName_3003	gameday.1	3003	user.soul:50	400|10201|603	text_heroDesc_3002
704001	704001	text_heroTitle_4001	text_heroName_4001	gameday.1	4001	user.soul:50	400|10201|603	text_heroDesc_3002
704002	704002	text_heroTitle_4002	text_heroName_4002	gameday.1	4002	user.soul:50	400|10201|603	text_heroDesc_3002
704003	704003	text_heroTitle_4003	text_heroName_4003	gameday.1	4003	user.soul:50	400|10201|603	text_heroDesc_3002
705001	705001	text_heroTitle_5001	text_heroName_5001	gameday.1	5001	user.soul:50	400|10201|603	text_heroDesc_3002
705002	705002	text_heroTitle_5002	text_heroName_5002	gameday.1	5002	user.soul:50	400|10201|603	text_heroDesc_3002
705003	705003	text_heroTitle_5003	text_heroName_5003	gameday.1	5003	user.soul:50	400|10201|603	text_heroDesc_3002
706001	706001	text_heroTitle_6001	text_heroName_6001	gameday.1	6001	user.soul:50	400|10201|603	text_heroDesc_3002
706002	706002	text_heroTitle_6002	text_heroName_6002	gameday.1	6002	user.soul:50	400|10201|603	text_heroDesc_3002
706003	706003	text_heroTitle_6003	text_heroName_6003	gameday.1	6003	user.soul:50	400|10201|603	text_heroDesc_3002
801001	801001	text_heroTitle_1001	text_heroName_1001	gameday.1	1001	user.soul:10	400|10201|603	text_heroDesc_1001
801002	801002	text_heroTitle_1002	text_heroName_1002	gameday.1	1002	user.soul:10	400|10201|603	text_heroDesc_1002
801003	801003	text_heroTitle_1003	text_heroName_1003	gameday.1	1003	user.soul:20	400|10201|603	text_heroDesc_2001
802001	802001	text_heroTitle_2001	text_heroName_2001	gameday.1	2001	user.soul:20	400|10201|603	text_heroDesc_2002
802002	802002	text_heroTitle_2002	text_heroName_2002	gameday.1	2002	user.soul:50	400|10201|603	text_heroDesc_3001
802003	802003	text_heroTitle_2003	text_heroName_2003	gameday.1	2003	user.soul:50	400|10201|603	text_heroDesc_3002
803001	803001	text_heroTitle_3001	text_heroName_3001	gameday.1	3001	user.soul:50	400|10201|603	text_heroDesc_3002
803002	803002	text_heroTitle_3002	text_heroName_3002	gameday.1	3002	user.soul:50	400|10201|603	text_heroDesc_3002
803003	803003	text_heroTitle_3003	text_heroName_3003	gameday.1	3003	user.soul:50	400|10201|603	text_heroDesc_3002
804001	804001	text_heroTitle_4001	text_heroName_4001	gameday.1	4001	user.soul:50	400|10201|603	text_heroDesc_3002
804002	804002	text_heroTitle_4002	text_heroName_4002	gameday.1	4002	user.soul:50	400|10201|603	text_heroDesc_3002
804003	804003	text_heroTitle_4003	text_heroName_4003	gameday.1	4003	user.soul:50	400|10201|603	text_heroDesc_3002
805001	805001	text_heroTitle_5001	text_heroName_5001	gameday.1	5001	user.soul:50	400|10201|603	text_heroDesc_3002
805002	805002	text_heroTitle_5002	text_heroName_5002	gameday.1	5002	user.soul:50	400|10201|603	text_heroDesc_3002
805003	805003	text_heroTitle_5003	text_heroName_5003	gameday.1	5003	user.soul:50	400|10201|603	text_heroDesc_3002
806001	806001	text_heroTitle_6001	text_heroName_6001	gameday.1	6001	user.soul:50	400|10201|603	text_heroDesc_3002
806002	806002	text_heroTitle_6002	text_heroName_6002	gameday.1	6002	user.soul:50	400|10201|603	text_heroDesc_3002
806003	806003	text_heroTitle_6003	text_heroName_6003	gameday.1	6003	user.soul:50	400|10201|603	text_heroDesc_3002
901001	901001	text_heroTitle_1001	text_heroName_1001	gameday.1	1001	user.soul:10	400|10201|603	text_heroDesc_1001
901002	901002	text_heroTitle_1002	text_heroName_1002	gameday.1	1002	user.soul:10	400|10201|603	text_heroDesc_1002
901003	901003	text_heroTitle_1003	text_heroName_1003	gameday.1	1003	user.soul:20	400|10201|603	text_heroDesc_2001
902001	902001	text_heroTitle_2001	text_heroName_2001	gameday.1	2001	user.soul:20	400|10201|603	text_heroDesc_2002
902002	902002	text_heroTitle_2002	text_heroName_2002	gameday.1	2002	user.soul:50	400|10201|603	text_heroDesc_3001
902003	902003	text_heroTitle_2003	text_heroName_2003	gameday.1	2003	user.soul:50	400|10201|603	text_heroDesc_3002
903001	903001	text_heroTitle_3001	text_heroName_3001	gameday.1	3001	user.soul:50	400|10201|603	text_heroDesc_3002
903002	903002	text_heroTitle_3002	text_heroName_3002	gameday.1	3002	user.soul:50	400|10201|603	text_heroDesc_3002
903003	903003	text_heroTitle_3003	text_heroName_3003	gameday.1	3003	user.soul:50	400|10201|603	text_heroDesc_3002
904001	904001	text_heroTitle_4001	text_heroName_4001	gameday.1	4001	user.soul:50	400|10201|603	text_heroDesc_3002
904002	904002	text_heroTitle_4002	text_heroName_4002	gameday.1	4002	user.soul:50	400|10201|603	text_heroDesc_3002
904003	904003	text_heroTitle_4003	text_heroName_4003	gameday.1	4003	user.soul:50	400|10201|603	text_heroDesc_3002
905001	905001	text_heroTitle_5001	text_heroName_5001	gameday.1	5001	user.soul:50	400|10201|603	text_heroDesc_3002
905002	905002	text_heroTitle_5002	text_heroName_5002	gameday.1	5002	user.soul:50	400|10201|603	text_heroDesc_3002
905003	905003	text_heroTitle_5003	text_heroName_5003	gameday.1	5003	user.soul:50	400|10201|603	text_heroDesc_3002
906001	906001	text_heroTitle_6001	text_heroName_6001	gameday.1	6001	user.soul:50	400|10201|603	text_heroDesc_3002
906002	906002	text_heroTitle_6002	text_heroName_6002	gameday.1	6002	user.soul:50	400|10201|603	text_heroDesc_3002
906003	906003	text_heroTitle_6003	text_heroName_6003	gameday.1	6003	user.soul:50	400|10201|603	text_heroDesc_3002
1001001	1001001	text_heroTitle_1001	text_heroName_1001	gameday.1	1001	user.soul:10	400|10201|603	text_heroDesc_1001
1001002	1001002	text_heroTitle_1002	text_heroName_1002	gameday.1	1002	user.soul:10	400|10201|603	text_heroDesc_1002
1001003	1001003	text_heroTitle_1003	text_heroName_1003	gameday.1	1003	user.soul:20	400|10201|603	text_heroDesc_2001
1002001	1002001	text_heroTitle_2001	text_heroName_2001	gameday.1	2001	user.soul:20	400|10201|603	text_heroDesc_2002
1002002	1002002	text_heroTitle_2002	text_heroName_2002	gameday.1	2002	user.soul:50	400|10201|603	text_heroDesc_3001
1002003	1002003	text_heroTitle_2003	text_heroName_2003	gameday.1	2003	user.soul:50	400|10201|603	text_heroDesc_3002
1003001	1003001	text_heroTitle_3001	text_heroName_3001	gameday.1	3001	user.soul:50	400|10201|603	text_heroDesc_3002
1003002	1003002	text_heroTitle_3002	text_heroName_3002	gameday.1	3002	user.soul:50	400|10201|603	text_heroDesc_3002
1003003	1003003	text_heroTitle_3003	text_heroName_3003	gameday.1	3003	user.soul:50	400|10201|603	text_heroDesc_3002
1004001	1004001	text_heroTitle_4001	text_heroName_4001	gameday.1	4001	user.soul:50	400|10201|603	text_heroDesc_3002
1004002	1004002	text_heroTitle_4002	text_heroName_4002	gameday.1	4002	user.soul:50	400|10201|603	text_heroDesc_3002
1004003	1004003	text_heroTitle_4003	text_heroName_4003	gameday.1	4003	user.soul:50	400|10201|603	text_heroDesc_3002
1005001	1005001	text_heroTitle_5001	text_heroName_5001	gameday.1	5001	user.soul:50	400|10201|603	text_heroDesc_3002
1005002	1005002	text_heroTitle_5002	text_heroName_5002	gameday.1	5002	user.soul:50	400|10201|603	text_heroDesc_3002
1005003	1005003	text_heroTitle_5003	text_heroName_5003	gameday.1	5003	user.soul:50	400|10201|603	text_heroDesc_3002
1006001	1006001	text_heroTitle_6001	text_heroName_6001	gameday.1	6001	user.soul:50	400|10201|603	text_heroDesc_3002
1006002	1006002	text_heroTitle_6002	text_heroName_6002	gameday.1	6002	user.soul:50	400|10201|603	text_heroDesc_3002
1006003	1006003	text_heroTitle_6003	text_heroName_6003	gameday.1	6003	user.soul:50	400|10201|603	text_heroDesc_3002
